long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-142.9868815,63.32717189,48790,Tok School,Open,"Jon Summar Drive Tok, AK 99780",,Tok,AK,99780,9078835151,,Stephanie,English,9075050239,Alaska Gateway School District,2019-05-27T04:00:00.000Z,2019-08-10T04:00:00.000Z,"M,T,W,TH,F",,8:30-9:30,11:30-1:00,,,,"B,L",2,N,US,132085,,2019,Southeast Fairbanks
-147.7391473,64.83460196,48792,Ryan Middle School,Open,"1450 Cowles Street Fairbanks, AK 99701",,Fairbanks,AK,99701,9074524751,,Julie,Coty,9074524751,Fairbanks North Star Borough School District,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH",,8:15-9:15,12:00-1:00,,,,"B,L",2,N,US,72853,,2019,Fairbanks North Star
-152.3922715,57.79509034,48793,Main Elementary,Open,"128 Powell Ave Kodiak, AK 99615",,Kodiak,AK,99615,9074812286,,Leon,Wallace,9074812286,Kodiak Island Borough School District,2019-05-29T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,8:30-9:00,11:30-1:00,,,,"B,L",2,N,US,131660,,2019,Kodiak Island
-149.4375425,61.58500251,48794,Food Pantry of Wasilla,Open,"501 E Bogard Road Wasilla, AK 99654",,Wasilla,AK,99654,9073573769,,Eddie,Ezelle,9073573769,Matsu Food Bank,2019-05-28T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,L,2,N,US,131325,,2019,Matanuska-Susitna
-149.4057392,61.57588678,48795,Newcomb Park,Open,"915 George Parks Highway Wasilla, AK 99564",,Wasilla,AK,99564,9073573769,,Josh,Cooley,9073573769,Matsu Food Bank,2019-05-28T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",,,11:30-1:00,,,,L,2,N,US,131759,,2019,Matanuska-Susitna
-149.4536354,61.58485226,48796,Wonderland Park,Open,"220 W Nelson Avenue Wasilla, AK 99654",,Wasilla,AK,99654,9073573769,,Gayle,Asche,9073573769,Matsu Food Bank,2019-05-28T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",,,12:00-1:30,,,,L,2,N,US,132211,,2019,Matanuska-Susitna
-132.9561431,56.81477332,48797,Petersburg High School,Open,"109 Charles W Street Petersburg, AK 99833",,Petersburg,AK,99833,9073127588,,Carol,Larson,9073127588,Petersburg Borough School District,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,8:30-9:30,,,,,B,2,N,US,131845,,2019,Petersburg
-149.7370031,61.23159465,51611,Barlett High School,Open,"1101 Golden Bear Drive Anchorage, AK 99504",,Anchorage,AK,99504,9077421898,,Monica,Schneider,9077421898,Anchorage School District,2019-05-29T04:00:00.000Z,2019-06-26T04:00:00.000Z,"M,T,W,TH,F",,7:30-8:30,11:00-12:30,,,,"B,L",3,N,US,132451,,2019,Anchorage
-149.7409999,61.20884995,51612,Begich Middle School,Open,"7440 Creekside Center Drive Anchorage, AK 99504",,Anchorage,AK,99504,9077420566,,Monica,Schneider,9077420566,Anchorage School District,2019-07-29T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH",,9:00-10:00,12:00-1:00,,,,"B,L",3,N,US,49321,,2019,Anchorage
-149.8913745,61.208496,51613,Central High School,Open,"1405 E. Street Anchorage, AK 99501",,Anchorage,AK,99501,9073485119,,Roxanne,Bullock,9073485119,Anchorage School District,2019-07-09T04:00:00.000Z,2019-08-02T04:00:00.000Z,"T,W,TH,F",,8:30-9:30,11:30-12:30,,,,"B,L",3,N,US,132558,,2019,Anchorage
