long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-92.26973233,36.1964455,45594,Norfork Elementary,Open,"161 Mildred Simpson Dr Norfork, AR 72658",,Norfork,AR,72658,8704997192,,Candace,Beavers,8704997192,Norfork,2019-05-20T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH",,7:30-8:30,12:00-1:00,,,,L,1,N,US,130754,,2019,Baxter
-90.98360599,36.27932398,45596,MD Williams Intermediate,Open,"2301 North Park Street Pocahontas, AR 72455",,Pocahontas,AR,72455,8708924573,,Patty,Moore,8708924573,Pocahontas,2019-06-03T04:00:00.000Z,2019-06-14T04:00:00.000Z,"M,T,W,TH,F",,7:00-8:00,11:00-12:30,,,,"B,L",1,N,US,130738,,2019,Randolph
-92.51461477,34.59558788,45597,Boys and Girls Club of Bryant,Open,"6401 Boone Road Bryan Bryant, AR 72022",,Bryant,AR,72022,5016535437,,Lisa,Stogsdill,5016535437,Bryant,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,7:30-8:30,11:00-12:30,,,,"B,L",1,N,US,130642,,2019,Saline
-92.41140605,34.62635324,45598,Boys and Girls Club of Shannon Hills,Open,"12001 County Line Road Alexander, AR 72002",,Alexander,AR,72002,5014555672,,Lisa,Stogsdill,5014555672,Bryant,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,,,,,"B,L",1,N,US,130643,,2019,Saline
-92.43657895,34.63269131,45599,Alexander Community Center,Open,"14701 South Alexander Alexander, AR 72002",,Alexander,AR,72002,5014552585,,Lisa,Stogsdill,5014552585,Bryant,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,,,,,"B,L",1,N,US,130614,,2019,Pulaski
-92.48796309,34.5821116,45600,Hill Farm Elementary,Open,"500 Hill Farm Road Byrant, AR 72022",,Byrant,AR,72022,5016535950,,Lisa,Stogsdill,5016535950,Bryant,2019-06-03T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH,F",,,10:30-12:00,,,,"B,L",1,N,US,130697,,2019,Saline
-94.40501256,35.36644549,45601,Ballman Elementary,Open,"2601 South Q Street Fort Smith, AR 72901",,Fort Smith,AR,72901,4797831280,,Phillip,Garcia,4797831280,Fort Smith,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,7:45-9:00,11:30-12:30,,,,"B,L",1,N,US,25708,,2019,Sebastian
-94.31139987,35.32871651,45602,Barling Elementary,Open,"1400 D Street Barling, AR 72923",,Barling,AR,72923,4794520211,,Phillip,Garcia,4794520211,Fort Smith,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,,,,,"B,L",1,N,US,25722,,2019,Sebastian
-94.41734128,35.31202056,45603,Beard Elementary,Open,"1600 Cavanaugh Road Fort Smith, AR 72908",,Fort Smith,AR,72908,4796463612,,Phillip,Garcia,4796463612,Fort Smith,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,,,,,"L, A",1,N,US,100075,,2019,Sebastian
-94.407451,35.3350605,45604,Carnall Elementary,Open,"2524 South Tulsa Street Fort Smith, AR 72901",,Fort Smith,AR,72901,4796463612,,Phillip,Garcia,4796463612,Fort Smith,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,,,,,"B, M",1,N,US,26330,,2019,Sebastian
