long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-114.782297,32.49546312,47030,Joe Orduno Park,Open,"965 North Park Avenue San Luis, AZ 85349",,San Luis,AZ,85349,9285026142,,Sandra,Rivera,9285026142,Yuma Union High School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, Th, F",,,11:00 AM - 12:45 PM,,,,L,1,N,US,19582,,2019,Yuma
-114.6099827,32.6840465,47031,Kennedy Park,Open,"890 East 24th Street Yuma, AZ 85364",,Yuma,AZ,85364,9285025533,,Alma,Cardenas,9285025533,Yuma Union High School District,2019-06-04T04:00:00.000Z,2019-07-19T04:00:00.000Z,"T, W, Th, F",,,,,01:00 PM - 03:00 PM,,PM,1,N,US,129675,,2019,Yuma
-114.7800237,32.49426179,47034,San Luis Community Center,Open,"800 East Juan Sanchez Blvd. San Luis, AZ 85349",,San Luis,AZ,85349,9285026142,,Sandra,Rivera,9285026142,Yuma Union High School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, Th, F",,08:45 AM - 09:30 AM,12:00 PM - 12:30 PM,,,,"B, L",1,N,US,21202,,2019,Yuma
-114.769453,32.49738742,47035,San Luis Community Library,Open,"1075 Sorth 6th Avenue San Luis, AZ 85349",,San Luis,AZ,85349,9285026142,,Sandra,Rivera,9285026142,Yuma Union High School District,2019-06-04T04:00:00.000Z,2019-07-29T04:00:00.000Z,"T, W, Th, F",,,11:00 AM - 01:00 PM,,01:05 PM - 01:30 PM,,"L, PM",1,N,US,130073,,2019,Yuma
-114.6458498,32.67404872,47040,Yuma New Main Library,Open,"2951 South 21st Drive Yuma, AZ 85364",,Yuma,AZ,85364,9285025533,,Alma,Cardenas,9285025533,Yuma Union High School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, Th, F",,,11:00 AM - 01:00 PM,,01:05 PM - 01:30 PM,,"L, PM",1,N,US,22356,,2019,Yuma
-109.9725089,34.16810634,44303,Blue Ridge Elementary School,Open,"3050 Porter Mountain Rd Lakeside, AZ 85929",,Lakeside,AZ,85929,9283686126,3204,DAWN,ULIBARRI,9283686126,Blue Ridge Unified School District No. 32,2019-06-10T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, Th, F",,09:00 AM - 10:00 AM,12:00 PM - 01:00 PM,,,,"B, L",1,N,US,129183,,2019,Navajo
-110.5285207,35.81330168,44444,Hopi Jr. / Sr. High School,Open,"HWY 264 (One mile behind police station on Hwy. 264) Polacca, AZ 86042",One mile behind police station on Hwy. 264,Polacca,AZ,86042,9287381432,,Roselyn,Dempsey-Jim,9287381432,Hopi Jr/Sr High School,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M, T, W, Th",,08:00 AM - 09:00 AM,11:00 AM - 01:00 PM,,,,"B, L",1,N,US,129592,,2019,Navajo
-112.147493,33.45328574,44454,Moya Elementary,Open,"406 N. 41st. Avenue Phoenix, AZ 85009",,Phoenix,AZ,85009,6024556746,,Debbie,Gasiorek,6024556746,Isaac Elementary District,2019-07-15T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M, T, W, Th",,07:45 AM - 08:15 AM,10:30 AM - 11:00 AM,,,,"B, L",1,N,US,72642,,2019,Maricopa
-114.2725565,34.46361913,44473,Oro Grande Elementary School,Open,"1250 Pawnee Lane Lake Havasu City, AZ 86406",,Lake Havasu City,AZ,86406,9288545411,,Christopher,Gallaga,9288545411,Lake Havasu Unified District,2019-06-24T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, Th, F",,07:30 AM - 08:00 AM,11:30 AM - 12:15 PM,,,,"B, L",1,N,US,72705,,2019,Mohave
-111.4569804,36.91073994,44504,Page High School,Open,"434 S. Lake Powell Blvd Page, AZ 86040",,Page,AZ,86040,9286084105,,Millie,Calamity,9286084105,Page Unified District,2019-05-28T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M, T, W, Th",,07:30 AM - 08:15 AM,11:30 AM - 12:30 PM,,,,"B, L",1,N,US,129959,,2019,Coconino
