long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-73.06333154,41.32951938,110360,Ansonia High School,Open,"20 Pulaski Highway Ansonia, CT 06401",,Ansonia,CT,6401,,,Dominick,Golia,2037365009,Ansonia Board of Education - Summer Food Service Program,2019-07-08T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,8:00 to 8:30,11:30 to 12:30,,,,,8,N,US,145716,,2019,New Haven
-73.08909268,41.31103979,110362,The Good Shepard,Open,"182 Coram Avenue Shelton, CT 06484",,Shelton,CT,6484,,,Joseph,Gonzalez,2037365009,Ansonia Board of Education - Summer Food Service Program,2019-06-17T04:00:00.000Z,2019-08-23T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,,12:00 to 12:45,,,,,8,N,US,147558,,2019,Fairfield
-73.0831451,41.34395705,110363,The Salvation Army,Open,"26 Lester Street Ansonia, CT 06401",,Ansonia,CT,6401,,,Dom,Golia,2037365009,Ansonia Board of Education - Summer Food Service Program,2019-06-17T04:00:00.000Z,2019-08-23T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,,12:00 to 12:45,,,,,8,N,US,147574,,2019,New Haven
-72.69569554,41.81929452,110367,P. Faith McMahon Wintonbury Library,Open,"1015 Blue Hills Avenue Bloomfield, CT 06002",,Bloomfield,CT,6002,,,Roberta,LaMonaca,8602439721,Bloomfield Board of Education - Summer Food Service Program,2019-06-24T04:00:00.000Z,2019-08-23T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri, Sat",Closed July 4th,,1:30 to 3:30,,,,,8,N,US,54257,,2019,Hartford
-72.80333833,41.53492288,110369,Beat the Streets,Open,"121 South Colony Street Meriden, CT 06450",,Meriden,CT,6450,,,Larry,Pelletier,2036861639,"Change The Play, Inc.",2019-06-17T04:00:00.000Z,2019-08-22T04:00:00.000Z,"Mon, Tue, Wed, Thu",Closed July 4th,,,,,5:00 to 6:00,,8,N,US,94842,,2019,New Haven
-72.7993295,41.54327541,110370,Casa Boricua,Open,"204 Colony St Meriden, CT 06451",,Meriden,CT,6451,,,Jason,Teal,2036756863,"Change The Play, Inc.",2019-06-17T04:00:00.000Z,2019-08-24T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,,12:00 to 1:00,,,,,8,N,US,117547,,2019,New Haven
-72.78188499,41.54025966,110374,Yale Acres,Open,"31 Gilbert Rd Meriden, CT 06450",,Meriden,CT,6450,,,Jason,Teal,2036756863,"Change The Play, Inc.",2019-06-17T04:00:00.000Z,2019-08-23T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,,12:00 to 1:00,,,,,8,N,US,120241,,2019,New Haven
-72.70273798,41.7578809,110377,House of Worship,Open,"1477 Park Street Hartford, CT 06106",,Hartford,CT,6106,,,Kathleen,Hutter,8605605634,"Community Renewal Team, Inc. - Summer Food Service Program",2019-06-24T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:30 to 9:00,11:30 to 12:00,,,,,8,N,US,118413,,2019,Hartford
-72.64094001,41.75807137,110380,Summerfield Housing - East Hartford,Open,"66 Plain Drive East Hartford, CT 06118",,East Hartford,CT,6118,,,Kathleen,Hutter,8605605634,"Community Renewal Team, Inc. - Summer Food Service Program",2019-07-01T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4th,9:00 to 10:00,12:30 to 1:30,,,,,8,N,US,60308,,2019,Hartford
-72.6180592,41.79385408,110384,John Allison Polaris Center,Open,"474 School Street East Hartford, CT 06108",,East Hartford,CT,6108,,,Jorge,Rodriguez,8602898131,CREC,2019-07-01T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:30 to 9:00,11:30 to 12:30,,,,,8,N,US,66371,,2019,Hartford
-72.71630684,41.79343443,110385,University of Hartford Magnet School,Open,"196 Bloomfield Ave West Hartford, CT 06117",,West Hartford,CT,6117,,,Claudia,Reddy,8602362899,CREC,2019-07-01T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:30 to 9:00,12:00 to 1:00,,,,,8,N,US,122352,,2019,Hartford
