long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-76.943601,38.892816,83430,Boys and Girls Club- Richard England,Open,"4103 Benning Road NE Washington, DC 20019",,Washington,DC,20019,2024309749,,Calvin,Dascent,2024309749,Child Care Resources,2019-06-18T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,9:00 - 9:30,12:00 - 1:30,,,,"B, L",7,N,US,142280,,2019,District of Columbia
-77.0238135,38.940093,83431,Boys and Girls Club- George Ferris,Open,"801 Shepherd Street NW Washington, DC 20011",,Washington,DC,20011,2025767285,,Tonia,Young,2025767285,Child Care Resources,2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,8:30 - 9:30,11:00 - 12:00,,,,"B, L",7,N,US,142275,,2019,District of Columbia
-76.975326,38.843559,83432,Boys and Girls Club- THEARC,Open,"1901 Mississippi Ave SE Washington, DC 20020",,Washington,DC,20020,2026109707,,Kerron,Kalloo,2026109707,Child Care Resources,2019-06-18T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,8:30 - 9:30,11:00 - 12:00,,,,"B, L",7,N,US,142282,,2019,District of Columbia
-76.9402395,38.870019,83433,Champions- Rocketship Legacy,Open,"4250 Massachusetts Ave SE Washington, DC 20019",,Washington,DC,20019,3012372005,,Temika,Hill,3012372005,Child Care Resources,2019-06-24T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,,,2:30 - 3:15,5:00 - 5:45,"A, S",7,N,US,142474,,2019,District of Columbia
-77.0283315,38.963196,83437,Higher Achievement- Brightwood,Open,"6008 Georgia Ave NW Washington, DC 20011",,Washington,DC,20011,2024236504,,Chavonte,Harris,2024236504,Child Care Resources,2019-06-24T04:00:00.000Z,2019-07-29T04:00:00.000Z,"M,T,W,TH,F",,8:30 - 9:15,11:30 - 1:30,,,,"B, L",7,N,US,143346,,2019,District of Columbia
-77.026797,38.917917,83439,Pick up the Pieces- Store Fronts,Open,"2033 11th St NW Washington, DC 20001",,Washington,DC,20001,3013959120,,Kevin,Hart,3013959120,Child Care Resources,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,8:30 - 9:00,11:30 - 12:15,,,,"B, L",7,N,US,144385,,2019,District of Columbia
-77.0073705,38.96388,83440,Sela PCS,Open,"6015 Chillum Pl NE Washington, DC 20011",,Washington,DC,20011,2026707352,,Camerra,Taliaferro,2026707352,Child Care Resources,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,8:00 - 9:00,,,,,B,7,N,US,144681,,2019,District of Columbia
-76.9868055,38.879388,83632,Chamberlain,Open,"1345 Potomac Avenue SE Washington, DC 20003",,Washington,DC,20003,2025475800,,Andrea,Johnson,2025475800,Friendship PCS,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH,F",,,,,,,,7,N,US,142472,,2019,District of Columbia
-76.9542075,38.864871,115480,Francis Gregory Library,Open,"3660 Alabama Ave SE Washington, DC 20020",,Washington,DC,20020,2026986373,,Maria,Escher,2026986373,Department of Parks and Recreation,2019-07-01T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,1:00 - 2:30,,,,,8,U,US,86109,,2019,District of Columbia
-76.940586,38.900898,115499,Kids Are People Too II,Open,"4315 Nannie Helen Burroughs Ave NE Washington, DC 20019",,Washington,DC,20019,2023971200,,Shevone,Edmunds,2023971200,Department of Parks and Recreation,2019-06-17T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:30 - 1:30,,4:00 - 4:30,,,8,U,US,143563,,2019,District of Columbia
