long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-75.42913623,38.80818,53633,New Hope Recreation and Developmen Center,Open,"12564 North Old State Road Ellendale, DE 19941",,Ellendale,DE,19941,3024916058,,Kendal,Tyre,3024916058,New Hope Recreation and Development Center,2019-06-24T04:00:00.000Z,2019-07-24T04:00:00.000Z,"M,T,W,TH,F",,9:15-9:30,12:30-1:00,,,,"B,L",3,N,US,133058,,2019,Sussex
-75.44210607,38.64310467,53639,"PACTT (United Cerebal Palsy of DE, Inc)",Open,"17099 Country Seat Highway Georgetown, DE 19947",,Georgetown,DE,19947,3028563490,,Melissa,Walter,3028563490,"PACTT (United Cerebal Palsy of DE, Inc)",2019-06-07T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",,7:30-8:30,11:00-12:30,,,,"B,L",3,N,US,133118,,2019,Sussex
-75.57761975,39.74816056,53653,Harvest Christian Academy,Open,"2205 Lancaster Ave Wilmington, DE 19805",,Wilmington,DE,19805,3026542613,305,Letitia,Williams,3026542613,Harvest Chrstian Academy,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,7:30-8:45,11:00-12:30,,,,"B,L",3,N,US,132817,,2019,New Castle
-75.57761975,39.74816056,53654,Harvest Christian Academy-Teen Talk,Open,"2205 Lancaster Ave Wilmington, DE 19805",,Wilmington,DE,19805,3026542613,305,Letitia,Williams,3026542613,Harvest Chrstian Academy,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,W,,,,,,6:00-7:00,S,3,N,US,132820,,2019,New Castle
-75.57761975,39.74816056,53656,Harvest Christian Academy-Harvest Fest-August,Open,"2205 Lancaster Ave Wilmington, DE 19805",,Wilmington,DE,19805,3026542613,305,Letitia,Williams,3026542613,Harvest Chrstian Academy,2019-08-24T04:00:00.000Z,2019-08-24T04:00:00.000Z,SA,,,11:00-1:00,,,,L,3,N,US,132819,,2019,New Castle
-75.53219677,38.70389816,53659,Coverdale Community,Open,"12603 Nat Turner Street Bridgeville, DE 19933",,Bridgeville,DE,19933,3022329258,207,Penny,Lloyd,3022329258,Woodbridge School District,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,11:30-12:15,,,,L,3,N,US,132624,,2019,Sussex
-75.55079266,38.69230154,53660,Coverdale Community 2,Open,"11575 Fisher Circle Bridgeville, DE 19933",,Bridgeville,DE,19933,3022329258,207,Penny,Lloyd,3022329258,Woodbridge School District,2019-07-01T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH",,9:00-9:30,11:30-12:00,,,,"B,L",3,N,US,132625,,2019,Sussex
-75.5386289,39.14907009,57555,Kent Secondary Intensive Learning Center,Open,"631 Ridgley Street Dover, DE 19904",,Dover,DE,19904,3028574211,,James,Trower,3028574211,Capital School District,2019-06-24T07:00:00.000Z,2019-07-18T07:00:00.000Z,"M,T,W,TH",,7:45-8:15,11:00-11:30,,,,"B,L",4,N,US,82328,,2019,Kent
-75.42941488,38.91445476,57563,Academy Apartments,Open,"100 North Street Milford, DE 19963",,Milford,DE,19963,3025420960,,Stephanie,Dukes,3025420960,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,,2:00-2:30,,,,L,4,N,US,89840,,2019,Kent
-75.43135068,38.92274647,57575,Brightway Commons,Open,"120 Bright Way Milford, DE 19963",,Milford,DE,19963,3025420960,,Stephanie,Dukes,3025420960,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,,12:00-12:30,,,,L,4,N,US,133925,,2019,Kent
-75.58285234,39.03490475,57577,Countryside Trailer Court,Open,"30 Countryside Drive Felton, DE 19943",,Felton,DE,19943,3025420960,,Stephanie,Dukes,3025420960,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,10:45-11:00,,,3:45-4:00,,"B,S",4,N,US,90347,,2019,Kent
-75.41444624,38.8422907,57578,Crescent Shores,Open,"10871 Ryan Run Lincoln, DE 19960",,Lincoln,DE,19960,3025420960,,Stephanie,Dukes,3025420960,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,9:30-10:00,12:00-12:30,,,,"B,L",4,N,US,134165,,2019,Sussex
-75.42863367,38.78894201,57582,New Hope Lane,Open,"18503 New Hope Lane Ellendale, DE 19941",,Ellendale,DE,19941,3025420960,,Ashley,Dukes,3022498019,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,10:30-11:00,1:30-2:00,,,,"B,L",4,N,US,25000,,2019,Sussex
-75.38524982,38.80953425,57583,New Market Village,Open,"2 Candy Lane Ellendale, DE 19941",,Ellendale,DE,19941,3025420960,,Stephanie,Dukes,3025420960,Family Outreach Center,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,10:00-10:30,1:00-1:30,,,,"B,L",4,N,US,135059,,2019,Sussex
-75.58050694,39.65608299,57591,Dobinsville Park,Open,"107 Clymer Street New Castle, DE 19720",,New Castle,DE,19720,3023232743,,Paula,Angelucci,3023232743,Colonial School District,2019-06-17T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH",,,11:45-12:00,,,,L,4,N,US,134249,,2019,New Castle
-75.39140372,38.68557477,68805,First State Community Action,Open,"301 West Market Street Georgetown, DE 19947",,Georgetown,DE,19947,3022363226,,Tony,Windsor,3022369886,Boys and Girls Club of Delaware,2019-07-01T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH",,8:30-9:30,12:00-1:00,,,,"B,L",5,N,US,136618,,2019,Sussex
-75.57074499,38.55609094,68808,Laurel Public Library,Open,"101 East fourth Street Laurel, DE 19956",,Laurel,DE,19956,3022363226,,Tony,Windsor,3022369886,Boys and Girls Club of Delaware,2019-06-10T04:00:00.000Z,2019-08-28T04:00:00.000Z,"M,T,W,TH,F",,,12:00-1:00,,,3:00-4:00,"L,A",5,N,US,44759,,2019,Sussex
-75.3110048,38.77866103,68809,Milton Library,Open,"121 Union Street Milton, DE 19968",,Milton,DE,19968,3022363226,,Tony,Windsor,3022369886,Boys and Girls Club of Delaware,2019-06-14T04:00:00.000Z,2019-08-30T04:00:00.000Z,F,,,12:00-1:00,,,,L,5,N,US,118953,,2019,Sussex
-75.22062039,38.45927636,68810,Selbyville Public Library,Open,"11 South Main Street Selbyville, DE 19975",,Selbyville,DE,19975,3022363226,,Tony,Windsor,3022369886,Boys and Girls Club of Delaware,2019-06-10T04:00:00.000Z,2019-08-28T04:00:00.000Z,"M,W,TH,F",,,11:00-12:00,,,,L,5,N,US,38751,,2019,Sussex
