long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-80.3554333,27.4645263,49387,Madison Cay Apartments,Open,"1655 N 29TH ST FORT PIERCE, FL 34947",,FORT PIERCE,FL,34947,7724624002,,Kendra,Fuller,7724624002,Treasure Coast Food Bank,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,01:00 - 02:00,,03:00 - 04:00,,",L,A",2,N,US,111852,,2019,St. Lucie
-80.269885,25.935412,49396,AJ King Park,Open,"4230 NW 178TH TER MIAMI GARDENS, FL 33055",,MIAMI GARDENS,FL,33055,7865873956,,erica,gray,7865873956,"Sisters for Abundant Living, Inc.",2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,,,03:00 - 04:00,,",S,A",2,N,US,25462,,2019,Miami-Dade
-80.3556119,25.5997177,49402,West Perine WIC,Open,"18255 HOMESTEAD AVE PERRINE, FL 33157",,PERRINE,FL,33157,3058267900,,Leticia,Johnson,3058267900,"Sisters for Abundant Living, Inc.",2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,12:00 - 01:00,,,,",L",2,N,US,105720,,2019,Miami-Dade
-80.3937864,25.7720573,49405,Hoop Club Miami,Open,"500 NW 122ND AVE MIAMI, FL 33182",,MIAMI,FL,33182,3059702377,,Micheal,Gamez,3059702377,"Sisters for Abundant Living, Inc.",2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,12:00 - 01:00,,,,",L",2,N,US,124384,,2019,Miami-Dade
-80.3916602,27.4168168,49407,Police Athletic League,Open,"2733 PETERS RD (UNIT 38) FORT PIERCE, FL 34945",UNIT 38,FORT PIERCE,FL,34945,7724660606,,Ann,Burns,7724660606,Treasure Coast Food Bank,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,09:00 - 09:30,,,04:00 - 04:30,,"B,A",2,N,US,116093,,2019,St. Lucie
-80.33945785,27.27303442,49408,Heart to Heart,Open,"439 SE Port St Lucie Boulevard (Suite #101) Port St. Lucie, FL 34984",Suite #101,Port St. Lucie,FL,34984,9545293834,,Michelle,Dukes,9545293834,Treasure Coast Food Bank,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,12:00 - 01:00,,02:00 - 02:30,,",L,A",2,N,US,118322,,2019,St. Lucie
-80.328705,27.455957,49413,Pee Wee's Learning Academy,Open,"802 N 7TH ST FORT PIERCE, FL 34950",,FORT PIERCE,FL,34950,7728289574,,James,Strong,7728289574,Treasure Coast Food Bank,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,11:00 - 01:00,,03:00 - 03:30,,",L,A",2,N,US,104897,,2019,St. Lucie
-81.0726628,29.231943,49448,Salvation Army - Daytona Beach,Open,"1555 LPGA BLVD DAYTONA BEACH, FL 32117",,DAYTONA BEACH,FL,32117,3862362020,,Miranda,Flannary,3862362020,Co. of Volusia Community Services Group,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,08:30 - 09:00,11:30 - 12:00,,,,"B,L",2,N,US,46989,,2019,Volusia
-80.155265,26.135989,49451,Warfield Park,Open,"1000 W SUNRISE BLVD FT LAUDERDALE, FL 33311",,FT LAUDERDALE,FL,33311,9548286120,,Vanessa,Wright,9548286120,City of Ft. Lauderdale,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00 - 12:30,,03:30 - 04:30,,",L,A",2,N,US,74865,,2019,Broward
-80.1732233,26.6709237,49454,Kid Sanctuary,Open,"555 SAFE HAVEN DR WEST PALM BCH, FL 33411",,WEST PALM BCH,FL,33411,,,,,,Feeding South Florida,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,,,02:00 - 03:00,,",S,A",2,N,US,131531,,2019,Palm Beach
-80.1169694,26.8110827,49455,Place of Hope,Open,"9078 ISAIAH LN WEST PALM BCH, FL 33418",,WEST PALM BCH,FL,33418,5617757195,,Kaeline,Quick,5617757195,Feeding South Florida,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,,,02:00 - 03:00,,",S,A",2,N,US,124595,,2019,Palm Beach
-84.2873,30.41317,49456,FAMU DRS,Open,"400 W ORANGE AVE TALLAHASSEE, FL 32305",,TALLAHASSEE,FL,32305,8504125846,,Audrey,Franklin,8504125846,Bethel AME Church,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,08:00 - 09:00,12:00 - 01:00,,,,"B,L",2,N,US,18795,,2019,Leon
-80.1957447,25.8358778,49460,The Bridge of New Life,Open,"6501 N MIAMI AVE MIAMI, FL 33150",,MIAMI,FL,33150,,,,,,Shalom Community Church Inc,2019-06-10T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F",,08:00 - 09:30,12:00 - 01:30,,,,"B,L",2,N,US,132060,,2019,Miami-Dade
