long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-84.0611925,30.97341,47720,City Park,Open,"CHURCH STREET/HWY 188 (OCHLOCKNEE CITY PARK) OCHLOCKNEE, GA 31773",OCHLOCKNEE CITY PARK,OCHLOCKNEE,GA,31773,2292263446,,JOYCE,MYRICK,2292263446,"Young Men's Christian Association and Youth Center of Thomasville, Inc.",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,,12:00:00-13:00:00,,,,L,2,N,US,34857,,2019,Thomas
-84.44798946,33.78533102,47799,Create Your Dreams Inc.,Open,"1891 Johnson Road NW Atlanta, GA 30318",,Atlanta,GA,30318,4049710420,,Jachai,Wilmont,6786565542,"Children Outreach Center, Inc",2019-05-28T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,,12:00:00-13:00:00,,15:00:00-15:30:00,,"L,A",2,N,US,131171,,2019,Fulton
-83.94855702,30.86753938,47803,Cross Creek School,Open,"324 Clark Road Thomasville, GA 31757",,Thomasville,GA,31757,2292253900,,SUSAN,CRAWFORD,2292263446,"Young Men's Christian Association and Youth Center of Thomasville, Inc.",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH",See meal times for hours,07:30:00-08:15:00,11:30:00-12:30:00,,,,"B,L",2,N,US,35103,,2019,Thomas
-84.40814856,33.70051338,47809,Dare Dream Dance,Open,"1995 Metropolitan Parkway (Suite C) Atlanta, GA 30315",Suite C,Atlanta,GA,30315,4044277331,,Cicely,Kelley,4704194674,"Georgia Nutritional Services, Inc.-DCH",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,08:30:00-09:00:00,12:00:00-13:00:00,,,,"B,L",2,N,US,114598,,2019,Fulton
-84.41159303,33.76818951,48593,At Promise Summer Program,Open,"740 Cameron M Alexander Blvd Atlanta, GA 30318",,Atlanta,GA,30318,4703462683,,Lakeisha,Walker,4704194674,"Georgia Nutritional Services, Inc.-DCH",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,08:00:00-09:30:00,12:00:00-13:30:00,,,,"B,L",2,N,US,114122,,2019,Fulton
-84.59288287,33.58653544,48594,B.E.S.T. Youth,Open,"6225 Campbellton-Fairburn Road Fairburn, GA 30291",,Fairburn,GA,30291,7709694700,,Rick,Dolsey,4704194674,"Georgia Nutritional Services, Inc.-DCH",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,07:00:00-09:00:00,12:00:00-13:00:00,,,,"B,L",2,N,US,114134,,2019,Fulton
-83.91705222,30.84782549,48613,Circle C Park,Open,"1525 Summerhill Rd (Also known as Cypress Pointe) Thomasville, GA 31757",Also known as Cypress Pointe,Thomasville,GA,31757,2292262594,,LIZ,RUSSELL,2292263446,"Young Men's Christian Association and Youth Center of Thomasville, Inc.",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,,12:00:00-13:00:00,,,,L,2,N,US,100268,,2019,Thomas
-84.84168229,33.92395484,48621,Horizons @ Kennesaw State,Open,"25 Courthouse Square Dallas, GA 30132",,Dallas,GA,30132,7703672449,,Beth,Garrett,4704194674,"Georgia Nutritional Services, Inc.-DCH",2019-06-10T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,08:15:00-09:15:00,11:30:00-12:30:00,,,,"B,L",2,N,US,44080,,2019,Paulding
-83.99038249,30.85128168,48643,MT SINAI,Open,"1217 N. SHORT BROAD ST THOMASVILLE, GA, GA 31792",,"THOMASVILLE, GA",GA,31792,8644363366,,TIERRA,DAVIS,2292263446,"Young Men's Christian Association and Youth Center of Thomasville, Inc.",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,08:00:00-08:45:00,12:00:00-13:00:00,,,,"B,L",2,N,US,82863,,2019,Thomas
-84.02030915,33.22125863,48644,Mt. Zion AME Church,Open,"299 Lee Maddox Rd Jackson, GA 30233",,Jackson,GA,30233,6783337861,,Linda,McDowell,7068192500,Community Improvement Coalition of Monroe County,2019-06-18T04:00:00.000Z,2019-06-20T04:00:00.000Z,"T,W,TH",See meal times for hours,,,,,18:00:00-19:00:00,S,2,N,US,131734,,2019,Butts
-84.1618668,33.58094817,48659,Project YES,Open,"2178 Highway 138 E Stockbridge, GA 30281",,Stockbridge,GA,30281,4046806565,,Patricia,Deloach,4704194674,"Georgia Nutritional Services, Inc.-DCH",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,07:30:00-08:30:00,11:30:00-12:30:00,,,,"B,L",2,N,US,83318,,2019,Henry
-84.09232591,30.75930455,48663,ROSE CITY ESTATES,Open,"US HWY 319 S (JUST PAST CINDY DR / LYON LN) THOMASVILLE, GA 31792",JUST PAST CINDY DR / LYON LN,THOMASVILLE,GA,31792,2292263446,,SHARON,FRANKLIN,2292263446,"Young Men's Christian Association and Youth Center of Thomasville, Inc.",2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,,12:00:00-13:00:00,,,,L,2,N,US,38537,,2019,Grady
-81.97083,33.114762,48664,Route 10,Open,"125 Whispering Oaks Rd/176 Horseshoe Circle Waynesboro, GA 30830",,Waynesboro,GA,30830,7065548045,,LaToya,Webb,7065543532,Burke County Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",See meal times for hours,,09:30:00-14:30:00,,,,L,2,N,US,131934,,2019,Burke
