FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,long,lat,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1000716,Milledgeville Marketplace Farmers' Market,http://www.milledgevillemarketplace.com,https://www.facebook.com/MilledgevilleMarketplaceFarmersMarket?ref=hl,,,,222 East Hancock Street,Milledgeville,Baldwin,Georgia,31061,04/01/2014 to 10/28/2014,Tue: 4:00 PM-7:00 PM;,,,,,,,-83.224579,33.081869,Local government building grounds,Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,4/23/2014 8:15:22 AM
1006311,Auburn Farmer's Market,http://www.cityofauburn-ga.org/,,,,,corner of Fourth Avenue and Mt. Moriah Road,Auburn,Barrow,Georgia,30011,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-83.828,34.0137,Local government building grounds,N,N,N,N,N,-,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2/19/2012 12:03:16 PM
1010467,Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,Adairsville Farmers Market,,,,7446 Ga 140,Adairsville,Bartow,Georgia,30103,06/07/2014 to 09/27/2014,Sun: 8:00 AM-11:30 PM;,,,,,,,-84.929569,34.375727,Private business parking lot,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,8/7/2014 10:08:33 AM
1000048,Fitzgerald Farmers Market,http://www.fitzgeraldga.org,,,,,227 East Pine Street,Fitzgerald,Ben Hill,Georgia,31750,January to December,Mon:10:00 AM - 4:00 PM;Tue:10:00 AM - 4:00 PM;Wed:10:00 AM - 4:00 PM;Thu:10:00 AM - 4:00 PM;Fri:10:00 AM - 4:00 PM;Sat:10:00 AM - 4:00 PM;,,,,,,,-83.2518458,31.7136472,Local government building grounds,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/4/2012 2:16:06 PM
1002802,Berrien County farmer's market,http://www.Better hometown.com,,,,,Marion Street,Nashville,Berrien,Georgia,31639,,Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,04/01/2014 to 12/01/2014,Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,-83.245211,31.206709,Private business parking lot,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,4/4/2014 2:09:32 PM
1006996,Macon State Farmers Market,,,,,,2055 Eisenhower Parkway,Macon,Bibb,Georgia,31206,,,,,,,,,-83.6832,32.8175,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010  9:35AM
1010316,Mulberry Market,http://www.mulberrymarket.org,https://www.facebook.com/MulberryStreetMarket,,,https://www.instagram.com/mulberry_market/,1155 College Street,Macon,Bibb,Georgia,31201,01/01/2014 to 12/31/2014,Wed: 3:30 PM-6:00 PM;,,,,,,,-83.646551,32.833797,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,7/27/2018 1:13:05 PM
1000050,Mulberry Street Market,,https://www.facebook.com/mulberrystreetmarket,,,,500 Mulberry St,Macon,Bibb,Georgia,31201,January to December,Wed:4:00 PM - 7:00 PM;,,,,,,,-83.628616,32.838311,Local government building grounds,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,5/7/2012 10:36:35 AM
1008513,Main Street Statesboro Farmers Market,http://www.StatesboroFarmersMarket.com,https://www.facebook.com/TheMainStreetStatesboroFarmersMarket?ref=hl,n/a,n/a,n/a,2 East Main Street,Statesboro ,Bulloch,Georgia,30458,04/06/2013 to 11/23/2013,Sat: 9:00 AM-12:30 PM;,,,,,,,-81.782923,32.448625,Private business parking lot,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/26/2013 6:16:18 AM
1010355,Royal District Market,,www.facebook.com/RoyalDistrictMarket,,,,200  E. King Avenue,Kingsland ,Camden,Georgia,,,,,,,,,,-81.688420,30.800758,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/18/2014 10:41:31 AM
