long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-91.90653317,42.61747551,46677,American Legion Hall-Hazelton,Open,"105 Hayes St. West Hazleton, IA 50641",,Hazleton,IA,50641,3192388894,,Hallie,Roth,3192388894,Oelwein Comm School District,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",We will be closed July 4-5 for holiday,7:30 to 9:00,11:30 to 1:00,,,,,2,N,US,130896,,2019,Buchanan
-91.90257724,42.67384017,46678,Little Husky Learning Ct,Open,"317 8th Ave SE Suite D Oelwein, IA 50662",,Oelwein,IA,50662,3192388894,,Hallie,Roth,3192388894,Oelwein Comm School District,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",We will not have meal service on July 4th or 5th to observe Holiday,7:30 to 9:00,11:30 to 1:00,,,,,2,N,US,131612,,2019,Fayette
-91.90280569,42.6812917,46679,Wings Park Elementary School,Open,"111 8th Ave NE Oelwein, IA 50662",,Oelwein,IA,50662,3192388894,,Hallie,Roth,3192388894,Oelwein Comm School District,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",We will be closed July 4-5 for holiday,7:30 to 9:00,11:30 to 1:00,,,,,2,N,US,12347,,2019,Fayette
-91.57263057,43.08338739,46680,Cora B Darling Elem and Middle School,Open,"312 W Post St. (PO Box 717) Postville, IA 52162",PO Box 717,Postville,IA,52162,5638647651,,Melissa,Fettkether,5638647651,Postville Comm School District,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:00 to 8:30,11:30 to 12:30,,,,,2,N,US,131159,,2019,Allamakee
-94.29468765,42.27946116,46681,Prairie Valley High School,Open,"1005 Riddle Street Gowrie, IA 50543",,Gowrie,IA,50543,5153525570,,Fern,Saxton,5153525570,Prairie Valley Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","July 4, 2019 - no service due to holiday",7:30 to 8:45,11:30 to 12:45,,,,,2,N,US,131870,,2019,Webster
-95.22320523,41.02036678,46682,Inman Elementary School,Open,"900 Inman Drive Red Oak, IA 51566",,Red Oak,IA,51566,7126210042,,Mindy,Riibe,7126210042,Red Oak Comm School District,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service July 4 and 5,,11:00 to 1:00,,,,,2,N,US,11315,,2019,Montgomery
-95.2339833,41.00820703,46683,Washington Intermediate School,Open,"400 W 2nd Street Red Oak, IA 51566",,Red Oak,IA,51566,7126210042,,Mindy,Riibe,7126210042,Red Oak Comm School District,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service July 4 and 5,,11:00 to 12:45,,,,,2,N,US,132143,,2019,Montgomery
-94.07099541,42.26256162,46684,Dayton Center,Open,"104 2nd Street NW Dayton, IA 50530",,Dayton,IA,50530,5155472314,,Melinda,Stewart,5155472314,Southeast Webster-Grand Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","July 4, 2019 - no service due to holiday",7:30 to 8:45,11:30 to 12:45,,,,,2,N,US,10927,,2019,Webster
-92.26046876,42.80152377,46685,Tripoli Middle/Sr High School,Open,"209 8th Ave SW Tripoli, IA 50676",,Tripoli,IA,50676,3198824202,,Shawntelle,Moore,3198824202,Tripoli Comm School District,2019-05-28T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Site closed July 3 - 5,8:15 to 8:45,11:30 to 12:30,,,,,2,N,US,105562,,2019,Bremer
-91.944783,40.877973,46686,Birmingham City Park,Open,"East Main Street and Wood Street Birmingham, IA 52535",,Birmingham,IA,52535,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:00 to 11:30,,,,,2,N,US,73266,,2019,Van Buren
-91.80091559,40.70415864,46687,Bonaparte Community Center,Open,"602 8th Street Bonaparte, IA 52620",,Bonaparte,IA,52620,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:00 to 11:30,,,,,2,N,US,106189,,2019,Van Buren
-92.06739453,40.64431532,46688,Cantril City Park,Open,"East 2nd Street Cantril, IA 52542",,Cantril,IA,52542,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:15 to 11:45,,,,,2,N,US,10744,,2019,Van Buren
-92.08521373,40.83935005,46689,Douds City Park,Open,"14168 Walnut Street Douds, IA 52551",,Douds,IA,52551,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:30 to 11:45,,,,,2,N,US,10947,,2019,Van Buren
-92.161854,40.674798,46690,Milton City Park,Open,"N. Main Street and Coal Street Milton, IA 52570",,Milton,IA,52570,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,12:15 to 12:30,,,,,2,N,US,74172,,2019,Van Buren
-91.83360037,40.85599145,46691,Stockport City Park,Open,"217 South Main Street Stockport, IA 52651",,Stockport,IA,52651,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:45 to 12:15,,,,,2,N,US,108928,,2019,Van Buren
-91.9667927,40.73051509,46692,Van Buren Community Senior High School,Open,"405 Fourth Street Keosauqua, IA 52565",,Keosauqua,IA,52565,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,12:15 to 12:45,,,,,2,N,US,74839,,2019,Van Buren
-91.7402535,40.640112,46693,Wild Rose Shelter,Open,"4th Street & State Street Farmington, IA 52626",,Farmington,IA,52626,3192933334,,Gayle,Hervey,3192933334,Van Buren Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,,11:30 to 12:01,,,,,2,N,US,109375,,2019,Van Buren
-94.9757469,40.92962764,46694,Southwest Valley Middle School,Open,"406 E 3rd St. Villisca, IA 50864",,Villisca,IA,50864,7128262552,,Chris,Fenster,7128262552,Villisca Comm School District,2019-06-04T04:00:00.000Z,2019-07-31T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4,,11:30 to 12:30,,,,,2,N,US,76807,,2019,Montgomery
-91.4512563,42.49327414,46695,Lambert Elementary School,Open,"1001 Doctor Street Manchester, IA 52057",,Manchester,IA,52057,5639273515,,Laurie,Buchheit,5639273515,West Delaware County Comm School District,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","Our site will be closed for two weeks on July 1 - 12, 2019.",8:00 to 8:45,11:30 to 12:15,,,,,2,N,US,74023,,2019,Delaware
-91.30954332,41.47692233,46696,Nichols Catholic Hall,Open,"114 Mckinley St. Nichols, IA 52766",,Nichols,IA,52766,3196272071,,Chris,Wilson,3196272071,West Liberty Comm School District,2019-06-12T04:00:00.000Z,2019-08-14T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",July 4th & 5th no meals served,,11:00 to 11:20,,,,,2,N,US,11721,,2019,Muscatine
-91.25905475,41.576598,46697,West Elementary School,Open,"806 N Miller St West Liberty, IA 52776",,West Liberty,IA,52776,3196272071,,Chris,Wilson,3196272071,West Liberty Comm School District,2019-06-12T04:00:00.000Z,2019-08-14T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",July 4th & 5th no meals served,7:30 to 8:15,,,,,,2,N,US,12295,,2019,Muscatine
-91.16727333,41.57312552,46699,Zion Lutheran Church,Open,"226 4th St. Atalissa, IA 52720",,Atalissa,IA,52720,3196272071,,Chris,Wilson,3196272071,West Liberty Comm School District,2019-06-12T04:00:00.000Z,2019-08-14T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",July 4th & 5th no meals served,,12:00 to 12:20,,,,,2,N,US,102657,,2019,Muscatine
-96.08888307,42.03183491,46700,West Monona Elementary School,Open,"611 4th Street Onawa, IA 51040",,Onawa,IA,51040,7124332043,,Julee,Shook,7124332043,West Monona Comm School District,2019-05-30T04:00:00.000Z,2019-08-22T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4th.,8:00 to 9:00,11:30 to 12:30,,,,,2,N,US,12301,,2019,Monona
-94.92960353,41.71875816,48420,Audubon Elementary School,Open,"600 Tracy Street Audubon, IA 50025",,Audubon,IA,50025,7123042197,,Brett,Gibbs,7125632607,Audubon Comm School District,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","Closed July 4, for Holiday",,11:30 to 12:30,,,,,2,N,US,71816,,2019,Audubon
-92.26845986,41.89207581,48421,Belle Plaine Senior High School,Open,"610 13th Avenue Belle Plaine, IA 52208",,Belle Plaine,IA,52208,3194444407,,Joanne,Schminke,3194444407,Belle Plaine Comm School District,2019-06-12T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:30 to 9:30,11:30 to 12:45,,,,,2,N,US,71818,,2019,Benton
-92.44546886,41.73808524,48422,Brooklyn Elementary School,Open,"1090 Jackson Street Brooklyn, IA 52211",,Brooklyn,IA,52211,6415227058,,Amy,Larson,6415227058,Brooklyn-Guernsey-Malcom Comm School District,2019-06-05T04:00:00.000Z,2019-08-02T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",Closed July 4 and 5 for the holiday.,7:30 to 9:30,11:00 to 1:00,,,,,2,N,US,10688,,2019,Poweshiek
-93.46190328,41.02820452,48423,Lucas Iowa Gazebo,Open,"106 W Front Street Lucas, IA 50151",,Lucas,IA,50151,6417745048,,Rebecca,Bittner,6417745048,Chariton Comm School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4,,10:30 to 10:45,,,,,2,N,US,91080,,2019,Lucas
-93.19810562,40.98402833,48424,Russell Public Library,Open,"106 Prairie St Russell, IA 50238",,Russell,IA,50238,6417745048,,Rebecca,Bittner,6417745048,Chariton Comm School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4,,11:10 to 11:35,,,,,2,N,US,71849,,2019,Lucas
-93.31080219,41.02304548,48425,Van Allen Elementary School,Open,"1129 Ashland Avenue Chariton, IA 50049",,Chariton,IA,50049,6417745048,,Becca,Bittner,6417745048,Chariton Comm School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4,,10:30 to 12:30,,,,,2,N,US,12230,,2019,Lucas
-93.25637048,41.09005888,48426,Williamson Shelter House,Open,"N Main Street & E S Ave Williamson, IA 50238",,Williamson,IA,50238,6417745048,,Rebecca,Bittner,6417745048,Chariton Comm School District,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",No service on July 4,,12:00 to 12:20,,,,,2,N,US,71860,,2019,Lucas
-92.67246512,43.07835805,48427,Washington ElementarySchool,Open,"1406 North Grand Ave Charles City, IA 50616",,Charles City,IA,50616,6412576500,,Paige,Elsbernd,6412576500,Charles City Comm School District,2019-06-10T04:00:00.000Z,2019-06-27T04:00:00.000Z,"Mon, Tue, Wed, Thu",,,11:00 to 12:00,,,,,2,N,US,71854,,2019,Floyd
-92.42727654,40.82064062,48430,Belknap City Park,Open,"21047 165th St. Bloomfield, IA 52537",,Bloomfield,IA,52537,6416642200,,Pam,Cantrell,6416642200,Davis County Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","No service July 4,2019 Holiday",,11:45 to 12:05,,,,,2,N,US,10580,,2019,Davis
-92.4096466,40.75275044,48431,Davis County Community High School,Open,"503 E. Locust St. Bloomfield, IA 52537",,Bloomfield,IA,52537,6416642200,,Pam,Cantrell,6416642200,Davis County Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","No service on July 4,2019 Holiday",,11:00 to 12:30,,,,,2,N,US,10925,,2019,Davis
-92.4785775,40.801968,48432,Drakesville City Park,Open,"Railroad Way & Polk Street Drakesville, IA 52552",,Drakesville,IA,52552,6416642200,,Pam,Cantrell,6416642200,Davis County Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","No service July 4,2019 Holiday",,12:15 to 12:35,,,,,2,N,US,35313,,2019,Davis
-92.271501,40.696983,48434,Pulaski City Park,Open,"E. Main and Mill St. Pulaski, IA 52584",,Pulaski,IA,52584,6416642200,,Pam,Cantrell,6416642200,Davis County Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","No service July 4,2019 Holiday",,11:00 to 11:20,,,,,2,N,US,11878,,2019,Davis
-92.5600635,40.724577,48435,West Grove City Park,Open,"231st Street & Emerald Avenue West Grove, IA 52538",,West Grove,IA,52538,6416642200,,Pam,Cantrell,6416642200,Davis County Comm School District,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri","No service July 4,2019",,12:55 to 1:15,,,,,2,N,US,39782,,2019,Davis
-95.34374599,42.019074,48437,Denison Elementary,Open,"214 North 20th Street Denison, IA 51442",,Denison,IA,51442,7122654220,,Brandon,Mengwasser,7122654220,Denison Comm School District,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:30 to 8:30,11:00 to 12:30,,,,,2,N,US,75630,,2019,Crawford
