long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-116.7566628,47.67659161,65413,Bryan Elementary School,Open,"520 N 21st Street Coeur d'Alene, ID 83814",,Coeur d'Alene,ID,83814,2086677469,13002,Ed,Ducar,2086677469,Coeur D'Alene S.D. #271,2019-06-12T04:00:00.000Z,2019-08-16T04:00:00.000Z,MTWThF,,7:45AM-9:00AM,11:45AM-12:30PM,,,,"B,L",5,N,US,136176,,2019,Kootenai
-116.61494,43.57586654,111458,Lone Star Middle School,Open,"11055 Lone Star Road Nampa, ID 83651",,Nampa,ID,83651,2084684607,,Sheila,Keim,2084684607,Nampa S.D. #131,2019-06-05T04:00:00.000Z,2019-06-28T04:00:00.000Z,MTWThF,,7:45AM-8:15AM,11:45AM-12:15PM,,,,,8,N,US,146775,,2019,Canyon
-116.5671736,43.52754133,111462,Union High School,Open,"506 Fletcher Dr Nampa, ID 83686",,Nampa,ID,83686,2084684607,,Sheila,Keim,2084684607,Nampa S.D. #131,2019-06-06T04:00:00.000Z,2019-07-03T04:00:00.000Z,MTWThF,,8:30AM-9:00AM,11:30AM-12:00PM,,,,,8,N,US,147643,,2019,Canyon
-116.592903,43.57401261,111463,West Middle School,Open,"28 S. Midland Blvd Nampa, ID 83651",,Nampa,ID,83651,2084684607,,Michelle,Eggers,2084684607,Nampa S.D. #131,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,7:15AM-7:45AM,12:30PM-1:00PM,,,,,8,N,US,147751,,2019,Canyon
-116.2248107,43.61353463,136808,IFB - Borah Park,Open,"1000 North Americana Blvd Boise, ID 83706",,Boise,ID,83706,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-25T04:00:00.000Z,2019-06-28T04:00:00.000Z,TWThF,,,11:30AM-1:15PM,,,,,11,N,US,151258,,2019,Ada
-116.2620785,43.59700856,136809,IFB - Cassia Park,Open,"801 S Aurora Dr Boise, ID 83705",,Boise,ID,83705,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:00PM-12:30PM,,,,,11,N,US,151259,,2019,Ada
-116.2390391,43.59532311,136810,IFB - Comba Park,Open,"4600 W Camas Street Boise, ID 83705",,Boise,ID,83705,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:30AM-1:00PM,,,,,11,N,US,151260,,2019,Ada
-116.3143589,43.63186586,136811,IFB - Davis Apartment Complex,Open,"2995 N Five Mile Rd Boise, ID 83713",,Boise,ID,83713,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:55PM-1:15PM,,,,,11,N,US,151261,,2019,Ada
-116.2257998,43.63053609,136812,IFB - Elm Grove Park,Open,"970 North 29th Street Boise, ID 83702",,Boise,ID,83702,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:10PM-12:40PM,,,,,11,N,US,151262,,2019,Ada
-116.2159905,43.63639749,136813,IFB - Garden City Library,Open,"2200 W Irene St Boise, ID 83702",,Boise,ID,83702,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:00PM-12:40PM,,,,,11,N,US,151263,,2019,Ada
-116.2797695,43.660224,136814,IFB - Ivywild Park,Open,"6015 N Glenwood St Garden City, ID 83714",,Garden City,ID,83714,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:30AM-1:15PM,,,,,11,N,US,151264,,2019,Ada
-116.1858546,43.58080042,136815,IFB - Jefferson Elementary,Open,"416 W Ivywild St Boise, ID 83706",,Boise,ID,83706,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:30PM-1:00PM,,,,,11,N,US,151265,,2019,Ada
-116.2285016,43.60205001,136816,IFB - Liberty Park,Open,"200 S Latah St Boise, ID 83705",,Boise,ID,83705,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:45AM-12:15PM,,,,,11,N,US,151266,,2019,Ada
-116.2611216,43.60962156,136817,IFB - Manitou Park,Open,"520 N Liberty St Boise, ID 83704",,Boise,ID,83704,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:30AM-12:00PM,,,,,11,N,US,151267,,2019,Ada
-116.1986684,43.58731935,136818,IFB - Mountain View Park,Open,"2001 S Manitou Ave Boise, ID 83706",,Boise,ID,83706,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:30AM-12:00PM,,,,,11,N,US,151268,,2019,Ada
-116.2699389,43.63393849,136819,IFB - Oak Park Village Apartments,Open,"7006 W Ustick Rd Boise, ID 83704",,Boise,ID,83704,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:15AM-11:45AM,,,,,11,N,US,151269,,2019,Ada
-116.2175608,43.58085109,136820,IFB - Phillippi Park,Open,"2888 Cherry Ln Boise, ID 83705",,Boise,ID,83705,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:45PM-1:15PM,,,,,11,N,US,151270,,2019,Ada
-116.2486473,43.581411,136821,IFB - Redwood Park,Open,"2299 S Phillippi St Boise, ID 83705",,Boise,ID,83705,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,11:45AM-1:15PM,,,,,11,N,US,151271,,2019,Ada
-116.3244183,43.62958724,136822,IFB - Shoshone Park,Open,"2675 Shamrock St Boise, ID 83713",,Boise,ID,83713,2088001399,,Alexa,Barney,2088001399,Idaho Foodbank - Picnic in the Park,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWThF,,,12:30PM-1:00PM,,,,,11,N,US,151272,,2019,Ada
