long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-87.89971394,42.09978709,46748,Acero Chtr Sch Network,Open,"1805 N Aspen Dr Mount Prospect, IL 60056",,Mount Prospect,IL,60056,8478034815,,Jeffrey,Brusso,8478034815,Wheeling CCSD 21,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",,10:00AM-12:00PM,,,,L,2,N,US,130869,,2019,Cook
-87.62477856,41.62980154,46749,Americana Intermediate School,Open,"111 W 146th St Dolton, IL 60419",,Dolton,IL,60419,7082012070,,Kimberly,Brasfield-Carpenter,7082012070,Dolton SD 148,2019-06-11T04:00:00.000Z,2019-06-30T04:00:00.000Z,"M,T,W,TH","To confirm the meal times, please contact the site directly.",8:30AM-9:00AM,12:00PM-12:30PM,,,,"B, L",2,N,US,130898,,2019,Cook
-87.66581717,41.62259421,46750,Anne M Jeans Elem School,Open,"14700 Robey Ave Dixmoor, IL 60426",,Dixmoor,IL,60426,7083719575,,Ermetra,Olawumi,7083719575,W Harvey-Dixmoor PSD 147,2019-06-17T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",8:00AM-8:30AM,12:00PM-12:30PM,,,,"B, L",2,N,US,130908,,2019,Cook
-88.00025341,41.89715752,46751,Acero Chtr Sch Network,Open,"700 E Pleasant Ln Lombard, IL 60148",,Lombard,IL,60148,6305166500,,Edith,Rivera,6305166500,SD 45 DuPage County,2019-06-06T04:00:00.000Z,2019-06-26T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",7:45AM-8:15AM,,,,,B,2,N,US,130873,,2019,DuPage
-89.49426989,40.91360294,46752,Americana Intermediate School,Open,"616 W Hickory St Chillicothe, IL 61523",,Chillicothe,IL,61523,3092744841,,Shaun,Grant,3092744841,Il Valley Central USD 321,2019-05-31T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",,,,,,,2,N,US,130901,,2019,Peoria
-87.63324401,40.1083528,46753,Anne M Jeans Elem School,Open,"133 E 9th St Danville, IL 61832",,Danville,IL,61832,2174441800,,Mendelle,Spesard,2174441800,Danville CCSD 118,2019-06-10T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",8:30AM-9:30AM,11:45AM-12:45PM,,,,"B, L",2,N,US,130906,,2019,Vermilion
-87.76755094,41.61741651,46754,Acero Chtr Sch Network,Open,"6020 151st St Oak Forest, IL 60452",,Oak Forest,IL,60452,7086870900,,Gineen,ONeil,7086870900,Southwest Cook Coop Spec Ed,2019-06-17T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH","To confirm the meal times, please contact the site directly.",8:00AM-10:00AM,11:00AM-2:00PM,,,,"B, L",2,N,US,130872,,2019,Cook
-88.61122654,39.60680158,46755,Americana Intermediate School,Open,"910 N Graham St Sullivan, IL 61951",,Sullivan,IL,61951,2177282321,,Daniel,Allen,2177282321,Sullivan CUSD 300,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",7:30AM-9:00AM,11:00AM-12:30PM,,,,"B, L",2,N,US,130902,,2019,Moultrie
-88.61122654,39.60680158,46756,Anne M Jeans Elem School,Open,"910 N Graham St Sullivan, IL 61951",,Sullivan,IL,61951,2177282321,,Daniel,Allen,2177282321,Sullivan CUSD 300,2019-07-08T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F","To confirm the meal times, please contact the site directly.",,,,,,,2,N,US,130911,,2019,Moultrie
-90.42654949,41.52911397,46758,Hereford Park,Open,"400 13th Street East Moline, IL 61244",,East Moline,IL,61244,3097555031,,Beverly,Clark,3097555031,East Moline Citizens for Comm,2019-06-10T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH","To confirm the meal times, please contact the site directly.",,12:00PM-12:30PM,,,,L,2,N,US,118335,,2019,Rock Island
