long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-86.068674,39.81105652,41901,Jewel Christian Academy,Open,"5750 E 30th Street Indianapolis, IN 46218",,Indianapolis,IN,46218,,,,,,Jewel Educational Services,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,07:00 AM to 08:00 AM,10:50 AM to 12:50 PM,,,,"B, L",1,N,US,28485,,2019,Marion
-86.69626254,41.48192442,41902,Kingsford Heights Elementary,Open,"460 Evanston Road Kingsford Heights, IN 46346",,Kingsford Heights,IN,46346,,,,,,La Porte Community School Corp,2019-06-10T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M, T, W, R, F",,,11:30 AM to 12:00 PM,,,,L,1,N,US,9046,,2019,LaPorte
-87.50898786,41.60725019,41903,Hammond Boys & Girls Club,Open,"5840 Calumet Ave Hammond, IN 46320",,Hammond,IN,46320,,,,,,School City of Hammond,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,12:00 PM to 01:30 PM,,,,L,1,N,US,27972,,2019,Lake
-86.270751,41.65038,41904,Walker Field Park,Open,"Walnut at West Ewing South Bend, IN 46615",,South Bend,IN,46615,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:00 AM to 12:00 PM,,,,L,1,N,US,31731,,2019,St. Joseph
-87.51137576,41.58607556,42011,Edison Elementary School,Open,"7025 Madison Hammond, IN 46323",,Hammond,IN,46323,,,,,,School City of Hammond,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:15 AM to 09:15 AM,11:45 AM to 01:00 PM,,,,"B, L",1,N,US,27243,,2019,Lake
-87.48739404,41.58068567,42012,YMCA,Open,"7322 Southeastern Hammond, IN 46324",,Hammond,IN,46324,,,,,,School City of Hammond,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:30 AM to 09:30 AM,12:00 PM to 01:00 PM,,,,"B, L",1,N,US,32087,,2019,Lake
-86.3122635,41.66172,42013,Belleville Park,Open,"Lombardy & Meadow Lane South Bend, IN 46619",,South Bend,IN,46619,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:00 AM to 12:00 PM,,,,L,1,N,US,25817,,2019,St. Joseph
-86.244471,41.662557,42014,South East Park,Open,"Fellows & Wenger South Bend, IN 46601",,South Bend,IN,46601,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:20 AM to 12:20 PM,,,,L,1,N,US,30932,,2019,St. Joseph
-86.06337281,39.49001553,42015,Northwood Elementary School,Open,"965 Grizzly Cub Drive Franklin, IN 46131",,Franklin,IN,46131,,,,,,Franklin Community School Corp,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M, T, W, R, F",,08:15 AM to 09:15 AM,11:15 AM to 01:00 PM,,,,"B, L",1,N,US,29815,,2019,Johnson
-87.2455092,41.57609517,42016,Edison Jr-Sr High School,Open,"3304 Parkside Ave Lake Station, IN 46405",,Lake Station,IN,46405,,,,,,Lake Station Community Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,07:45 AM to 08:45 AM,11:15 AM to 01:15 PM,,,,"B, L",1,N,US,27244,,2019,Lake
-86.24889832,39.7431245,42017,Legore Boys & Girls Club,Open,"5228 Minnesota St Indianapolis, IN 46241",,Indianapolis,IN,46241,,,,,,Boys And Girls Clubs of Indianapolis,2018-10-15T04:00:00.000Z,2019-09-30T04:00:00.000Z,"M, T, W, R, F",,,11:30 AM to 01:00 PM,,04:00 PM to 05:00 PM,,"L, A",1,N,US,28866,,2019,Marion
-87.23989598,41.56984969,42018,Riverview Park,Open,"2701 Ripley Street Lake Station, IN 46405",,Lake Station,IN,46405,,,,,,Lake Station Community Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:30 AM to 01:00 PM,,,,L,1,N,US,30521,,2019,Lake
-86.2477318,41.63099347,42019,O'Brien Rec. Center,Open,"321 East Walter Street South Bend, IN 46614",,South Bend,IN,46614,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,12:00 PM to 01:00 PM,,,,L,1,N,US,29873,,2019,St. Joseph
-86.2404842,39.71972277,42020,Troy Manor Apartments,Open,"4562 West Perry Street Indianapolis, IN 46241",,Indianapolis,IN,46241,,,,,,MSD of Decatur Twp,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, R, F",,,11:00 AM to 11:45 AM,,,,L,1,N,US,31518,,2019,Marion
-86.72544967,41.6003484,42021,LaPorte High School,Open,"602 F St. LaPorte, IN 46350",,LaPorte,IN,46350,,,,,,La Porte Community School Corp,2019-06-10T04:00:00.000Z,2019-07-05T04:00:00.000Z,"M, T, W, R, F",,07:30 AM to 08:30 AM,11:30 AM to 12:30 PM,,,,"B, L",1,N,US,9091,,2019,LaPorte
-86.21907537,41.69447522,42022,Boehm Park,Open,"Edison Rd. & Rose St. South Bend, IN 46635",,South Bend,IN,46635,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,10:55 AM to 11:55 AM,,,,L,1,N,US,25934,,2019,St. Joseph
-87.38944439,39.46398317,42023,Davis Park Elementary School,Open,"310 South 18th Street Terre Haute, IN 47803",,Terre Haute,IN,47803,,,,,,Vigo County School Corp,2019-07-22T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:00 AM to 08:30 AM,11:30 AM to 12:00 PM,,,,"B, L",1,N,US,26975,,2019,Vigo
-87.40979746,39.44655925,42024,Farrington Grove Elementary,Open,"1826 South 6th Street Terre Haute, IN 47802",,Terre Haute,IN,47802,,,,,,Vigo County School Corp,2019-07-22T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:00 AM to 08:30 AM,11:30 AM to 12:00 PM,,,,"B, L",1,N,US,27463,,2019,Vigo
-87.3917573,39.4767155,42025,Franklin Elementary School,Open,"1600 Elm Street Terre Haute, IN 47807",,Terre Haute,IN,47807,,,,,,Vigo County School Corp,2019-07-22T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:00 AM to 08:30 AM,11:30 AM to 12:00 PM,,,,"B, L",1,N,US,27620,,2019,Vigo
-86.29676169,41.68865165,42026,Beacon Heights,Open,"3401 Ardmore Trail South Bend, IN 46619",,South Bend,IN,46619,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:25 AM to 12:25 PM,,,,L,1,N,US,25789,,2019,St. Joseph
-86.24435611,41.6651985,42027,Boys & Girls Club,Open,"502 East Sample ST South Bend, IN 46601",,South Bend,IN,46601,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:00 AM to 09:00 AM,11:30 AM to 12:30 PM,,,,"B, L",1,N,US,25984,,2019,St. Joseph
-86.235354,41.685939,42028,Coquillard Park,Open,"Eddy St at Campeau South Bend, IN 46617",,South Bend,IN,46617,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:00 AM to 12:00 PM,,,,L,1,N,US,26789,,2019,St. Joseph
-86.29483176,41.6719385,42029,Harrison School Playgound,Open,"3302 Western Ave South Bend, IN 46619",,South Bend,IN,46619,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,10:50 AM to 11:50 AM,,,,L,1,N,US,28031,,2019,St. Joseph
-86.29563599,41.67565651,42030,LaSalle Park,Open,"3419 W Washington St South Bend, IN 46619",,South Bend,IN,46619,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,10:45 AM to 11:45 AM,,,,L,1,N,US,28817,,2019,St. Joseph
-86.27417038,41.6793795,42031,Martin Luther King Center,Open,"1522 Linden Ave South Bend, IN 46628",,South Bend,IN,46628,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,08:15 AM to 08:45 AM,11:20 AM to 12:20 PM,,,,"B, L",1,N,US,29194,,2019,St. Joseph
-85.911354,39.207753,42032,9th Street Park,Open,"Corner of 9th and Wilson Columbus, IN 47201",,Columbus,IN,47201,,,,,,Bartholomew Consolidated Schools,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M, T, W, R, F",,,01:30 PM to 02:00 PM,,,,L,1,N,US,25396,,2019,Bartholomew
-86.2526757,39.66945305,42033,Canterbury House Apartments,Open,"6505 Tanner Drive Indianapolis, IN 46221",,Indianapolis,IN,46221,,,,,,MSD of Decatur Twp,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M, T, W, R, F",,,11:00 AM to 11:30 AM,,,,L,1,N,US,26303,,2019,Marion
-86.2703505,41.672115,42034,Pulaski Park,Open,"Walnut at Western Ave. South Bend, IN 46601",,South Bend,IN,46601,,,,,,South Bend Community School Corp,2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M, T, W, R, F",,,11:15 AM to 12:15 PM,,,,L,1,N,US,30317,,2019,St. Joseph
