long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-96.18418706,37.13005733,52324,Sedan Elementary School,Open,"404 N Sherman Sedan, KS 67361",,Sedan,KS,67361,,,Rebecca,Kunath,6207255611,D0286 - Chautauqua County Community,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH,",Breakfast: 6-3-19 thru 6-27-19;,09:30 AM-10:00 AM,12:00 PM - 01:00 PM,,,,"B, L,",2,N,US,101267,,2019,Chautauqua
-97.40628788,39.59644746,52325,Clifton Clyde Sr High School,Open,"616 North High St., Suite 1 Clyde, KS 66938",,Clyde,KS,66938,,,Cindi,Dockins,7854462098,D0224 - Clifton-Clyde,2019-05-28T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F,",Breakfast: 06/3/2019-07/31/2019;,08:00 AM-10:30 AM,,,,,"B,",2,N,US,100279,,2019,Cloud
-94.63397047,37.07442852,52330,Galena High School,Open,"602 East 8th Street Galena, KS 66739",,Galena,KS,66739,,,Shelly,Bailey Carr,6207834499,D0499 - Galena,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F,",Breakfast: 6/3/2019 - 6/21/2019 and 7/1/2019 - 7/26/2019;,07:30 AM-08:15 AM,11:45 AM - 12:30 PM,,,,"B, L,",2,N,US,101976,,2019,Cherokee
-95.43313512,37.81035661,52332,Humboldt High School,Open,"1020 New York St. Humboldt, KS 66748",,Humboldt,KS,66748,,,Marsha,Frederick,6204732754,D0258 - Humboldt,2019-05-28T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F,",Breakfast: 5/28/2019-7/19/2019 Closed 7/4&5/2019;,08:00 AM-09:00 AM,11:30 AM - 01:00 PM,,,,"B, L,",2,N,US,100657,,2019,Allen
-98.11190869,37.64749601,52333,Kingman Elementary School,Open,"607 North Spruce Street Kingman, KS 67068",,Kingman,KS,67068,,,Rose,Shilling,6205323186,D0331 - Kingman,2019-05-28T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F,",Lunch: May 28th-August 2nd. Closed July 4th and 5th.;,,11:30 AM - 12:30 PM,,,,"L,",2,N,US,100751,,2019,Kingman
-97.84663086,37.45810419,52334,Norwich High School,Open,"209 Parkway Norwich, KS 67118",,Norwich,KS,67118,,,Sara,Bryant,6204782235,D0331 - Kingman,2019-05-28T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F,",Lunch: May 28th-August 2nd. Closed July 4th and 5th.;,,12:00 PM - 01:00 PM,,,,"L,",2,N,US,23650,,2019,Kingman
-101.2071105,37.32212854,52335,Moscow Elementary School,Open,"301 High Road Moscow, KS 67952",,Moscow,KS,67952,,,Patti,Seifried,6205982224,D0209 - Moscow Public Schools,2019-05-13T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F,","Breakfast: Meals Served May 13-June 21, No meals served on May 27th, Memorial Day;",08:00 AM-08:30 AM,11:30 AM - 12:15 PM,,,,"B, L,",2,N,US,100961,,2019,Stevens
-97.2334818,37.47865976,52336,Mulvane Grade School,Open,"411 SE Louis Blvd Mulvane, KS 67110",,Mulvane,KS,67110,,,June,Mathews,3167771981,D0263 - Mulvane,2019-05-28T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F,",Breakfast: 05/28/2019 to 08/02/2019;,08:15 AM-09:45 AM,11:30 AM - 01:00 PM,,,,"B, L,",2,N,US,100975,,2019,Sedgwick
-97.6246848,38.78231817,52339,Schilling Elementary School,Open,"3121 Canterbury Salina, KS 67401",,Salina,KS,67401,,,Kim,Lemon,7853094387,D0305 - Salina,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F,",Lunch: 6/3 - 7/19;,,12:00 PM - 12:30 PM,,,,"L,",2,N,US,23949,,2019,Saline
-97.59882772,38.80442653,52340,Stewart Elementary School,Open,"2123 Roach Salina, KS 67401",,Salina,KS,67401,,,Cindy,Taylor,7853094457,D0305 - Salina,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F,",Breakfast: 6/3 - 6/28;,07:45 AM-08:15 AM,10:45 AM - 12:30 PM,,,,"B, L,",2,N,US,132026,,2019,Saline
-97.630074,38.81993747,52341,Sunset Elementary School,Open,"1510 W Republic Salina, KS 67401",,Salina,KS,67401,,,Karlie,Johnson-Couch,7853094565,D0305 - Salina,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F,",Lunch: 6/3 - 7/19;,,12:00 PM - 12:30 PM,,,,"L,",2,N,US,101386,,2019,Saline
