long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-85.86547716,37.70083102,46282,New Mission Hope for kids,Open,"401 West Poplar Street Elizabethtown, KY 42701",,Elizabethtown,KY,42701,2703041569,,Nelle,Thomas,2703041569,Elizabethtown Independent School District,2019-06-10T04:00:00.000Z,2019-07-16T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 12:30PM,,12:00PM - 12:30PM,,,,L,2,N,US,76389,,2019,Hardin
-85.86385619,37.68913607,46350,Wesley Hilltop House,Open,"101 Skyline Drive Elizabethtown, KY 42701",,Elizabethtown,KY,42701,2707661236,,Mike,Sallee,2707661236,Elizabethtown Independent School District,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",11:00AM - 1:00PM,,11:00AM - 1:00PM,,,,L,2,N,US,132156,,2019,Hardin
-86.08800031,37.47710537,46351,Intersection Lacon Skaggs Rd. & Nosey Creek Ct.,Open,"Lacon Skaggs Rd Clarkson, KY 42726",,Clarkson,KY,42726,2702594011,,Beth,Meredith,2702594011,Grayson County Board of Education,2019-06-03T04:00:00.000Z,2019-07-24T04:00:00.000Z,"M,T,W,TH,F",11:45AM - 12:15PM,,11:45AM - 12:15PM,,,,L,2,N,US,131485,,2019,Grayson
-86.15303977,37.54314732,46352,Big Clifty,Open,"9847 Elizabethtown Rd. Big Clifty, KY 42712",,Big Clifty,KY,42712,2702594011,,Beth Lee,Meredith,2702594011,Grayson County Board of Education,2019-06-03T04:00:00.000Z,2019-07-24T04:00:00.000Z,"M,T,W,TH,F",11:00AM - 11:30AM,,11:00AM - 11:30AM,,,,L,2,N,US,130993,,2019,Grayson
-85.84006973,37.71203716,46373,Etown swim and fitness,Open,"3026 Ring Road Elizabethtown, KY 42701",,Elizabethtown,KY,42701,2707657946,,Kim,Yates,2707657946,Elizabethtown Independent School District,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",7:30AM - 12:00PM,7:30AM - 8:00AM,11:30AM - 12:00PM,,,,"B,L",2,N,US,131291,,2019,Hardin
-83.72599459,38.4184087,46376,FLEMING COUNTY HOUSING AUTHORITY - CIRCLE DRIVE,Open,"142 Circle Drive Flemingsburg, KY 41041",,Flemingsburg,KY,41041,6068459003,,Jan,Anderson,6068459003,Fleming County Board of Education,2019-06-04T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,18870,,2019,Fleming
-87.48181348,37.31949484,46437,The Salvation Army,Open,"805 McCoy Avenue Madisonville, KY 42431",,Madisonville,KY,42431,2708219622,,Darlene,Sheyer,2708219622,Hopkins County YMCA,2019-05-28T04:00:00.000Z,2019-08-06T04:00:00.000Z,"M,T,W,TH",9:00AM - 12:00PM,9:00AM - 9:30AM,11:00AM - 12:00PM,,,,"B,L",2,N,US,21719,,2019,Hopkins
-84.27978414,37.74666752,46534,Smith Village Housing Authority of Richmond,Open,"429 Evansdale Ave. Richmond, KY 40475",,Richmond,KY,40475,8596256076,1406,Kathy,Winkler,8596256076,Madison County Board of Education,2019-05-27T04:00:00.000Z,2019-08-13T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,129057,,2019,Madison
-84.29992901,37.74090007,46562,Southern Kentucky Migrant Education Program,Open,"469 University Drive Richmond, KY 40475",,Richmond,KY,40475,8592003181,,Michael,Hay,8592003181,Madison County Board of Education,2019-06-24T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",8:00AM - 12:00PM,8:00AM - 8:30AM,11:45AM - 12:00PM,,,,"B,L",2,N,US,132004,,2019,Madison
-83.62551045,37.95082845,46575,Menifee County Head Start,Open,"1 HWY 460 East Frenchburg, KY 40322",,Frenchburg,KY,40322,6067683818,,Martina,Roe,6067683818,Menifee County Board of Education,2019-06-03T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F",8:00AM - 12:00PM,8:00AM - 9:00AM,11:00AM - 12:00PM,,,,"B,L",2,N,US,104459,,2019,Menifee
