long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-91.15371216,30.47558451,86682,Celerity Dalton Charter School,Open,"3605 Ontario Boulevard Baton Rouge, LA 70805",,Baton Rouge,LA,70805,8602159631,,Tirza,Rivera,2253570244,Advocates for Science & Mathematics Ed Inc,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",8:00AM-1:00PM,8:00AM-8:30AM,12:00PM-1:00PM,,,,,7,N,US,142449,,2019,East Baton Rouge
-91.13713226,30.51574749,86683,Baton Rouge University Preparatory Elementary,Open,"5300 Monarch Avenue Baton Rouge, LA 70811",,Baton Rouge,LA,70811,2253469805,,Kayla,Stanley,2253649805,Baton Rouge University Preparatory School Inc,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH",8:30AM-12:15PM,8:30AM-9:00AM,11:30AM-12:15PM,,,,,7,N,US,142108,,2019,East Baton Rouge
-91.13713226,30.51574749,86684,Baton Rouge College Prep,Open,"5300 Monarch Baton Rouge, LA 70811",,Baton Rouge,LA,70811,2252579180,,Kathryn,Rice,2253377702,Baton Rouge University Preparatory School Inc,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH",8:00AM-1:00PM,8:00AM-8:15AM,12:30PM-1:00PM,,,,,7,N,US,114156,,2019,East Baton Rouge
-93.29176383,30.8576524,86685,Beau Care,Open,"628 High School Dr DeRidder, LA 70634",,DeRidder,LA,70634,3374622273,,April,Walters,3374622273,"BeauCARE, Inc.",2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",7:30AM-12:30PM,7:30AM-8:30AM,11:30AM-12:30PM,,,,,7,N,US,34069,,2019,Beauregard
-93.27648333,30.84813608,86686,Veteran's Park,Open,"499 Mahlon Street DeRidder, LA 70634",,DeRidder,LA,70634,3374622273,,Jaeda,Buckley,3374622273,"BeauCARE, Inc.",2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",2:45PM-3:15PM,,,,2:45PM-3:15PM,,,7,N,US,39591,,2019,Beauregard
-92.63299336,32.5308371,86689,Boys & Girls Clubs of North Central LA,Open,"300 Memorial Dr Ruston, LA 71270",,Ruston,LA,71270,3182552242,,Daphane,Bryant,3182552242,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",8:30AM-2:30PM,8:30AM-9:30AM,1:30PM-2:30PM,,,,,7,N,US,34295,,2019,Lincoln
-92.64514478,32.52216955,86690,Mays Chapel CME Church,Open,"513 West Line Avenue Ruston, LA 71270",,Ruston,LA,71270,3182554676,,W. D.,Walker,3182554676,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",12:00PM-1:00PM,,12:00PM-1:00PM,,,,,7,N,US,37259,,2019,Lincoln
-92.69365219,32.50763772,86691,Lincoln Family Housing,Open,"105 Greene Lane Ruston, LA 71270",,Ruston,LA,71270,3182556784,,Michael,Evans,3182552242,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",8:30AM-1:30PM,8:30AM-9:30AM,12:30PM-1:30PM,,,,,7,N,US,36993,,2019,Lincoln
-92.70679781,32.50768064,86692,Christ Temple,Open,"7349 Highway 80 W Grambling, LA 71245",,Grambling,LA,71245,3182740030,,Lynn,Green,3182740030,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",12:00PM-1:00PM,,12:00PM-1:00PM,,,,,7,N,US,34805,,2019,Lincoln
-92.595582,32.58731753,86694,Mt. Harmony Day Camp,Open,"222 Mt. Harmony Church Road Ruston, LA 71270",,Ruston,LA,71270,3182554525,,Ed,Jackson,3182554525,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",8:00AM-1:00PM,8:00AM-9:00AM,12:00PM-1:00PM,,,,,7,N,US,64536,,2019,Lincoln
-92.65644335,32.70117289,86695,Dubach Community Building,Open,"106 Smith St Dubach, LA 71235",,Dubach,LA,71235,3187773618,,Bonnie,Gipson,3182552242,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",12:00PM-1:00PM,,12:00PM-1:00PM,,,,,7,N,US,35326,,2019,Lincoln
-92.72953197,32.52618252,86696,Westwood Family Housing,Open,"596 College Avenue Grambling, LA 71245",,Grambling,LA,71245,3182476035,,Natalie,Blake,3182476035,Boys & Girls Clubs of North Central LA,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",11:00AM-12:00PM,,11:00AM-12:00PM,,,,,7,N,US,39835,,2019,Lincoln
-93.42431897,30.45453444,86698,DeQuincy-City of DeQuincy Recreation,Open,"507 Oak Street DeQuincy, LA 70633",,DeQuincy,LA,70633,3373024939,,Barbara,Robinson,3377214030,Calcasieu Parish Police Jury,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",11:00AM-1:00PM,,11:00AM-1:00PM,,,,,7,N,US,94942,,2019,Calcasieu
-93.36632965,30.23933621,86699,Housing Authority-City of Sulphur,Open,"312 Brook Street Sulphur, LA 70665",,Sulphur,LA,70665,,,Vickie,Spell,3377214030,Calcasieu Parish Police Jury,2019-05-01T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",11:00AM-1:00PM,,11:00AM-1:00PM,,,,,7,N,US,95053,,2019,Calcasieu
