long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-69.96673289,41.85784639,87097,NAUSET REGIONAL HIGH SCHOOL (SF-150-005),Open,"100 CABLE RD. EASTHAM, MA 02642",,EASTHAM,MA,2642,5082405974,,Christine,Mickle,5082405974,Church of the Holy Spirit (01-224-SF-250),2019-07-01T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,11:30 AM,,,,,7,N,US,53859,,2019,Barnstable
-69.96341918,41.68368417,87098,CHATHAM COMMUNITY CENTER (SF-250-002),Open,"702 MAIN ST. CHATHAM, MA 02633",,CHATHAM,MA,2633,5089455175,,GEORGIA,FARRELL,5089455175,Church of the Holy Spirit (01-224-SF-250),2019-07-01T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",,,12:00 PM,9:00 AM,,,,7,N,US,50706,,2019,Barnstable
-69.96108897,41.68257934,87099,FIRST CONGREGATIONAL CHURCH (SF-250-006),Open,"650 MAIN ST. CHATHAM CHATHAM, MA 02633",,CHATHAM,MA,2633,5082412403,,Amy/Deb,MIDDLETON/Gebhardt,5082412403,Church of the Holy Spirit (01-224-SF-250),2019-07-15T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F",,,11:30 AM,8:30 AM,,,,7,N,US,51700,,2019,Barnstable
-69.99328213,41.77951743,87100,ORLEANS ELEMENTARY SCHOOL (SF-250-007),Open,"46 Eldredge Parkway Orleans, MA 02653",,Orleans,MA,2653,5082375942,,Alan,Harrison,5082403700,Church of the Holy Spirit (01-224-SF-250),2019-07-01T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,8:30 AM,11:30 AM,,,,,7,N,US,91417,,2019,Barnstable
-70.03313888,41.93072539,87102,BAKER'S FIELD-WELLFLEET (SF-250-011),Open,"70 KENDRICK AVE. WELLFLEET, MA 02667",,WELLFLEET,MA,2667,5083490314,,BECKY,ROSENBERG,5083490314,Church of the Holy Spirit (01-224-SF-250),2019-07-01T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:45 AM,8:45 AM,,,,7,N,US,49895,,2019,Barnstable
-70.08771949,42.03821718,87104,Truro Public Library (SF-250-019),Open,"7 Standish Way (Front building ) Truro, MA 02652",,Truro,MA,2652,5084871125,,Maggie,Hanelt,5084871125,Church of the Holy Spirit (01-224-SF-250),2019-06-27T04:00:00.000Z,2019-08-23T04:00:00.000Z,"TH,F",,,11:30 AM,,,,,7,N,US,92030,,2019,Barnstable
-70.07649155,41.68518599,87106,Harwich Arts Center (SF-250-024),Open,"265 Sisson Road Harwich, MA 02645",,Harwich,MA,2645,5084322002,3,Tammy,Harper,,Church of the Holy Spirit (01-224-SF-250),2019-07-01T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,,12:00 PM,9:00 AM,,,,7,N,US,143298,,2019,Barnstable
-69.97785549,41.83001744,87107,Eastham Public Library (SF-250-025),Open,"190 Samoset Road Eastham, MA 02642",,Eastham,MA,2642,5082405950,,Fran,McLoughlin,5082405950,Church of the Holy Spirit (01-224-SF-250),2019-07-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"W,F",,,11:30 AM,,,,,7,N,US,142855,,2019,Barnstable
-71.09605416,41.91581636,87108,HOPEWELL PLAYGROUND (SF-109-001),Open,"HOPEWELL ST. TAUNTON, MA 02780",,TAUNTON,MA,2780,5088211156,,Leilani,Cronin,,Taunton Public Schools (03-293-SF-109),2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,12:30 PM,,,,,7,N,US,52496,,2019,Bristol
-71.08534207,41.89304577,87109,PAUL BUNKER /Riverside Apartments (SF-109-005),Open,"117 Paul Bunker Drive TAUNTON, MA 02780",,TAUNTON,MA,2780,5088230737,,Lani,Cronin,5088211156,Taunton Public Schools (03-293-SF-109),2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:30 PM,,,,,7,N,US,59564,,2019,Bristol
