long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-76.68565782,39.35320101,58695,CHEDER CHABAD,Open,"5713 PARK HEIGHTS AVE BALTIMORE, MD 21215",,BALTIMORE,MD,21215,4105851498,,SARA,WETSTEIN,4106154270,BNOS YISROEL OF BALTIMORE INC,2019-06-26T07:00:00.000Z,2019-08-19T07:00:00.000Z,"M,T,W,TH,F",,,11:30AM-1:30PM,,2:30PM-3:00PM,,"LA,",4,N,US,85385,,2019,Baltimore City
-76.77296113,39.4197342,58698,TORAH INSTITUTE,Open,"35 ROSEWOOD LANE OWINGS MILLS, MD 21117",,OWINGS MILLS,MD,21117,4106543500,,PENINA,KATZ,4109839886,BNOS YISROEL OF BALTIMORE INC,2019-06-25T07:00:00.000Z,2019-07-17T07:00:00.000Z,"M,T,W,TH",,,11:30AM-1:30PM,,,,L,4,N,US,88771,,2019,Baltimore County
-76.71609519,39.35864331,58699,NEIMUS HATORAH,Open,"4398 CREST HEIGHTS RD BALTIMORE, MD 21215",,BALTIMORE,MD,21215,4105851664,,SHAI,MEYEROWITZ,4046174198,BNOS YISROEL OF BALTIMORE INC,2019-06-25T07:00:00.000Z,2019-08-19T07:00:00.000Z,"M,T,W,TH,F",,,11:30AM-1:30PM,,,,L,4,N,US,121699,,2019,Baltimore County
-77.16051249,39.64925829,58852,TANEYTOWN LIBRARY,Open,"10 GRAND DRIVE TANEYTOWN, MD 21787",,TANEYTOWN,MD,21787,4107513320,,JILLIAN,DITTRICH,4103864515,CARROLL CO PUB SCH,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",,,12:00PM-1:00PM,,,,L,4,N,US,135613,,2019,Carroll
-76.08421053,38.57920061,58853,DORCHESTER COUNTY YMCA,Open,"201 TALBOT AVE CAMBRIDGE, MD 21613",,CAMBRIDGE,MD,21613,4102210505,,JENNIFER,LEHN,4102210505,DORCHESTER CO BOARD OF ED,2019-06-17T07:00:00.000Z,2019-09-01T07:00:00.000Z,"M,T,W,TH,F",,7:30AM-8:30AM,11:15AM-12:30PM,,,,"B,L",4,N,US,85759,,2019,Dorchester
-77.3976735,39.43804754,58858,GOVERNOR THOMAS JOHNSON MIDDLESCHOOL,Open,"1799 SCHIFFERSTADT BLVD. FREDERICK, MD 21701",,FREDERICK,MD,21701,2402364900,,MARGARET,GILGALLON,2402364900,FREDERICK CO PUB SCH,2019-06-24T07:00:00.000Z,2019-08-21T07:00:00.000Z,"M,T,W,TH",,8:30AM-9:00PM,11:30AM-12:30PM,,,,"B,L",4,N,US,86264,,2019,Frederick
-77.43094562,39.41458423,58861,GIRL SCOUT GROUP,Open,"703 WEST PATRICK STREET FREDERICK, MD 21701",,FREDERICK,MD,21701,2404057368,,KRISTIN,STEVENS,2404057368,FREDERICK CO PUB SCH,2019-06-24T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M,T,W,TH,F",,,12:00PM-12:45PM,,3:00PM-3:30PM,,"LA,",4,N,US,134453,,2019,Frederick
-76.76639826,39.35532918,58873,LOFTIN LOVE CHRISTIAN DAYCARE & LEARNING CENTER,Open,"3527 N. ROLLING ROAD (8-11+13) WINDSOR MILL, MD 21244",8-11+13,WINDSOR MILL,MD,21244,4106552738,,TIMERA,LOFTIN,4432863262,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",,8:00AM-9:00AM,11:00AM-12:00PM,,,,"B,L",4,N,US,87023,,2019,Baltimore County
-76.71802792,39.36929426,58874,ENCOURAGING YOUTH TO DREAM,Open,"605 REISTERSTOWN ROAD PIKESVILLE, MD 21208",,PIKESVILLE,MD,21208,4105800290,,KIMBERLY,BROOKS,8183004806,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",,9:30AM-10:30AM,12:30PM-1:30PM,,,,"B,L",4,N,US,134331,,2019,Baltimore County
-76.7612017,39.35411071,58875,SANBRIDGE EARLY LEARNING CENTER AT WINDSOR MILL,Open,"3523 ELLEN ROAD WINDSOR MILL, MD 21244",,WINDSOR MILL,MD,21244,4434057403,,PAULA,LAWS,4437126612,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,7:30AM-8:30AM,12:00PM-1:00PM,,,,"B,L",4,N,US,135421,,2019,Baltimore County
-76.59921346,39.34505859,58876,THE LEAGUE FOR PEOPLE WITH DISABILITIES,Open,"1111 E. COLDSPRING LANE BALTIMORE, MD 21239",,BALTIMORE,MD,21239,4103230500,348,PRINCESS,COPPER,4102151244,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",,,,,2:00PM-3:00PM,5:00PM-6:00PM,"SA,",4,N,US,135635,,2019,Baltimore City
-76.6715225,39.30892346,58878,JOHN WESLEY UNITED METHODIST CHURCH,Open,"3202 W. NORTH AVENUE BALTIMORE, MD 21216",,BALTIMORE,MD,21216,4106155625,,SHELIA,EDWARDS,4106155625,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M,T,W,TH,F",,,,,7:00PM-7:30PM,5:00PM-6:00PM,S,4,N,US,121375,,2019,Baltimore City
-76.74624528,39.31484174,58879,TSUNAMI MARTIAL ARTS CENTER,Open,"1718 BELMONT AVENUE WINDSOR MILL, MD 21244",,WINDSOR MILL,MD,21244,4102655441,,GEORGE,GREEN,4102655441,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",,8:30AM-9:30AM,,,,3:30PM-4:30PM,"B,S",4,N,US,122336,,2019,Baltimore County
-76.60503069,39.32503766,58880,901 ARTS,Open,"901 MONTPELIER ST BALTIMORE, MD 21218",,BALTIMORE,MD,21218,4103662252,,NATHAN,PALUZZI,4439047072,ST VINCENT DE PAUL OF BALTIMORE INC,2019-07-01T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",,,,,2:30PM-3:30PM,5:30PM-6:30PM,"SA,",4,N,US,57210,,2019,Baltimore City
-76.67816934,39.34873212,58881,WORD AND PRAISE FAITH MINISTRY,Open,"5200 DENMORE AVENUE BALTIMORE, MD 21215",,BALTIMORE,MD,21215,4104124196,,SHELLY,BARBER,4104124196,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-07-27T07:00:00.000Z,"M,T,W,TH",,,,,7:00PM-7:30PM,5:00PM-6:00PM,"SA,",4,N,US,122472,,2019,Baltimore City
-76.73007284,39.25645773,58882,SANBRIDGE EARLY LEARNING CENTER CCBC CATONSVILLE,Open,"800 SOUTH ROLLING RD CATONSVILLE, MD 21228",,CATONSVILLE,MD,21228,4438404242,,TIERRA,WILLIAMS,4109250323,ST VINCENT DE PAUL OF BALTIMORE INC,2019-06-24T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",,7:00AM-8:00AM,12:00PM-1:00PM,,,,"B,L",4,N,US,135422,,2019,Baltimore County
-76.69508507,39.35923863,58883,BNOS YISROEL,Open,"6300 PARK HEIGHTS AVE BALTIMORE, MD 21215",,BALTIMORE,MD,21215,4435243200,,NECHAMA,HOBERMAN,4436428672,BNOS YISROEL OF BALTIMORE INC,2019-06-22T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,,11:30AM-1:30PM,,3:00PM-3:30PM,,"LA,",4,N,US,57487,,2019,Baltimore City
-75.18809853,38.33729702,87201,STEPHEN DECATUR MIDDLE,Open,"9815 SEAHAWK RD BERLIN, MD 21811",,BERLIN,MD,21811,4106412846,,ELLEN,DALE,4106412846,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:30AM-8:45AM,11:40AM-12:10PM,,,,,7,N,US,60275,,2019,Worcester
-75.5655137,38.06623847,87203,POCOMOKE MIDDLE SCHOOL,Open,"800 EIGHTH STREET POCOMOKE, MD 21851",,POCOMOKE,MD,21851,4106325167,,AUTUMN,CARILLE,4106325167,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:00AM-8:30AM,11:30AM-12:00PM,,,,,7,N,US,59804,,2019,Worcester
-75.22287163,38.32002415,87204,BUCKINGHAM ELEM,Open,"100 BUCKINGHAM RD BERLIN, MD 21811",,BERLIN,MD,21811,4106325313,,KAREN,WIDGEON,4106325313,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:00AM-8:30AM,11:00AM-12:00PM,,,,,7,N,US,57592,,2019,Worcester
-75.55822411,38.05632602,87205,POCOMOKE ELEMENTARY SCHOOL,Open,"2119 POCOMOKE BELTWAY POCOMOKE, MD 21851",,POCOMOKE,MD,21851,4106325147,,BONITA,HOWSER,4106325147,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:00AM-8:15AM,11:30AM-12:00PM,,,,,7,N,US,93821,,2019,Worcester
-75.39606622,38.16648401,87207,SNOW HILL ELEMENTARY,Open,"5708 COULBOURNE LN DR SNOW HILL, MD 21863",,SNOW HILL,MD,21863,4106325227,,GAIL,HALL,4106325227,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:00AM-8:30AM,11:30AM-12:00PM,,,,,7,N,US,60150,,2019,Worcester
-75.21197668,38.32998692,87208,BERLIN INTERMEDIATE,Open,"309 FRANKLIN AVENUE BERLIN, MD 21811",,BERLIN,MD,21811,4106325337,,VALERIE,SULLIVAN,4106325337,WORCESTER CO BRD OF ED,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:00AM-8:30AM,11:30AM-12:30PM,,,,,7,N,US,57440,,2019,Worcester
-76.8884535,38.895975,87209,CARMODY HILLS ELEMENTARY,Open,"401 JADELEAF AVENUE (ENROLLED) CAPITOL HEIGHTS, MD 20743",ENROLLED,CAPITOL HEIGHTS,MD,20743,3018088185,,CHRISTELL,ROSS,3019526580,PRINCE GEORGE'S CO. PUBLIC SCHOOL,2019-06-24T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,8:00AM-8:30AM,11:00AM-11:30AM,,,,,7,N,US,92957,,2019,Prince George's
-79.342819,39.55999318,87212,GARRETT COLLEGE,Open,"687 MOSSER ROAD MC HENRY, MD 21541",,MC HENRY,MD,21541,3013873045,,MANY,GALE,3013873086,GARRETT CO PUB SCH,2019-06-17T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,8:00AM-9:00AM,12:00PM-12:30PM,,,,,7,N,US,86184,,2019,Garrett
-75.79911955,39.60472878,87218,THOMSON ESTATES ELEMENTARY,Open,"203 EAST THOMSON DRIVE ELKTON, MD 21921",,ELKTON,MD,21921,4109965080,,SARAH,CREEK,4109965080,CECIL CO PUB SCH,2019-06-24T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH",,9:00AM-10:00AM,12:00PM-12:45PM,,,,,7,N,US,88742,,2019,Cecil
-79.38427504,39.40600252,87219,DENNETT ROAD,Open,"770 DENNETT ROAD MT LAKE PARK, MD 21550",,MT LAKE PARK,MD,21550,3013348917,,SCOTT,GERMAIN,3013348917,GARRETT CO PUB SCH,2019-06-12T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,8:30AM-9:00AM,11:30AM-12:00PM,,,,,7,N,US,85716,,2019,Garrett
-77.01471317,39.11402518,87221,BLAKE HS ESY,Open,"300 NORWOOD ROAD SILVER SPRING, MD 20905",,SILVER SPRING,MD,20905,3012844900,,SUSAN,MCCARRON,3012844900,MONTGOMERY CO PUB SCH,2019-06-24T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH,F",,7:45AM-8:45AM,12:00PM-2:00PM,,,,,7,N,US,125142,,2019,Montgomery
