long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-67.94815765,47.16706859,58702,Acadia Heights,Open,"Fulton Street Van Buren, ME 04785",,Van Buren,ME,4785,2078682746,,Clayton,Belanger,2078685274,RSU 88/MSAD 24,2019-06-24T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",,,11:30 AM - 12:00 PM,,,,L,4,N,US,2770,,2019,Aroostook
-68.58956281,47.27329263,58703,Acap Headstart Center,Open,"40 Alfalfa Street Fort Kent, ME 04743",,Fort Kent,ME,4743,2078345135,,Connie,Montpetit,2078345540,MSAD 27,2019-06-24T07:00:00.000Z,2019-08-02T07:00:00.000Z,M-F,,07:30 am - 08:45 am,11:00 am - 12:15 pm,,,,"B,L",4,N,US,92743,,2019,Aroostook
-70.56974662,44.32693132,58705,Agnes Gray School,Open,"170 Main Street West Paris, ME 04289",,West Paris,ME,4289,2078904311,,Eileen,Stork,2077438914,RSU 17/MSAD 17,2019-06-17T07:00:00.000Z,2019-08-02T07:00:00.000Z,,,,,,,,,4,N,US,80564,,2019,Oxford
-69.63620484,44.55008403,58706,Albert S Hall School,Open,"27 Pleasant St Waterville, ME 04901",,Waterville,ME,4901,2078738071,,Lori,Hartin,2078734281,Waterville Public Schools,2019-07-01T07:00:00.000Z,2019-07-31T07:00:00.000Z,M-F,,08:30 am - 09:00 am,11:15 am - 11:35 am,,,,"B,L",4,N,US,80577,,2019,Kennebec
-69.63389333,44.56878637,58708,Armory Road Housing,Open,"Armory Road Waterville, ME 04901",,Waterville,ME,4901,2078732751,,Lori,Hartin,2078734281,Waterville Public Schools,2019-06-24T07:00:00.000Z,2019-08-16T07:00:00.000Z,M-F,,,10:50 am - 11:10 am,,,,L,4,N,US,80637,,2019,Kennebec
-68.03205158,46.69745622,58709,Aroostook band of Micmacs Summer Program,Open,"56 Micmac Drive Presque Isle, ME 04769",,Presque Isle,ME,4769,2075513884,,Fenton,Jones,2077683218,Aroostook Band of Micmacs,2019-06-24T07:00:00.000Z,2019-09-06T07:00:00.000Z,,,,,,,,,4,N,US,80638,,2019,Aroostook
-69.796141,44.31192887,58712,Augusta Boys & Girls Club,Open,"22 Armory St Augusta, ME 04330",,Augusta,ME,4330,2076220452,,Charles,Huerth,2076910705,Augusta Boys@ Girls Club,2019-06-17T07:00:00.000Z,2019-08-30T07:00:00.000Z,M-F,,10:00 am - 10:30 am,11:30 am - 12:00 pm,,,04:00 pm - 04:30 pm 02:00 pm - 02:30 pm,"B,S",4,N,US,80674,,2019,Kennebec
-68.82544642,44.84233305,58713,Bangor Housing Authority,Open,"161 Davis Road Bangor, ME 04401",,Bangor,ME,4401,2074044519,,Renee,Butler,2077823554,Good Shepard Food Bank,2019-06-24T07:00:00.000Z,2019-08-23T07:00:00.000Z,M-F,,,12:00 pm - 01:00 pm,,,,L,4,N,US,80708,,2019,Penobscot
-68.77175918,44.80405342,58714,Bangor Public Library,Open,"145 Harlow Street Bangor, ME 04401",,Bangor,ME,4401,2079478336,,Christine,Erickson,2077823554,Good Shepard Food Bank,2019-06-25T07:00:00.000Z,2019-08-30T07:00:00.000Z,M-F,,,12:00 pm - 01:00 pm,,,,L,4,N,US,80709,,2019,Penobscot
-69.62452695,44.54528716,58715,Bellevue Street Park,Open,"Bellevue Street Winslow, ME 04901",,Winslow,ME,4901,2078732751,,Lori,Hartin,2078721987,Winslow Schools,2019-06-24T07:00:00.000Z,2019-08-16T07:00:00.000Z,M-F,,,11:30 am - 11:50 am,,,,L,4,N,US,2781,,2019,Kennebec
-69.57878659,44.58818934,58716,Benton Elementary School,Open,"68 School Drive Benton, ME 04901",,Benton,ME,4901,2074534256,,Jane,Reardon,2074534200,RSU 49/MSAD 49,2019-06-24T07:00:00.000Z,2019-08-16T07:00:00.000Z,M-F,,07:30 AM - 08:00 AM,11:30 AM - 12:15 PM,,,,"B,L",4,N,US,80759,,2019,Kennebec
-68.00556631,46.69202173,58717,Birch Street Apartments,Open,"79 Birch Street Presque Isle, ME 04769",,Presque Isle,ME,4769,,,Denise,Hatcher,2077640792,RSU 79/MSAD 01,2019-06-24T07:00:00.000Z,2019-08-30T07:00:00.000Z,M-F,,08:00 am - 08:20 am,11:00 am - 11:25 am,,,,"B,L",4,N,US,80798,,2019,Aroostook
