long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-85.69854,42.45158,47748,Memorial Park,Open,"751 S Farmer St Otsego, MI 49078",,Otsego,MI,49078,,,Meredith,Weathers,2696947905,Otsego Public Schools,2019-06-18T04:00:00.000Z,2019-08-06T04:00:00.000Z,T,,,,,,5:45 pm - 7:00 pm,,2,N,US,131694,,2019,Allegan
-86.6573,46.4088,47781,Mather Elementary School,Open,"411 Elm Ave Munising, MI 49862",,Munising,MI,49862,,,Libby,Blank,9063872251,Munising Public Schools,2019-06-17T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:30 am - 12:30 pm,,,,,2,N,US,111945,,2019,Alger
-86.662979,46.417792,47782,Munising High School,Open,"810 State Highway M28 W Munising, MI 49862",,Munising,MI,49862,,,Libby,Blank,9063872251,Munising Public Schools,2019-06-17T04:00:00.000Z,2019-07-29T04:00:00.000Z,M,,,11:30 AM - 12:30 PM,,,,,2,N,US,131736,,2019,Alger
-85.703713,42.41358,47783,Alamo Elementary School,Open,"6th St N Alamo, MI 49078",,Alamo,MI,49078,,,Meredith,Weathers,2696947905,Otsego Public Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,10:45 am - 11:15 am,,,,,2,N,US,130883,,2019,Kalamazoo
-85.6638,42.4498,47784,Lombardini Mobile Home,Open,"1228 M89 Plainwell, MI 49080",,Plainwell,MI,49080,,,Meredith,Weathers,2696947905,Otsego Public Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,11:45 am - 12:15 pm,,,,,2,N,US,131623,,2019,Allegan
-85.701,42.4799,47791,Otsego Northside Park,Open,"Watson Rd Otsego, MI 49078",,Otsego,MI,49078,,,Meredith,Weathers,2696947905,Otsego Public Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,12:45 pm - 1:15 PM,,,,,2,N,US,119189,,2019,Allegan
-85.7103,42.4539,47795,Washington Elementary School,Open,"538 Washington Street Otsego, MI 49078",,Otsego,MI,49078,,,Meredith,Weathers,2696947905,Otsego Public Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,7:30 am - 9:00 AM,10:45 am - 12:30 pm,,,,,2,N,US,48336,,2019,Allegan
-86.3135,42.179,47826,Coloma High School,Open,"300 W Saint Joseph St Coloma, MI 49038",,Coloma,MI,49038,,,Shelley,Mazigian,2694682598,Coloma Community Schools,2019-07-29T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,7:45 am - 8:30 am,11:15 am - 12:15 pm,,,,,2,N,US,103262,,2019,Berrien
-84.7506,42.259,47828,Albion High School,Open,"225 E. Watson Albion, MI 49224",,Albion,MI,49224,,,Jeremy,Yettaw,2697811323,Marshall Public Schools,2019-06-17T04:00:00.000Z,2019-08-08T04:00:00.000Z,"M,T,W,TH,F",,8:30 am - 9:15 am,11:45 am - 12:30 pm,,,,,2,N,US,33791,,2019,Calhoun
-84.7363,42.2455,47831,Harrington Elementary,Open,"100 S Clark Street Albion, MI 49224",,Albion,MI,49224,,,Jeremy,Yettaw,2697811323,Marshall Public Schools,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:30 am - 9:15 am,12:00 pm - 12:45 pm,,,,,2,N,US,82041,,2019,Calhoun
