long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-93.88494003,44.16211831,44253,Eagle Lake Elementary,Open,"500 LeSueur Ave Eagle Lake, MN 56024",,Eagle Lake,MN,56024,5073887442,,Darcy,Stueber,5073887442,Mankato ISD #77,2019-06-13T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",Closed July 4 & 5,07:30 - 08:30,11:00 - 12:30,,,,"B,L",1,N,US,100391,,2019,Blue Earth
-92.5471947,47.527164,51128,Parkview Elementary,Open,"506 9th Ave N Virginia, MN 55792",,Virginia,MN,55792,2187358271,1104,Dr. Reggie,Engebriston,2187358271,Mountain Iron Buhl ISD #712,2019-06-03T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",Site will not be operating July 1-5,7:45 - 9:00,11:30 - 12:30,,,,"B,L",2,N,US,131828,,2019,St. Louis
-94.200633,46.35258123,72252,New Discoveries Child Care,Open,"602 Oak St Brainerd, MN 56401",,Brainerd,MN,56401,2188294767,,Zach,Johnson,2188294767,Brainerd ISD #181,2019-06-03T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,TU,W,TH,F",,,11:00 - 13:30,,,,L,5,U,US,129887,,2019,Crow Wing
-93.18076026,45.00611254,74004,Fairview Community Center,Open,"1910 W Cnty Rd B Roseville, MN 55113",,Roseville,MN,55113,6516351619,,Angela,Richey,6516351619,Roseville ISD #623,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH,F",no meals served the week of July 1,08:00 - 08:30,12:00 - 12:30,,,,"B ,L",6,N,US,4338,,2019,Ramsey
-94.19333276,45.53028962,74074,Yes Network - Oak Hill Community School,Open,"2600 County Road 136 St Cloud, MN 56301",,St Cloud,MN,56301,3202674995,,Jerry,Sparby,3202674995,The Yes Network,2019-06-17T04:00:00.000Z,2019-08-08T04:00:00.000Z,"M,T,W,TH",Closed July 1-19.,8:00 - 8:20,11:00 - 11:30,,,,"B ,L",6,N,US,101618,,2019,Stearns
-93.25757885,44.953245,88327,Stewart Park,Open,"2700 12th Ave S Minneapolis, MN 55407",,Minneapolis,MN,55407,6126682846,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,,,13:15 - 14:15,17:00 - 18:00,,7,N,US,6833,,2019,Hennepin
-93.27591294,44.99368617,88331,TLC Education Foundation,Open,"1411 W. River Rd Minneapolis, MN 55411",,Minneapolis,MN,55411,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-17T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",Closed July 4,,12:00 - 13:00,,15:00 - 15:30,,,7,N,US,7042,,2019,Hennepin
-93.2567236,44.99375916,88332,Webster Elementary,Open,"425 5th Street NE Minneapolis, MN 55413",,Minneapolis,MN,55413,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-13T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F","Snack only 6/13-6/14, closed July 4",,10:45 - 12:30,,14:00 - 16:00,,,7,N,US,71766,,2019,Hennepin
-93.23198083,44.94834853,88333,East Lake Library,Open,"2727 East Lake Street Minneapolis, MN 55406",,Minneapolis,MN,55406,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",Closed July 4,,,,14:00 - 15:00,,,7,N,US,71129,,2019,Hennepin
-93.11647419,44.95587053,88348,Madrasatu Khadiija,Open,"385 University Ave. St. Paul, MN 55103",,St. Paul,MN,55103,6513329174,,Robyn,Tousignant,6513329174,Partners in Nutrition,2019-06-08T04:00:00.000Z,2019-09-01T04:00:00.000Z,"S,M,T,W,TH,F,SA",,9:00 - 10:00,13:00 - 15:00,,,,,7,N,US,143800,,2019,Ramsey
-93.252762,44.783505,88349,Nucman,Open,"1512 E. 122nd St. Burnsville, MN 55337",,Burnsville,MN,55337,6513329174,,Robyn,Tousignant,6513329174,Partners in Nutrition,2019-06-15T04:00:00.000Z,2019-09-01T04:00:00.000Z,"S,M,T,W,TH,F,SA",,10:00 - 11:00,12:30 - 14:30,,,,,7,N,US,144229,,2019,Dakota
-93.14046613,44.96307393,88351,Almasjid Al-Ihsan,Open,"955 Minnehaha Ave. W. St. Paul, MN 55104",,St. Paul,MN,55104,6513329174,,Robyn,Tousignant,6513329174,Partners in Nutrition,2019-06-08T04:00:00.000Z,2019-09-01T04:00:00.000Z,"S,M,T,W,TH,F,SA",,10:00 - 11:00,12:30 - 14:30,,,,,7,N,US,141987,,2019,Ramsey
-93.26146954,44.94293295,80608,Transitions Plus,Open,"3322 Elliot Ave S Minneapolis, MN 55407",,Minneapolis,MN,55407,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-07-08T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH",,09:15 - 10:15,11:00 - 13:00,,,,"B ,L",6,U,US,7067,,2019,Hennepin
-94.6039005,47.38108249,98122,Cass Lake-Bena Elementary,Open,"15 4th St NW Cass Lake, MN 56633",,Cass Lake,MN,56633,2183352201,5015,Debra,Brodeur,2183352201,Cass Lake Bena ISD #115,2019-06-05T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH",Closed on Fridays. Closed July 4th.,08:00 - 09:30,11:00 - 12:30,,,,,7,U,US,3668,,2019,Cass
-93.21846128,44.96875637,98124,Luxton Park,Open,"112 Williams Ave SE Minneapolis, MN 55414",,Minneapolis,MN,55414,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,12:00 - 13:00,,15:00 - 16:00,,,7,U,US,5444,,2019,Hennepin
-93.2530592,45.0008282,98125,Logan Park,Open,"690 13th Ave NE Minneapolis, MN 55413",,Minneapolis,MN,55413,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,11:30 - 13:00,,15:00 - 16:00,,,7,U,US,5383,,2019,Hennepin
-93.25960224,44.96892276,98127,Elliot Park,Open,"1000 E 14th St Minneapolis, MN 55404",,Minneapolis,MN,55404,6126682865,,hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,,,14:00 - 15:00,17:00 - 18:00,,7,U,US,10998,,2019,Hennepin
-93.2864535,45.00947652,98128,Farview Park,Open,"621 29th Ave N Minneapolis, MN 55411",,Minneapolis,MN,55411,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,,,13:00 - 14:00,17:00 - 18:00,,7,U,US,4357,,2019,Hennepin
-93.3094394,45.01347442,98130,Cleveland Park,Open,"3232 Queen Ave No Minneapolis, MN 55412",,Minneapolis,MN,55412,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",Closed July 4,,11:30 - 11:50,,,,,7,U,US,63627,,2019,Hennepin
-93.27787852,44.92946999,98134,Martin Luther King Park,Open,"4055 Nicollet Ave S Minneapolis, MN 55409",,Minneapolis,MN,55409,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH",Closed July 4,,,,14:00 - 15:00,17:00 - 18:00,,7,U,US,5565,,2019,Hennepin
-93.23043234,44.98658869,98136,Van Cleve Recreation Center,Open,"901 15th Ave SE Minneapolis, MN 55414",,Minneapolis,MN,55414,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",Closed July 4,,,,,15:00 - 16:00,,7,U,US,7161,,2019,Hennepin
-93.22992662,44.95982863,98138,Matthews Recreation Center,Open,"2318 29th Ave S Minneapolis, MN 55406",,Minneapolis,MN,55406,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-30T04:00:00.000Z,"M,T,W,TH,F",4-Jul,08:30 - 09:30,,,15:00 - 16:00,,,7,U,US,5592,,2019,Hennepin
-93.262572,44.960895,98139,Peavey Park,Open,"22nd St & Chicago Ave S Minneapolis, MN 55404",,Minneapolis,MN,55404,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,17:00 - 18:00,,13:45 - 14:45,,,7,U,US,6116,,2019,Hennepin
-93.28748383,44.94134552,98140,Painter Park Recreation Center,Open,"620 W 34th St Minneapolis, MN 55408",,Minneapolis,MN,55408,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-31T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,12:00 - 13:00,,17:00 - 17:30,,,7,U,US,11800,,2019,Hennepin
-93.24352155,44.99692253,98141,Beltrami Park,Open,"1111 Summer St NE Minneapolis, MN 55413",,Minneapolis,MN,55413,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,,,15:00 - 16:00,17:00 - 18:00,,7,U,US,3280,,2019,Hennepin
-93.27024079,44.94043725,98143,Central Gym Park,Open,"3416 4th Avenue South Minneapolis, MN 55408",,Minneapolis,MN,55408,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-10T04:00:00.000Z,2019-08-11T04:00:00.000Z,"M,T,W,TH,F",4-Jul,,13:00 - 15:00,,17:00 - 19:00,,,7,U,US,71035,,2019,Hennepin
-93.2555323,44.93411153,98145,Bancroft Elementary,Open,"1315 E 38th St Minneapolis, MN 55407",,Minneapolis,MN,55407,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",Closed July 4,09:00 - 10:00,11:15 - 13:15,,,,,7,U,US,130948,,2019,Hennepin
-93.29207223,44.92553634,98146,Barton Open Elementary,Open,"4237 Colfax Ave S Minneapolis, MN 55409",,Minneapolis,MN,55409,6126682865,,Hashep,Seka,6126682822,Minneapolis Special District #1,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",Closed July 4,07:45 - 08:45,10:45 - 12:45,,,,,7,U,US,34044,,2019,Hennepin
-93.27024079,44.94043725,98151,Green Central Park Elementary,Open,"3416 4th Ave S Minneapolis, MN 55408",,Minneapolis,MN,55408,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",Closed Jul y 4,07:45 - 08:45,10:25 - 12:25,,,,,7,U,US,36082,,2019,Hennepin
-93.25168233,45.00983954,98155,Edison Senior High,Open,"700 22nd Ave NE Minneapolis, MN 55418",,Minneapolis,MN,55418,6126682822,,Sara,Eugene,6126682822,Minneapolis Special District #1,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",Closed July 4,07:45 - 08:25,11:30 - 13:30,,,,,7,U,US,71145,,2019,Hennepin
