long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-90.29676045,32.18628259,56809,Gary Road Elementary,Open,"7255 Gary Road Byram, MS 39272",,Byram,MS,39272,6013733003,,Tawanda,Haley,6013733003,HINDS CTY SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M, T, W, TH",,8:00 to 8:20,11:00 to 12:45,,,,"B, L",4,N,US,134436,,2019,Hinds
-89.12425438,30.36934173,56810,GASTON POINT ELEMENTARY SCHOOL,Open,"1526 MILLS AVENUE Gulfport, MS 39501",,Gulfport,MS,39501,2288654657,,Jo Ann,Griggs,2288654657,GULFPORT SEPARATE SCHOOL DIST,2019-06-05T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M, T, W, TH, F",,7:45 to 8:45,10:45 to 12:45,,,,"B, L",4,N,US,67892,,2019,Harrison
-91.18956259,31.66703681,56811,"Gatekeepers of Bethlehem, Inc.",Open,"2975 Cannonsburg Road Natchez, MS 39120",,Natchez,MS,39120,6015970230,,Tracy,Cusic,6015970230,"Gatekeepers of Bethlehem, Inc.",2019-06-03T07:00:00.000Z,2019-07-12T07:00:00.000Z,"M, T, W, TH, F",,,11:00 to 12:30,,,,L,4,N,US,110995,,2019,Jefferson
-88.40834117,33.51490618,56813,Genesis Church Dream Center,Open,"1820 North 23rd Street Columbus, MS 39701",,Columbus,MS,39701,6623287696,,Stephanie,Gibson,6623287696,MS FOOD NETWORK,2019-06-03T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M, T, W, TH, F",,8:00 to 9:00,11:00 to 12:30,,,,"B, L",4,N,US,134441,,2019,Lowndes
-90.6846075,33.6113145,56814,Gentry High School,Open,"801 B.B. KING ROAD INDIANOLA, MS 38751",,INDIANOLA,MS,38751,6624283554,,ANNIE,FLOYD,6624283554,SUNFLOWER COUNTY CONSOLIDATED,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,8:00 to 9:00,11:00 to 12:00,,,,"B, L",4,N,US,111004,,2019,Sunflower
-90.39655025,31.85769928,56815,George W. Covington Memorial Library,Open,"223 South Extension Street Hazelhurst, MS 39083",,Hazelhurst,MS,39083,6018941681,,Kimberly,Johnson,6018941681,MS FOOD NETWORK,2019-06-04T07:00:00.000Z,2019-06-25T07:00:00.000Z,T,,,,11:00 to 11:30,,,M,4,N,US,134446,,2019,Copiah
-88.42295338,34.86807017,56816,Glendale Baptist Church,Open,"2478 Hwy 72 Glen, MS 38846",,Glen,MS,38846,6622873325,,Kristin,Fowler,6622873325,ALCORN CTY SCH DIST,2019-05-28T07:00:00.000Z,2019-05-31T07:00:00.000Z,"T, W, TH, F",,,,,,6:15 to 6:45,S,4,N,US,134458,,2019,Alcorn
-89.5599313,32.19356509,56817,Good Hope MB Church,Open,"314 SCR 502B Pulaski, MS 39152",,Pulaski,MS,39152,6015077905,,Gwendolyn,Coleman,6015077905,Crudup-Ward Activity Center,2019-06-03T07:00:00.000Z,2019-06-07T07:00:00.000Z,"M, T, W, TH, F",,,,,,7:00 to 8:00,S,4,N,US,107165,,2019,Smith
-89.62388179,30.51478255,56818,Goodyear Baptist Church,Open,"2710 Hwy 43 South Picayune, MS 39466",,Picayune,MS,39466,9857741908,,Cassie,Garrett,9857741908,PICAYUNE SCHOOL DISTRICT,2019-06-24T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M, T, W, TH",,,,,,5:30 to 7:00,S,4,N,US,75855,,2019,Pearl River
-88.97179187,31.83468395,56819,Greater Beavermeadow,Open,"289 County Road 371 Heidelberg, MS 39439",,Heidelberg,MS,39439,6019350190,,Monroe,Hales,6019350190,EAST JASPER CONS SCH DIST,2019-06-24T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,,,,,6:00 to 7:45,S,4,N,US,134485,,2019,Jasper
-89.80137329,31.19968399,56820,Greater East Lampton,Open,"1477 HWY 13 South McComb, MS 39429",,McComb,MS,39429,6014417661,,Renee,Brown,6014417661,PENTECOST TEMPLE COGIC,2019-06-17T07:00:00.000Z,2019-06-21T07:00:00.000Z,"M, T, W, TH, F",,,,,,6:50 to 7:30,S,4,N,US,81954,,2019,Marion
-90.21535131,32.26477744,56821,Greater Harvest MB Church,Open,"304 Cedar Lane Jackson, MS 39212",,Jackson,MS,39212,6012140768,,Bernice,Gooden,6012140768,Hope Springs MB Church,2019-06-03T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M, T, W, TH, F",,,11:00 to 1:00,,,,L,4,N,US,81958,,2019,Hinds
-90.50511945,33.45410547,56822,Greater Lee Chapel AME Church,Open,"211 Sunflower St. Moorhead, MS 38761",,Moorhead,MS,38761,6623929443,,Deloris,Williams,6623929443,Greater Lee Chapel AME Church,2019-06-03T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M, T, W, TH, F",,,11:30 to 1:30,,,,L,4,N,US,102020,,2019,Sunflower
-89.14098353,31.29104698,56823,Greater Mt. Zion Baptist Church,Open,"138 Walter Myers Rd Petal, MS 39465",,Petal,MS,39465,6015820637,,Anna,Travis,6015820637,Feeding Uniting and Empowering Learning,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M, T, W, TH, F",,8:00 to 9:00,12:00 to 1:00,,,,"B, L",4,N,US,122955,,2019,Perry
-90.2111986,32.31418279,56824,Greater Tree of Life Deliverance Church,Open,"1856 W Capitol Street Jackson, MS 39209",,Jackson,MS,39209,6019668636,,Sandra,Pugh,6019668636,NEW HOPE BAPTIST CHURCH,2019-06-03T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M, T, W, TH, F",,7:30 to 8:30,11:30 to 1:00,,,,"B, L",4,N,US,134490,,2019,Hinds
-89.9284923,34.43490359,56825,GREEN HILL ELEMENTARY,Open,"599 WEST PEARL EXTENSION Sardis, MS 38666",,Sardis,MS,38666,6624872497,,Washington,Patricia,6624872497,NORTH PANOLA CONS SCH DIST,2019-06-03T07:00:00.000Z,2019-06-04T07:00:00.000Z,"M, T, W, TH, F",,,10:30 to 1:00,,,,"B, L",4,N,US,67937,,2019,Panola
-89.92999562,34.43480935,56826,Green Hill Intermediate School,Open,"799 West Pearl Street Sardis, MS 38666",,Sardis,MS,38666,6624872497,,Patricia,Washington,6624872497,NORTH PANOLA CONS SCH DIST,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,,11:30 to 1:00,,,,"B, L",4,N,US,134493,,2019,Panola
-90.00302092,34.97742677,56827,Greenbrook Elementary,Open,"730 Rasco Road Southaven, MS 38671",,Southaven,MS,38671,6623422330,,Lashunte,Johnson,6623422330,DESOTO COUNTY SCHOOL DISTRICT,2019-05-28T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M, T, W, TH, F",,8:00 to 9:00,11:30 to 12:30,,,,"B, L",4,N,US,134495,,2019,DeSoto
-88.60113591,31.14086333,56828,GREENE COUNTY HIGH SCHOOL,Open,"4336 High School Road Leakesville, MS 39451",,Leakesville,MS,39451,6013945293,,Monica,Valentine,6013945293,GREENE CTY SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M, T, W, TH",,7:30 to 8:30,10:30 to 12:30,,,,"B, L",4,N,US,97263,,2019,Greene
-90.19758257,33.51193757,56829,GREENWOOD MIDDLE SCHOOL,Open,"1200 Garrard Ave. Greenwood, MS 38930",,Greenwood,MS,38930,6626440715,,Sandra,Scott,6626440715,GREENWOOD PUBLIC SCHOOL DIST,2019-06-03T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M, T, W, TH",,7:30 to 8:00,11:00 to 12:45,,,,"B, L",4,N,US,27916,,2019,Leflore
-89.04168986,30.38852994,56830,Gulfport High School,Open,"100 Perry Street Gulfport, MS 39507",,Gulfport,MS,39507,2288967395,,Tammy,Fitts,2288967395,GULFPORT SEPARATE SCHOOL DIST,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,7:00 to 8:00,10:45 to 12:45,,,,"B, L",4,N,US,111126,,2019,Harrison
-90.37149099,34.71993849,56831,GW Henderson Recreation Center,Open,"1165 Abbay Dr TUNICA, MS 38676",,TUNICA,MS,38676,9018313452,,Sandra,Daniels,9018313452,"TUNICA 10 POINT COALITION, INC",2019-06-03T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M, T, W, TH, F",,7:30 to 8:30,11:00 to 1:00,,,,"B, L",4,N,US,19195,,2019,Tunica
-89.44384828,30.37323928,56832,Hancock Middle School,Open,"7070 Stennis Airport RD Kiln, MS 39556",,Kiln,MS,39556,2282553484,,Johnnye,Barilleaux,2282553484,HANCOCK CO SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-07-11T07:00:00.000Z,"M, T, W, TH, F",,8:00 to 8:30,11:00 to 12:30,,,,"B, L",4,N,US,134514,,2019,Hancock
-90.22777288,32.31143467,56833,HARDY MIDDLE SCHOOL,Open,"545 Ellis Avenue Jackson, MS 39209",,Jackson,MS,39209,6019605368,,Algernon,Fairley,6019605368,JACKSON PUBLIC SCHOOL DIST,2019-06-03T07:00:00.000Z,2019-07-12T07:00:00.000Z,"M, T, W, TH, F",,,11:00 to 12:30,,,,L,4,N,US,86383,,2019,Hinds
-90.57185457,34.19823995,56834,Haven United Methodist Church,Open,"404 Yazoo Avenue Clarksdale, MS 38614",,Clarksdale,MS,38614,6629027081,,AUDREY,CANNON,6629027081,"COAHOMA OPPORTUNITIES,INC.",2019-07-08T07:00:00.000Z,2019-07-12T07:00:00.000Z,"M, T, W, TH, F",,8:30 to 9:30,11:30 to 12:30,,,,"B, L",4,N,US,13123,,2019,Coahoma
-90.72493994,33.84315658,56835,HAYES-COOPER CENTER,Open,"500 Martin Luther King, Jr. Blvd Merigold, MS 38759",,Merigold,MS,38759,6628439041,,Emma,Nix,6628439041,CLEVELAND SCHOOL DIST,2019-06-17T07:00:00.000Z,2019-07-11T07:00:00.000Z,"M, T, W, TH, F",,7:00 to 8:00,11:00 to 12:00,,,,"B, L",4,N,US,134532,,2019,Bolivar
-90.39230491,31.85894439,56836,HAZLEHURST HIGH SCHOOL,Open,"101 South Haley Street Hazlehurst, MS 39083",,Hazlehurst,MS,39083,6018942369,,Tanya,King,6018942369,HAZLEHURST CITY SCHOOL DIST,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,7:00 to 8:00,11:00 to 12:30,,,,"B, L",4,N,US,134533,,2019,Copiah
-90.59407128,34.20596448,56837,HEIDELBERG ELEMENTARY,Open,"801 MAPLE STREET Clarksdale, MS 38614",,Clarksdale,MS,38614,6626278579,,Jenifer,Porter,6626278579,CLARKSDALE MUN SCH DIST,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,7:30 to 8:30,10:30 to 11:30,,,,"B, L",4,N,US,28086,,2019,Coahoma
-89.00333622,31.89848859,56838,HEIDELBERG HIGH SCHOOL,Open,"804 North Pine Ave. Heidelberg, MS 39439",,Heidelberg,MS,39439,6017873281,,Latanya,Richardson,6017873281,EAST JASPER CONS SCH DIST,2019-06-03T07:00:00.000Z,2019-07-12T07:00:00.000Z,"M, T, W, TH",,7:30 to 8:30,11:00 to 12:30,,,,"B, L",4,N,US,67977,,2019,Jasper
-88.81863816,33.46603754,56839,HENDERSON WARD STEWART OLD,Open,"200 Dr Martin Luther King Jr Drive West Starkville, MS 39759",,Starkville,MS,39759,6623244122,,Prudie,Shumpert,6623244122,STARKVILLE CONSOLIDATED SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-07-12T07:00:00.000Z,"M, T, W, TH, F",,7:45 to 8:45,11:00 to 12:30,,,,L,4,N,US,75938,,2019,Oktibbeha
-90.55555722,34.19392721,56840,HIGGINS MIDDLE SCHOOL,Open,"1749 CHESTNUT STREET Clarksdale, MS 38614",,Clarksdale,MS,38614,6626278559,,Carolyn,Partee,6626278559,CLARKSDALE MUN SCH DIST,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,7:30 to 8:30,10:30 to 11:30,,,,"B, L",4,N,US,67985,,2019,Coahoma
-90.1961455,32.3102535,56841,Hollis Watkins Muhammad Human Development Foundation,Open,"911 Palmyra Street Jackson, MS 39203",,Jackson,MS,39203,6017155621,,Tracy,Muhammad,6017155621,NEW HOPE BAPTIST CHURCH,2019-06-03T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M, T, W, TH, F",,7:30 to 8:30,11:30 to 1:00,,,,"B, L",4,N,US,134573,,2019,Hinds
-88.59322387,31.72409786,56842,Holly Bush Church Road,Open,"484 Holly Bush Church Road Waynesboro, MS 39367",,Waynesboro,MS,39367,6014104452,,Meshell,Lofton,6014104452,WAYNE CTY SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-06-06T07:00:00.000Z,"M, T, W, TH",,,,,,6:15 to 7:00,S,4,N,US,75967,,2019,Wayne
-89.44256194,34.77074299,56843,HOLLY SPRINGS HIGH SCHOOL,Open,"165 NORTH WALTHALL Holly Springs, MS 38635",,Holly Springs,MS,38635,6622524371,,elaine,woodson,6622524371,HOLLY SPRINGS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M, T, W, TH, F",,7:00 to 7:30,11:00 to 12:00,,,,"B, L",4,N,US,67998,,2019,Marshall
