long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-111.242497,47.5037829,48494,Lewis & Clark School,Open,"3800 1st Avenue South Great Falls, MT 59401",,Great Falls,MT,59401,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",10:55AM - 11:25AM,,10:55AM - 11:25AM,,,,L,2,N,US,131591,,2019,Cascade
-111.2923113,47.48712067,48495,Sunnyside School,Open,"1800 9th St S Great Falls, MT 59405",,Great Falls,MT,59405,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",11:55AM - 12:25PM,,11:55AM - 12:25PM,,,,L,2,N,US,132041,,2019,Cascade
-111.3325507,47.50880548,48496,West Elementary,Open,"1205 1st Ave NW Great Falls, MT 59404",,Great Falls,MT,59404,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",8:00AM - 1:30PM,8:00AM - 10:45AM,11:00AM - 1:30PM,,,,"B,L",2,N,US,132161,,2019,Cascade
-111.3040717,47.51011078,48497,Gibson Park Food Truck,Open,"400 Park Drive North Great Falls, MT 59401",,Great Falls,MT,59401,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",12:40PM - 1:20PM,,12:40PM - 1:20PM,,,,L,2,N,US,51981,,2019,Cascade
-111.2597097,47.49414048,48498,Lions Park Food Truck,Open,"2701 10th Ave South Great Falls, MT 59405",,Great Falls,MT,59405,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",11:25AM - 11:55AM,,11:25AM - 11:55AM,,,,L,2,N,US,53169,,2019,Cascade
-111.32712,47.50587994,48499,Rhodes Park Food Truck,Open,"9th Street SW Great Falls, MT 59404",,Great Falls,MT,59404,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",1:20PM - 1:50PM,,1:20PM - 1:50PM,,,,L,2,N,US,55069,,2019,Cascade
-111.3025798,47.49823733,48500,Carter Park,Open,"611 3rd Street South Great Falls, MT 59405",,Great Falls,MT,59405,4062686049,,Jessa,Youngers,4062686049,Great Falls Public Schls,2019-06-11T04:00:00.000Z,2019-08-14T04:00:00.000Z,"M,T,W,TH,F",12:45PM - 1:30PM,,12:45PM - 1:30PM,,,,L,2,N,US,131063,,2019,Cascade
-112.9450063,46.13238551,48501,Cedar Park Homes,Open,"203 Cedar Park Homes Anaconda, MT 59711",,Anaconda,MT,59711,4065637972,12,Debra,Cuny,4065637972,Anaconda PCA Family Resource C,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",10:00AM - 1:45PM,10:00AM - 10:30AM,1:00PM - 1:45PM,,,,"B,L",2,N,US,90226,,2019,Deer Lodge
-112.9526666,46.13009609,48502,Mount Haggin Homes,Open,"101 Main Street Anaconda, MT 59711",,Anaconda,MT,59711,4065637972,12,Debra,Cuny,4065637972,Anaconda PCA Family Resource C,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",10:30AM - 1:15PM,10:30AM - 11:00AM,12:45PM - 1:15PM,,,,"B,L",2,N,US,45622,,2019,Deer Lodge
-113.3020511,46.20292137,48503,Camp Watanopa,Open,"Camp Watanopa (Rainbow Bay - Georgetown Lake) Anaconda, MT 59711",Rainbow Bay - Georgetown Lake,Anaconda,MT,59711,4065637972,12,Debra,Cuny,4065637972,Anaconda PCA Family Resource C,2019-08-06T04:00:00.000Z,2019-08-08T04:00:00.000Z,"T,W,TH",8:00AM - 1:00PM,8:00AM - 9:00AM,12:00PM - 1:00PM,,,,"B,L",2,N,US,127159,,2019,Granite
