long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-77.10532968,36.21462177,47041,Aulander Elementary,Open,"2515 N. C. 305 Aulander, NC 27805",,Aulander,NC,27805,2527941214,1214,Bettie,warren,2527941214,Bertie County Schools,2019-03-11T04:00:00.000Z,2019-03-22T04:00:00.000Z,"M,T,W,TH,F",8:00AM - 11:30AM,8:00AM - 8:30AM,11:00AM - 11:30AM,,,,"B,L",1,N,US,15343,,2019,Bertie
-80.6195585,35.49617697,47042,A L Brown High,Open,"415 East 1st Street Kannapolis, NC 28083",,Kannapolis,NC,28083,7049323537,,Karen,Whitley,7049323537,Kannapolis City Schools,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",8:00AM - 1:00PM,,11:30AM - 1:00PM,8:00AM - 8:30AM,,,"L,M",1,N,US,129103,,2019,Cabarrus
-80.63454766,35.50343723,47043,Kannapolis YMCA,Open,"101 YMCA Drive Kannapolis, NC 28081",,Kannapolis,NC,28081,7049385617,,Kim,Simpson,7049385617,Kannapolis City Schools,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",11:30AM - 3:30PM,,11:30AM - 1:00PM,,3:00PM - 3:30PM,,"L,A",1,N,US,16010,,2019,Cabarrus
-80.61820127,35.49272144,47044,GW Carver Elementary,Open,"525 East C Street Kannapolis, NC 28081",,Kannapolis,NC,28081,7049385617,,Kim,Simpson,7049385617,Kannapolis City Schools,2019-06-24T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",8:00AM - 1:00PM,8:00AM - 8:30AM,11:30AM - 1:00PM,,,,"B,L",1,N,US,118275,,2019,Cabarrus
-77.64533349,36.45154628,47047,William L Manning Elementary,Open,"940 Park Avenue Roanoke Rapids, NC 27870",,Roanoke Rapids,NC,27870,2525197478,,Ann,Bailey,2525197478,Roanoke Rapids City Schools,2019-06-10T04:00:00.000Z,2019-06-25T04:00:00.000Z,"M,T,W,TH",8:00AM - 12:00PM,8:00AM - 8:45AM,11:00AM - 12:00PM,,,,"B,L",1,N,US,122446,,2019,Halifax
-82.58622783,35.66601331,47048,Black Locust trailer Park,Open,"Lot #81 Black Locust Dr Asheville, NC 28804",,Asheville,NC,28804,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",12:30PM - 1:30PM,,12:30PM - 1:30PM,,,,L,1,N,US,3359,,2019,Buncombe
-82.37631041,35.60351463,47049,Ridgeview Mobile Park,Open,"49 Alan Campos Circle Swannanoa, NC 28778",,Swannanoa,NC,28778,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:15AM - 12:15PM,,11:15AM - 12:15PM,,,,L,1,N,US,74531,,2019,Buncombe
-82.51652351,35.59599457,47050,Spruce Hill Apt,Open,"201 Spruce Hill Ct Asheville, NC 28805",,Asheville,NC,28805,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",12:15PM - 1:00PM,,12:15PM - 1:00PM,,,,L,1,N,US,38977,,2019,Buncombe
-82.49380889,35.59024932,47051,Charles C. Bell Elementary RTA Camp,Open,"90 Maple Springs Road Asheville, NC 28805",,Asheville,NC,28805,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-26T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH",8:00AM - 12:30PM,8:00AM - 9:00AM,10:30AM - 12:30PM,,,,"B,L",1,N,US,15509,,2019,Buncombe
-82.66406319,35.53292447,47052,Hominy Valley Read to Achieve,Open,"450 Enka Lake Road Candler, NC 28715",,Candler,NC,28715,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-26T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH",8:00AM - 12:00PM,8:00AM - 9:00AM,11:00AM - 12:00PM,,,,"B,L",1,N,US,15926,,2019,Buncombe
-82.52756442,35.45702468,47053,Hahn's Gymnastics,Open,"18 Legend Drive Arden, NC 28704",,Arden,NC,28704,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 4:30PM,,11:30AM - 12:30PM,,4:00PM - 4:30PM,,"L,A",1,N,US,73806,,2019,Buncombe
-82.47354039,35.55263503,47054,Curci's Fairview Terrace,Open,"14 Curci Drive Asheville, NC 28803",,Asheville,NC,28803,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:15AM - 12:15PM,,11:15AM - 12:15PM,,,,L,1,N,US,73513,,2019,Buncombe
-82.5767376,35.68484605,47055,Homestead Apartments,Open,"315 Aiken Road Asheville, NC 28804",,Asheville,NC,28804,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-07T04:00:00.000Z,"M,W",11:45AM - 12:30PM,,11:45AM - 12:30PM,,,,L,1,N,US,111302,,2019,Buncombe
-82.56437965,35.7037322,47056,Dry Ridge Apartments,Open,"21 Clinton Street Weaverville, NC 28787",,Weaverville,NC,28787,8284848424,,Sheryl,Harris,8284848424,Buncombe County Schools,2019-06-18T04:00:00.000Z,2019-08-09T04:00:00.000Z,"T,F",11:45AM - 12:45PM,,11:45AM - 12:45PM,,,,L,1,N,US,106794,,2019,Buncombe
-82.59994812,35.5538167,47057,WNC Farmers Market,Open,"570 Brevard Road Asheville, NC 28806",,Asheville,NC,28806,8282555974,,Sheryl,Harris,8282555974,Buncombe County Schools,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 1:00PM,,12:00PM - 1:00PM,,,,L,1,N,US,130400,,2019,Buncombe
