long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-96.88512304,46.85485948,47770,Willow Park Elementary,Open,"825 17TH AVE E (801 9TH ST E) WEST FARGO, ND 58078",801 9TH ST E,WEST FARGO,ND,58078,7014991837,,Dana,Rieth,7014991837,West Fargo Puclic School,2019-06-05T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH,F",,7:45am-9:30am,10:30am-12:45pm,,,,"B,L",2,N,US,132199,,2019,Cass
-102.3382307,47.34996651,54766,Halliday Public School,Open,"30 4th St S (PO Box 188) Halliday, ND 58636",PO Box 188,Halliday,ND,58636,7019384391,,Brian,Larson,7019384391,Halliday Public School,2019-06-10T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH",,,11:00am-12:00pm,,,,L,3,N,US,131398,,2019,Dunn
-97.08381381,47.90961,60488,Lewis & Clark Elementary School,Open,"100 13th Ave S (2115 6TH AVE N) GRAND FORKS, ND 58201",2115 6TH AVE N,GRAND FORKS,ND,58201,7017462436,,Emily,Karel,7017462436,Grand Forks Public School,2019-06-03T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M,T,W,TH,F",,7:30am-8:30am,,,,,B,4,N,US,13355,,2019,Grand Forks
-96.89850131,46.87065548,88756,Herb Tintes Park,Open,"131 6 Ave E (3911 20TH AVE S) West Fargo, ND 58078",3911 20TH AVE S,West Fargo,ND,58078,7014769113,,Jenae,Meske,7014769113,Great Plains Food Bank,2019-06-10T04:00:00.000Z,2019-08-05T04:00:00.000Z,M,,,,,,7:00pm-8:00pm,,7,N,US,143326,,2019,Cass
-99.73916895,48.84159317,100216,Turtle Mt Community High School,Open,"1215 William Hardesty St (PO Box 440) BELCOURT, ND 58316",PO Box 440,BELCOURT,ND,58316,7014773038,,Earl,Demery,7014773038,Belcourt School District #7,2019-06-03T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",,8:00am-9:00am,11:00am-12:30pm,,,,,7,U,US,101463,,2019,Rolette
-100.780533,46.812681,100217,Bismarck High School,Open,"800 N 8th St (806 N WASHINGTON ST) BISMARCK, ND 58501",806 N WASHINGTON ST,BISMARCK,ND,58501,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,7:00am-9:00am,12:00pm-1:00pm,,,,,7,U,US,12500,,2019,Burleigh
-100.7859195,46.790559,100219,Dorothy Moses Elementary School,Open,"1312 S COLUMBIA DR (806 N WASHINGTON ST) BISMARCK, ND 58504",806 N WASHINGTON ST,BISMARCK,ND,58504,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-16T04:00:00.000Z,"M,T,W,TH,F",,7:30am-9:00am,,,,,,7,U,US,12816,,2019,Burleigh
-100.783413,46.838025,100221,JayCee Park,Open,"E Century Ave & N 4th Street (806 N WASHINGTON ST) BISMARCK, ND 58503",806 N WASHINGTON ST,BISMARCK,ND,58503,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,11:30pm-1:00pm,,,,,7,U,US,100691,,2019,Burleigh
-100.7721495,46.795923,100222,Jeannette Myhre Elementary School,Open,"919 S 12TH ST (806 N WASHINGTON ST) BISMARCK, ND 58504",806 N WASHINGTON ST,BISMARCK,ND,58504,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-16T04:00:00.000Z,"M,T,W,TH,F",,7:30am-9:00am,,,,,,7,U,US,13232,,2019,Burleigh
-100.7642205,46.814643,100223,Lions Park,Open,"1601 E Boulevard (806 N WASHINGTON ST) BISMARCK, ND 58501",806 N WASHINGTON ST,BISMARCK,ND,58501,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,12:00pm-1:00pm,,,,,7,U,US,19860,,2019,Burleigh
-100.769652,46.795194,100224,Sons of Norway Park,Open,"1502 E Bismarck Expressway (806 N WASHINGTON ST) BISMARCK, ND 58501",806 N WASHINGTON ST,BISMARCK,ND,58501,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,12:00pm-1:00pm,,,,,7,U,US,14034,,2019,Burleigh
-100.7863695,46.849365,100226,Wachter Wave Pool Park,Open,"3924 Normandy St. (806 N WASHINGTON ST) BISMARCK, ND 58501",806 N WASHINGTON ST,BISMARCK,ND,58501,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,11:45pm-1:00pm,,,,,7,U,US,101507,,2019,Burleigh
-100.7859395,46.81410548,100227,Will Moore Elementary School,Open,"400 E AVENUE E (806 N WASHINGTON ST) BISMARCK, ND 58501",806 N WASHINGTON ST,BISMARCK,ND,58501,7013234089,,Michelle,Wagner,7013234089,Bismarck Public Schools,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,7:30am-9:00am,12:00pm-1:00pm,,,,,7,U,US,14338,,2019,Burleigh
-98.8592805,48.11484049,100228,Central Middle School,Open,"325 7th St NE (1601 College Dr N) Devils Lake, ND 58301",1601 College Dr N,Devils Lake,ND,58301,7016621200,,Vickie,Borho,7016621200,Devils Lake Public School,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,12:00pm-1:00pm,,,,,7,U,US,100235,,2019,Ramsey
-100.0534319,48.84908252,100229,Dunseith Day Elementary School,Open,"2994 99th Street NE (PO BOX 759) DUNSEITH, ND 58329",PO BOX 759,DUNSEITH,ND,58329,7012634636,,Peter,Gillis,7012634636,Dunseith Day Elementary School,2019-06-03T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",,,11:00am-12:30pm,,,,,7,U,US,12826,,2019,Rolette
-100.0610951,48.815046,100230,Dunseith Elementary School,Open,"101 2nd Ave SW (PO Box 789) DUNSEITH, ND 58329",PO Box 789,DUNSEITH,ND,58329,7012440480,,Carol,Hunt,7012440480,Dunseith School District,2019-07-08T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:00am-12:30pm,,,,,7,U,US,12827,,2019,Rolette
