long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-102.4609774,42.71832934,88757,Gordon-Rushville Elementary-Rushville,Open,"119 Sprague St. Rushville, NE 69360",,Rushville,NE,69360,3082821322,,Tawnie,Eichenberger,3082821322,Gordon-Rushville Public Schools,2019-07-08T04:00:00.000Z,2019-07-11T04:00:00.000Z,"M,T,W,TH",Contact Site for operation hours,,11:00 - 13:00 p.m.,,,,,7,N,US,143175,,2019,Sheridan
-102.2090513,42.80471505,88758,GR Elementary School,Open,"500 W. 2nd St. Gordon, NE 69343",,Gordon,NE,69343,3082821322,,Tawnie,Eichenberger,3082821322,Gordon-Rushville Public Schools,2019-06-07T04:00:00.000Z,2019-07-12T04:00:00.000Z,",F",Contact Site for operation hours,,,,13:00 - 14:00 p.m.,,,7,N,US,143182,,2019,Sheridan
-102.4609717,42.71502298,88759,GR Middle School,Open,"401 Sprague Rushville, NE 69360",,Rushville,NE,69360,3082821322,,Rhonda,Roberts,3082821322,Gordon-Rushville Public Schools,2019-06-07T04:00:00.000Z,2019-07-12T04:00:00.000Z,",F",Contact Site for operation hours,,,,13:00 - 14:00 p.m.,,,7,N,US,143184,,2019,Sheridan
-97.59863153,41.47417347,88760,Monroe,Open,"Monroe Park on Gerrard Avenue/338 Gerrard Avenue if weather is bad Monroe, NE 68647",,Monroe,NE,68647,4029932247,,Sue,Anderson,4029932247,Twin River Public School,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,,12:00 - 12:30 p.m.,,,,,7,N,US,144021,,2019,Platte
-97.59863153,41.47417347,81541,Monroe,Open,"338 Gerrard Avenue Monroe, NE 68647",,Monroe,NE,68647,4029932247,,Sue,Anderson,4029932247,Twin River Public School,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,,12:00 - 12:30 p.m.,,,,L,6,U,US,126429,,2019,Platte
-99.85591189,42.54697349,100294,Ainsworth,Open,"520 E. 2nd Street Ainsworth, NE 69210",,Ainsworth,NE,69210,4023872333,193,Dedra,Stoner,4023872333,Ainsworth City School,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,,11:45 - 12:15 p.m.,,,,,7,U,US,15303,,2019,Brown
-102.88072,42.10095458,100295,Emerson Elementary,Open,"700 Black Hills Avenue Alliance, NE 69301",,Alliance,NE,69301,3087625475,,Sandra,Morava,3087625475,Alliance Public Schools,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,7:30 - 8:00 a.m.,11:30 - 12:00 p.m.,,,,,7,U,US,8549,,2019,Box Butte
-102.8725128,42.10560031,100296,Middle School,Open,"1100 Laramie Avenue Alliance, NE 69301",,Alliance,NE,69301,3087625475,,Sandra,Morava,3087625475,Alliance Public Schools,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,7:30 - 8:00 a.m.,11:30 - 12:00 p.m.,,,,,7,U,US,9314,,2019,Box Butte
-99.37902263,41.29138032,100297,Ansley Public School,Open,"1124 Cameron Street Ansley, NE 68814",,Ansley,NE,68814,3089351121,,Gordon,Goodman,3089351121,Ansley Public School,2019-06-03T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,,12:00 - 13:00 p.m.,,,,,7,U,US,37,,2019,Custer
-99.89653772,40.30845119,100298,Arapahoe Public School,Open,"610 Walnut St Arapahoe, NE 68922",,Arapahoe,NE,68922,3089625458,,George,Griffith,3089625458,Arapahoe Public School,2019-06-03T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,7:30 - 9:00 a.m.,11:00 - 12:30 p.m.,,,,,7,U,US,130621,,2019,Furnas
-95.84536397,40.38364867,100299,Calvert Elementary School,Open,"2103 O Street Auburn, NE 68305",,Auburn,NE,68305,4022744328,5,Erna,Blount,4022744328,Auburn Public School,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F",Contact Site for operation hours,,11:30 - 13:00 p.m.,,,,,7,U,US,8124,,2019,Nemaha
