long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-72.38381171,42.77117346,60502,E.L.M. Community Center,Open,"21 Durkee st Winchester, NH 03470",,Winchester,NH,3470,6033920257,,Beth,Baldwin,6033920257,ACCESS Program,2019-06-25T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F","Field Trips: July 12, 19, 26, August 2, 9, 15) Closed 7/4/2018",,12:00,10:00,,,"L,M",4,N,US,18578,,2019,Cheshire
-71.53533367,43.2004975,60503,Concord Royal Gardens,Open,"15 Concord Gardens Concord, NH 03301",,Concord,NH,3301,6032253295,,Sharon,Ficek,6032253295,Belknap Merrimack CAP,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",Closed 7/4/2019,,11:45,,,,L,4,N,US,18313,,2019,Merrimack
-71.7731692,44.31053179,60504,Littleton Rec Dept,Open,"159 Oak Hill Ave Littleton, NH 03561",,Littleton,NH,3561,6039919980,,Chris,Wilkins,4135227010,Belknap Merrimack CAP,2019-06-24T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F","Field Trips: June 28 July 5,12,19,26, August 2,9 Closed 7/4/2019",8:00,11:30,,,,,4,N,US,134806,,2019,Grafton
-71.18668255,44.46953607,60505,Berlin Rec Ctr,Open,"672 First Avenue Berlin, NH 03570",,Berlin,NH,3570,6037522010,,Terry,Letarte,6037522010,Berlin Parks and Rec,2019-06-29T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,,12:00,,2:30,,"L,A",4,N,US,89988,,2019,Coos
-71.16093616,44.48618898,60506,Brookside Park,Open,"Maynesboro Street Berlin, NH 03570",,Berlin,NH,3570,6037522010,,Terry,Letarte,6037522010,Berlin Parks and Rec,2019-06-24T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,,12:00,,2:30,,"L,A",4,N,US,17849,,2019,Coos
-71.16742064,44.48730104,60507,Brown School Playground,Open,"Norway Street Berlin, NH 03570",,Berlin,NH,3570,6037522010,,Terry,Letarte,6037522010,Berlin Parks and Rec,2019-06-24T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH, F",Closed July 4th & 5th,,12:00,,2:30,,"L,A",4,N,US,122661,,2019,Coos
-71.16091127,44.48860928,60508,Community Cntrl Plygrnd,Open,"Hutchins Street Berlin, NH 03570",,Berlin,NH,3570,6037522010,,Terry,Letarte,6037522010,Berlin Parks and Rec,2019-06-24T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,,12:00,,2:30,,"L,A",4,N,US,122759,,2019,Coos
-71.18171971,44.47156877,60509,Friendship Park Summer Camp,Open,"115 Mason Street Berlin, NH 03570",,Berlin,NH,3570,6037522010,,Terry,Letarte,6037522010,Berlin Parks and Rec,2019-06-24T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,,12:00,,2:30,,"L,A",4,N,US,134416,,2019,Coos
-71.17802678,44.47199875,60510,St. Barnabus,Open,"2 High Street Berlin, NH 03570",,Berlin,NH,3570,6034665190,,Judy,Arsenault,6034665190,Berlin Parks and Rec,2019-07-08T07:00:00.000Z,2019-08-08T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,,11:30,,2:30,,"L,A",4,N,US,21467,,2019,Coos
-71.48197364,42.75614117,60511,Boys & Girls Club of Nashua,Open,"1 Positive Place Nashua, NH 03060",,Nashua,NH,3060,6038830523,,Kurt,Norris,6038830523,Boys & Girls Club Nashua,2019-06-19T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F","Field Trips: June 24,25,26,28 July 1,2,3,8,9,10,12,15,16,17,19,22,23,24,26,29,30,31 August 2,5,6,7,9,12,13,14,16,19,20,21,23 Closed July 4th",7:30,11:30,,,,"B,L",4,N,US,133880,,2019,Hillsborough
-71.45739343,42.993144,60512,Boys & Girls Club Manchester,Open,"555 Union Street Manchester, NH 03104",,Manchester,NH,3104,6036255031,,Ken,Neil,6036255031,Boys & Girls Club Manchester,2019-06-17T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th & 5th,7:15,,,,4:15,"B,S",4,N,US,90041,,2019,Hillsborough
-72.33399733,43.3646389,60513,Claremont Middle School,Open,"107 South Street Claremont, NH 03743",,Claremont,NH,3743,6035434250,,Cindy,Stevens,6035433290,Claremont Soup Kitchen,2019-07-01T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,,11:30,,,,L,4,N,US,63617,,2019,Sullivan
-72.34373216,43.37447248,60514,Claremont Soup Kitchen,Open,"51 Central Street Claremont, NH 03743",,Claremont,NH,3743,6035433290,,Cindy,Stevens,6035433290,Claremont Soup Kitchen,2019-06-17T07:00:00.000Z,2019-08-30T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,,1:00,,,,L,4,N,US,63618,,2019,Sullivan
-72.34012927,43.383303,60515,Disnard Elementary School,Open,"160 Hanover Street Claremont, NH 03743",,Claremont,NH,3743,6035433290,,Cindy,Stevens,6035433290,Claremont Soup Kitchen,2019-07-01T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,,11:30,,,,L,4,N,US,122797,,2019,Sullivan
-72.37040438,43.36490054,60516,Maple Avenue School,Open,"210 Maple Avenue Claremont, NH 03743",,Claremont,NH,3743,6035433290,,Cindy,Stevens,6035433290,Claremont Soup Kitchen,2019-07-01T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,,11:30,,,,L,4,N,US,64406,,2019,Sullivan
-71.94251503,43.03111991,60517,Antrim Elem School,Open,"10 School Street Antrim, NH 03440",,Antrim,NH,3440,6035886371,,Lisa,Hennessy,6035886371,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,8:30,11:00,,,,"B,L",4,N,US,17398,,2019,Hillsborough
-72.29560242,42.9268925,60518,Brook Bend,Open,"82 Meadow Road Keene, NH 03431",,Keene,NH,3431,6032835443,,June,Jones,6032835443,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,9:50,12:20,,,,"B,L",4,N,US,17839,,2019,Cheshire
-72.05576087,42.90605248,60519,Dublin Consolidated School,Open,"1177 Main Street Dublin, NH 03444",,Dublin,NH,3444,6035638332,,Nicole,Pease,6035638332,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,9:45,11:30,,,,"B,L",4,N,US,18552,,2019,Cheshire
-72.28796692,42.94300902,60520,Forrest View,Open,"10 Harmony Lane Keene, NH 03431",,Keene,NH,3431,6033526161,,Liz,Chapman,6033526161,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,9:00,11:30,,,,"B,L",4,N,US,18906,,2019,Cheshire
-71.90370781,43.11796809,60521,Hillsboro/Deering Middle School,Open,"6 Hillcat Drive Hillsborough, NH 03244",,Hillsborough,NH,3244,6034641160,,Michele,Dupont,6034641160,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,8:30,11:30,,,,"B,L",4,N,US,19339,,2019,Hillsborough
-72.01713869,42.80552927,60522,Humiston Field,Open,"31 Howard Hill Road Jaffrey, NH 03452",,Jaffrey,NH,3452,6035327873,,Walt,Pryor,6035327873,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F","Field Trips: July 8,9,10,11,12,15,16,17,18,19,22,23,24,25,26,29,30,31 August 1,2,5,6,7,8,9",8:45,11:30,,,,"B,L",4,N,US,19422,,2019,Cheshire
-72.02548248,42.81431087,60523,Jaffrey Grade School,Open,"18 School Street Jaffrey, NH 03452",,Jaffrey,NH,3452,6035328355,,Susan,Sarles,6035328355,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,8:15,11:45,,,,"B,L",4,N,US,19526,,2019,Cheshire
-72.01899086,42.81078935,60524,Jaffrey Rindge Middle,Open,"1 Conant Way Jaffrey, NH 03452",,Jaffrey,NH,3452,6035328355,,Susan,Sarles,6035328355,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,,11:45,,,,L,4,N,US,19527,,2019,Cheshire
-72.3261282,42.95001788,60525,Keene Family YMCA,Open,"200 Summit Road Keene, NH 03431",,Keene,NH,3431,6032835240,,Kelly,Fluette,6032835240,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,8:00,11:00,,,,"B,L",4,N,US,19639,,2019,Cheshire
-72.27886389,42.94473727,60526,North and Gilsum,Open,"32 North Street Keene, NH 03431",,Keene,NH,3431,6033526161,,Liz,Chipman,6033526161,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",,9;05,11:35,,,,"B,L",4,N,US,20444,,2019,Cheshire
-71.94729853,42.91462312,60527,Pine View Village,Open,"118 Prescott Road Peterborough, NH 03458",,Peterborough,NH,3458,6039249601,,Erika,Alusic-Bingham,6039249601,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F","Field Trips: July 9,11,16,18,23,25,30 August 1,6,8",8:40,12:40,,,,"B,L",4,N,US,20793,,2019,Hillsborough
-71.93653486,42.90731064,60528,Riverview Apt.,Open,"75 Pheasant Road Peterborough, NH 03458",,Peterborough,NH,3458,6039249601,,Erika,Alusic-Bingham,6039249601,SAU 1 Conval,2019-07-08T07:00:00.000Z,2019-08-17T07:00:00.000Z,"M,T,W,TH,F","Field Trips: July 9,11,16,18,23,25,30 August 1,6,8",8:00,12:00,,,,"B,L",4,N,US,21060,,2019,Hillsborough
-72.49934418,42.78465617,60529,Hinsdale Day Camp,Open,"12 School Street Hinsdale, NH 03451",,Hinsdale,NH,3451,6033365984,,Tammy,Stebbins,6033365332,SAU 92 Hinsdale,2019-07-01T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,8:15,11:30,,,,"B,L",4,N,US,134566,,2019,Cheshire
-72.49934418,42.78465617,60530,Hinsdale Middle High School,Open,"12 School Street Hinsdale, NH 03451",,Hinsdale,NH,3451,6033365332,,Maryanne,O'Malley,6033365332,SAU 92 Hinsdale,2019-07-01T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",Closed July 4th,,,,3:15,,A,4,N,US,134567,,2019,Cheshire
