long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-74.92368109,40.06751557,60625,BEVERLY COMMUNITY SATELIT,Open,"101 MAGNOLIA AVENUE BEVERLY, NJ 08010",,BEVERLY,NJ,8010,6092208529,,FRED,WASIAK,8566624884,FOOD BANK OF SOUTH JERSEY,2019-07-01T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",CLOSED JULY 4TH LUNCH ENDS = 1:30PM,,1130,,,,L,4,N,US,95600,,2019,Burlington
-75.21303334,39.42378708,60636,BUCKSHUTEM 2,Open,"550 BUCKSHUTEM RD. BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564558030,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-09T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",,830,1200,,,,"B,L",4,N,US,117455,,2019,Cumberland
-75.23926206,39.44087395,60637,COHANZICK ZOO,Open,"45 MAYOR AITKEN DRIVE BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,6097744805,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-15T07:00:00.000Z,2019-07-31T07:00:00.000Z,M,,,1230,,,,L,4,N,US,134099,,2019,Cumberland
-75.19328731,39.42663185,60638,UNION BAPTIST TEMPLE,Open,"30 MARTIN LUTHER KING DR. BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8565064859,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-02T07:00:00.000Z,"TH, SU",,,,,,600,S,4,N,US,135715,,2019,Cumberland
-75.21839162,39.43953443,60639,INDIAN AVENUE,Open,"399 INDIAN AVENUE BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564558030,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",,830,1200,,,,"B,L",4,N,US,134628,,2019,Cumberland
-75.2346332,39.43145545,60643,MARINO CENTER,Open,"11 WASHINGTON ST BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564516330,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-19T07:00:00.000Z,"M,T,W,TH",,900,1200,,,,"B,L",4,N,US,124487,,2019,Cumberland
-75.19328731,39.42663185,60644,UNION BAPTIST TEMPLE,Open,"30 MARTIN LUTHER KING JR. (WAY) BRIDGETON, NJ 08302",WAY,BRIDGETON,NJ,8302,8565064859,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-02T07:00:00.000Z,"W,TH,SU",,,,,,630,S,4,N,US,123686,,2019,Cumberland
-75.24822737,39.42000738,60648,QUARTER MILE SCHOOL,Open,"300 QUARTER MILE LANE BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564558030,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-12T07:00:00.000Z,"M,T,W,TH,F",,800,1130,,,,"B,L",4,N,US,119391,,2019,Cumberland
-75.20914844,39.46540038,60649,BHS 2,Open,"111 NORTHWEST AVE. BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564558030,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M,T,W,TH,F,SA",,930,1245,,,,"B,L",4,N,US,117348,,2019,Cumberland
-75.20914844,39.46540038,60650,BHS EXCEL,Open,"111 NORTHWEST AVE. BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564558030,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-06-24T07:00:00.000Z,2019-08-12T07:00:00.000Z,"M,T,W,TH,F,SA",CLOSED JULY 4TH,740,1100,,,,"B,L",4,N,US,117349,,2019,Cumberland
-75.24296123,39.43732188,60653,P.A.L. SOCCER FIELD,Open,"SCHOLASTIC DRIVE BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8562978151,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-19T07:00:00.000Z,"M,W,F",,,1100,,,,L,4,N,US,121827,,2019,Cumberland
-75.22557758,39.43162718,60655,JOHNSON REEVES PLAYGROUND,Open,"115 EAST AVENUE BRIDGETON, NJ 08302",,BRIDGETON,NJ,8302,8564516330,,NICOLE,ALBANESE,8564558030,BRIDGETON BOARD OF EDUCATION,2019-07-08T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",,,230,,,,L,4,N,US,121379,,2019,Cumberland
