long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-106.4967021,35.12894897,70048,Alta Vista Apartments,Open,"4200 Spanish Bit NE Albuquerque, NM 87111",,Albuquerque,NM,87111,5057675811,,Henry,Saavedra,5057675811,City of Albuquerque,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,,11:30 AM-12:30 PM,,,,LUN,5,N,US,135986,,2019,Bernalillo
-106.7009509,35.10867927,70143,Christine Duncan Charter School,Open,"1900 Atrisco Dr. NW Albuquerque, NM 87120",,Albuquerque,NM,87120,5058736035,,Michael,Lujan,5058736035,City of Albuquerque,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,8:00 AM-9:00 AM,11:30 AM-12:30 PM,,,,"BRK,LUN",5,N,US,81190,,2019,Bernalillo
-106.7702735,34.66195704,88761,Anna Becker Park,Open,"300 W. Reinken Belen, NM 87002",,Belen,NM,87002,5059661714,,TBD,TBD,5059661714,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,Th,F",,,11:00 AM-1:00 PM,,,,,7,N,US,117162,,2019,Valencia
-106.7886436,34.66137569,88762,Belen High School,Open,"1619 W. Delgado Belen, NM 87002",,Belen,NM,87002,5059661336,,Lisa,Poynter,5059661336,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,8:00 AM-9:00 AM,11:00 AM-1:00 PM,,,,,7,N,US,117284,,2019,Valencia
-106.7727587,34.65571997,88763,Belen Middle School,Open,"424 S. 4th Street Belen, NM 87002",,Belen,NM,87002,5059661620,,Helen,Padilla,5059661620,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,8:00 AM-9:00 AM,11:00 AM-1:00 PM,,,,,7,N,US,117285,,2019,Valencia
-106.7601138,34.71161969,88764,Dennis Chavez Elementary School,Open,"19560 N. Hwy 314 Belen, NM 87002",,Belen,NM,87002,5059661808,,Moises,Carrillo,5059661808,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,7:45 AM-8:45 AM,11:00 AM-1:00 PM,,,,,7,N,US,117834,,2019,Valencia
-106.7784987,34.66684722,88765,Jaramillo Elementary School,Open,"900 Esperanza Belen, NM 87002",,Belen,NM,87002,5059662013,,Lorraine,Apodaca,5059662013,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,7:45 AM-8:45 AM,11:00 AM-1:00 PM,,,,,7,N,US,118523,,2019,Valencia
-106.7798655,34.66188,88766,St. Mary's Catholic School,Open,"Church & 10th Street Belen, NM 87002",,Belen,NM,87002,5058640484,,Susan,TBD,5058640484,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,,,,,4:30 PM-6:30 PM,,7,N,US,83846,,2019,Valencia
-106.7410538,34.65286956,88767,Willie Chavez Park,Open,"1617 River Road Belen, NM 87002",,Belen,NM,87002,5059661714,,Ester,Ortega,5059661714,Belen Consolidated Schools,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,Th,F",,,11:00 AM-1:00 PM,,,,,7,N,US,120182,,2019,Valencia
-107.9832827,36.71246353,88768,Central Primary,Open,"310 W SYCAMORE AVE BLOOMFIELD, NM 87413",,BLOOMFIELD,NM,87413,5056343608,,Lucinda,Darby,5056343608,Bloomfield Schools,2019-05-29T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,Th,F",,8:00 AM-8:30 AM,11:30 AM-1:00 PM,,,,,7,N,US,117586,,2019,San Juan
-108.3956669,36.74600435,88771,Nenahnezad Community School,Open,"Rd 6675 (PO Box 337) Fruitland, NM 87416",PO Box 337,Fruitland,NM,87416,5055985966,,Margene,Purcella,5055985966,Central Consolidated Schools,2019-06-03T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,Th",,8:00 AM-8:30 AM,12:00 PM-12:30 PM,,,,,7,N,US,119075,,2019,San Juan
-103.3573281,32.94400113,88772,Avenue D Park,Open,"700 W Ave D Lovington, NM 88260",,Lovington,NM,88260,5753961317,,Patsy,Hart,5753961317,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,Th,F",,,12:30 PM-1:30 PM,,,,,7,N,US,117221,,2019,Lea
-103.118841,32.69976152,88773,Charlie Brown Park,Open,"1420 E DUNNAM ST HOBBS, NM 88240",,HOBBS,NM,88240,5753188605,,Lara,Scharf,5753188605,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,Th,F",,,1:00 PM-1:45 PM,,,,,7,N,US,117609,,2019,Lea
-103.1254065,32.70703005,88774,City Park,Open,"1001 E Clinton Hobbs, NM 88240",,Hobbs,NM,88240,5753990157,,Bertha,Richardson,5753990157,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,Th,F",,,12:45 PM-2:00 PM,,,,,7,N,US,142569,,2019,Lea
-103.1232173,32.72881483,88775,City Rec Highland Jr High,Open,"2500 N JEFFERSON ST HOBBS, NM 88240",,HOBBS,NM,88240,5753188605,,Lara,Scharf,5753188605,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,Th,F",,8:00 AM-8:30 AM,11:30 AM-12:30 PM,,,,,7,N,US,117670,,2019,Lea
-103.1232553,32.70813519,88776,City Rec Hobbs High School,Open,"800 N JEFFERSON ST HOBBS, NM 88240",,HOBBS,NM,88240,5753188605,,Lara,Scharf,5753188605,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,Th,F",,,11:45 AM-12:30 PM,,,,,7,N,US,50831,,2019,Lea
-103.1359177,32.68216756,88777,Heizer Park,Open,"200 E Stanolind Rd Hobbs, NM 88240",,Hobbs,NM,88240,5753188605,,Lara,Scharf,5753188605,"Child & Family Services, Inc. of Lea Co.",2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,Th,F",,,11:45 AM-12:30 PM,,,,,7,N,US,118326,,2019,Lea
