long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-76.72503126,42.62065096,53604,South Seneca Elementary School,Open,"8326 Main St Interlaken, NY 14847",,Interlaken,NY,14847,6078699636,4111,Kathy,Bishop,6078699636,South Seneca CSD,2019-07-01T04:00:00.000Z,2019-08-02T04:00:00.000Z,MTWTHF,,08:45AM-09:15AM,11:00AM-12:00PM,,,,BL,3,N,US,99120,,2019,Seneca
-73.41099439,40.6955607,74106,Northeast School,Open,"420 Albany Ave Amityville, NY 11701",,Amityville,NY,11701,6315656573,,Laura,Gaglione,6315656573,Amityville UFSD,2019-07-01T04:00:00.000Z,2019-08-09T04:00:00.000Z,MTWTHF,,08:00AM-09:00AM,12:00PM-01:00PM,,,,BL,6,N,US,115805,,2019,Suffolk
-77.6388122,43.14652452,74261,School 29-Adlai E Stevenson,Open,"88 Kirkland Rd Rochester, NY 14611",,Rochester,NY,14611,5854286755,,Daniele,Lyman-Torres,5854286755,City Of Rochester Dept Rec & Youth,2019-07-01T04:00:00.000Z,2019-08-30T04:00:00.000Z,MTWTHF,,08:45AM-09:45AM,12:30PM-01:30PM,,,,BL,6,N,US,60070,,2019,Monroe
-76.17429334,43.04400222,74540,Fowler High School,Open,"227 Magnolia St Syracuse, NY 13204",,Syracuse,NY,13204,3154354207,,Rachel,Murphy,3154354207,Syracuse City SD,2019-07-08T04:00:00.000Z,2019-08-14T04:00:00.000Z,MTWTHF,,07:45AM-09:30AM,11:00AM-12:00PM,,,,BL,6,N,US,23007,,2019,Onondaga
-76.14335793,42.99662404,74541,Frank G. Mccarthy School,Open,"4942 S Salina St Syracuse, NY 13205",,Syracuse,NY,13205,3154354207,,Rachel,Murphy,3154354207,Syracuse City SD,2019-07-08T04:00:00.000Z,2019-08-02T04:00:00.000Z,MTWTH,,07:30AM-09:30AM,10:30AM-11:30PM,,,,BL,6,N,US,23011,,2019,Onondaga
-76.06474337,42.13205614,88880,Mt Sinai Church,Open,"1604 Union Center Hwy Endicott, NY 13760",,Endicott,NY,13760,6077663926,,Mark,Bordeau,6077663926,Binghamton City SD,2019-07-29T04:00:00.000Z,2019-08-02T04:00:00.000Z,MTWTHF,,09:00AM-10:00AM,12:00PM-12:45PM,,,,,7,N,US,144072,,2019,Broome
-75.71025793,42.14771484,88881,Nathaniel Cole Park,Open,"1674 Colesville Rd Harpursville, NY 13787",,Harpursville,NY,13787,6077663926,,Mark,Bordeau,6077663926,Binghamton City SD,2019-07-08T04:00:00.000Z,2019-07-12T04:00:00.000Z,MTWTHF,,,11:40AM-01:50PM,,,,,7,N,US,59294,,2019,Broome
-78.88430108,42.94021226,88882,American Legion-Buffalo Niagra Conce,Open,"533 Amherst St Buffalo, NY 14207",,Buffalo,NY,14207,7168163688,,Bridgette,O' Brien-Wood,7168163688,Buffalo City SD,2019-07-08T04:00:00.000Z,2019-08-16T04:00:00.000Z,MTWTH,,08:00AM-09:00AM,12:00PM-01:00PM,,,,,7,N,US,12425,,2019,Erie
-79.31839082,42.48344565,88883,Courtney Apartments,Open,"47-49 Courtney St Dunkirk, NY 14048",,Dunkirk,NY,14048,7166619430,,Susan,Marker,7166619430,Chautauqua Opportunities Inc,2019-07-08T04:00:00.000Z,2019-08-30T04:00:00.000Z,MTWTHF,,,12:30PM-01:30PM,,,,,7,N,US,142686,,2019,Chautauqua
-79.33347767,42.47977879,88884,Dunkirk Public Library,Open,"536 Central Ave Dunkirk, NY 14048",,Dunkirk,NY,14048,7166619430,,Susan,Marker,7166619430,Chautauqua Opportunities Inc,2019-07-08T04:00:00.000Z,2019-08-31T04:00:00.000Z,MTWTHF,,,12:30PM-01:00PM,,,,,7,N,US,142823,,2019,Chautauqua
