long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-83.58852476,38.69388484,48514,Manchester High School,Open,"130 Wayne Frye Drive Manchester, OH 45144",,Manchester,OH,45144,9375494777,3115,Lisa,Morrison,9375494777,Manchester Local SD,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",8:00AM - 12:00PM,8:00AM - 9:00AM,11:00AM - 12:00PM,,,,"B,L",2,N,US,102223,,2019,Adams
-81.50998657,41.19290925,48515,Woodridge High School,Open,"4451 Quick Rd Peninsula, OH 44264",,Peninsula,OH,44264,3309287428,,Nicole,Ryan,3309287428,Woodridge Local School District,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:00AM - 1:00PM,,11:00AM - 1:00PM,,,,L,2,N,US,132215,,2019,Summit
-84.49629629,39.27667341,48516,Cameron Park Elementary School,Open,"580 Dewdrop Circle Cincinnati, OH 45240",,Cincinnati,OH,45240,5136192483,,Vickie,Koeninger,5136192483,Winton Woods,2019-06-03T04:00:00.000Z,2019-07-27T04:00:00.000Z,"M,T,W,TH,F,SA",10:50AM - 11:20AM,,10:50AM - 11:20AM,,,,L,2,N,US,114320,,2019,Hamilton
-84.50407263,39.2831033,48517,Winton Woods Intermediate,Open,"825 Waycross Road Cincinnati, OH 45240",,Cincinnati,OH,45240,5136192456,,Shari,Spaw,5136192456,Winton Woods,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",8:15AM - 1:00PM,8:15AM - 9:00AM,11:30AM - 1:00PM,,,,"B,L",2,N,US,80210,,2019,Hamilton
-84.55727521,39.27916239,48518,Quailridge,Open,"11046 Quailridge Ct Cincinnati, OH 45240",,Cincinnati,OH,45240,5136192480,,Mark,Docter,5136192480,Winton Woods,2019-06-03T04:00:00.000Z,2019-07-27T04:00:00.000Z,"M,T,W,TH,F,SA",12:10PM - 12:40PM,,12:10PM - 12:40PM,,,,L,2,N,US,112672,,2019,Hamilton
-84.52130896,39.26760044,48519,Community Building,Open,"8 Enfield St. Cincinnati, OH 45218",,Cincinnati,OH,45218,5136192480,,Mark,Docter,5136192480,Winton Woods,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F,SA",11:30AM - 12:00PM,,11:30AM - 12:00PM,,,,L,2,N,US,110363,,2019,Hamilton
-84.51059199,39.24135128,48520,Springfield Township,Open,"9601 Winton Road Springfield Township, OH 45231",,Springfield Township,OH,45231,5136192480,,Mark,Docter,5136192480,Winton Woods,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F,SA",10:50AM - 11:20AM,,10:50AM - 11:20AM,,,,L,2,N,US,119730,,2019,Hamilton
-82.86539987,39.90245694,48521,Asbury Elementary School,Open,"5127 Harbor blvd Columbus, OH 53232",,Columbus,OH,53232,6148350251,,Steven,Shirley,6148350251,Groveport Madison,2019-06-17T04:00:00.000Z,2019-08-19T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,130928,,2019,Franklin
-82.87965175,39.85084189,48522,Groveport Madison Junior High School,Open,"751 Main St Groveport, OH 43125",,Groveport,OH,43125,6148350251,,Steven,Shirley,6148350251,Groveport Madison,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,27933,,2019,Franklin
-82.87642193,39.90707346,48523,Madison Elementary School,Open,"4600Madison School Dr Columbus, OH 43232",,Columbus,OH,43232,6148350251,,Steven,Shirley,6148350251,Groveport Madison,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,131651,,2019,Franklin
-82.85446983,39.90461146,48524,Groveport Madison Middle School North,Open,"5474 Sedalia Dr. Columbus, OH 43232",,Columbus,OH,43232,6148350251,,Steven,Shirley,6148350251,Groveport Madison,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,27934,,2019,Franklin
-82.8914913,39.84993612,48525,Degenhart Park,Open,"300 Lambert St Groveport, OH 43125",,Groveport,OH,43125,6148350251,,Steven,Shirley,6148350251,Groveport Madison,2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,2,N,US,12800,,2019,Franklin
-80.74386258,41.09216986,48526,Austintown Elementary School,Open,"245 Idaho Rd. Lynn Kirk Loop Austintown, OH 44515",,Austintown,OH,44515,3307973900,2032,Jayme,Rarick,3307973900,Austintown Local SD,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",7:45AM - 1:00PM,7:45AM - 9:00AM,11:00AM - 1:00PM,,,,"B,L",2,N,US,130937,,2019,Mahoning
-81.38307136,40.75029652,48527,Faircrest Memorial Middle School,Open,"616 Faircrest St SW Canton, OH 44706",,Canton,OH,44706,3304848010,2012,Margaret,McMillen,3304848010,Canton Local School District,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH",8:30AM - 12:00PM,8:30AM - 9:00AM,11:30AM - 12:00PM,,,,"B,L",2,N,US,12922,,2019,Stark
-83.590731,41.630706,48530,Highand Park,Open,"1690 South Ave at Shasta Toledo, OH 43609",,Toledo,OH,43609,4198706527,,Daryl,Blair Jr,4198706527,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",7:00PM - 8:00PM,,,,,7:00PM - 8:00PM,S,2,N,US,13143,,2019,Lucas
-83.53330955,41.65882758,48532,Greenbelt Place Apts,Open,"806 Cherry St Toledo, OH 43604",,Toledo,OH,43604,4192431131,,Miss,Kizzy,4192431131,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",9:00AM - 1:00PM,9:00AM - 10:00AM,12:00PM - 1:00PM,,,,"B,L",2,N,US,13082,,2019,Lucas
-83.60276069,41.63074646,48533,Burroughs Elm,Open,"2420 South Ave Toledo, OH 43609",,Toledo,OH,43609,5676775725,,Mike,Baker,5676775725,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",7:00PM - 8:00PM,,,,,7:00PM - 8:00PM,S,2,N,US,63470,,2019,Lucas
-83.50756683,41.66957554,48534,Jamie Farr Pool,Open,"2000 Summit St Toledo, OH 43611",,Toledo,OH,43611,4197201106,,Robin,Myers,4197201106,"Connecting Kids to Meals, Inc.",2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",12:15PM - 1:00PM,,12:15PM - 1:00PM,,,,L,2,N,US,13228,,2019,Lucas
-83.596711,41.68380951,48535,Fairfax Park,Open,"2159 Fairfax Rd Toledo, OH 43613",,Toledo,OH,43613,4192976978,,Wayne,Golliday,4192976978,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",7:00PM - 8:00PM,,,,,7:00PM - 8:00PM,S,2,N,US,12923,,2019,Lucas
-83.55379237,41.65670709,48536,First Alliance Church,Open,"2201 Monroe St Toledo, OH 43604",,Toledo,OH,43604,4192622937,,Sue,Trumbull,4192622937,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 3:45PM,,12:00PM - 1:00PM,,3:30PM - 3:45PM,,"L,A",2,N,US,12949,,2019,Lucas
-83.61627678,41.62990564,48539,Elmdale Court,Open,"463 Elmdale Toledo, OH 43609",,Toledo,OH,43609,4193924258,,Valarie,Golladay,4193924258,"Connecting Kids to Meals, Inc.",2019-06-10T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",9:00AM - 5:00PM,9:00AM - 9:30AM,,,,4:00PM - 5:00PM,"B,S",2,N,US,12891,,2019,Lucas
-83.563128,41.631255,48540,Dale Stone Park,Open,"Aurora Gonzalez Drive Toledo, OH 43609",,Toledo,OH,43609,4198705438,,Tonya,Duran,4198705438,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",6:00PM - 8:00PM,,,,,6:00PM - 8:00PM,S,2,N,US,63712,,2019,Lucas
-83.51689751,41.64623207,48541,Aurora Academy,Open,"824 6th St Toledo, OH 43605",,Toledo,OH,43605,4196936841,,Marquita,Murphy,4196936841,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH",9:00AM - 1:00PM,9:00AM - 9:30AM,12:30PM - 1:00PM,,,,"B,L",2,N,US,12448,,2019,Lucas
-83.49667628,41.66283629,48543,Birmingham Branch Library,Open,"203 Paine Ave Toledo, OH 43605",,Toledo,OH,43605,4192595210,,Julie,McCann,4192595210,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 1:00PM,,12:00PM - 1:00PM,,,,L,2,N,US,12497,,2019,Lucas
-83.6195503,41.6822386,48545,Hampton Court Apartments,Open,"3125 Ilger Toledo, OH 43606",,Toledo,OH,43606,4195361714,,Diana,Kanneman,4195361714,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",9:00AM - 1:00PM,9:00AM - 10:00AM,12:00PM - 1:00PM,,,,"B,L",2,N,US,13107,,2019,Lucas
-83.56241482,41.67630184,48546,Glenwood School Toledo,Open,"2860 Glenwood Ave Toledo, OH 43610",,Toledo,OH,43610,4193607888,,Johnathan,Nichols,4193607888,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",8:30AM - 12:00PM,8:30AM - 9:00AM,11:30AM - 12:00PM,,,,"B,L",2,N,US,86240,,2019,Lucas
-83.62133133,41.60127254,48548,Heatherdowns Branch Library,Open,"3265 Glanzman Rd Toledo, OH 43614",,Toledo,OH,43614,4192595270,,Judy,Jones,4192595270,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",1:00PM - 2:00PM,,1:00PM - 2:00PM,,,,L,2,N,US,13127,,2019,Lucas
-83.6204847,41.61235949,48549,JRM Mentoring @ New Psalmist Baptist Church,Open,"3251 Glendale Ave Toledo, OH 43614",,Toledo,OH,43614,4198701893,,Teneashia,Cunningham,4198701893,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",8:30AM - 1:00PM,8:30AM - 9:00AM,12:00PM - 1:00PM,,,,"B,L",2,N,US,28551,,2019,Lucas
-83.49551487,41.66293855,48551,After School All Stars @ Birmingham,Open,"2222 Bakewell St Toledo, OH 43605",,Toledo,OH,43605,7409753570,,Kathalyn,Gensler-Nic,7409753570,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",8:30AM - 12:15PM,8:30AM - 9:00AM,11:30AM - 12:15PM,,,,"B,L",2,N,US,84672,,2019,Lucas
-83.67398086,41.66192349,48552,After School All Stars @ Hawkins,Open,"5550 Bancroft St Toledo, OH 43615",,Toledo,OH,43615,4408957683,,Johnna,Bankston,4408957683,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",8:30AM - 12:15PM,8:30AM - 9:00AM,11:30AM - 12:15PM,,,,"B,L",2,N,US,84673,,2019,Lucas
-83.5714707,41.63260849,48553,After School All Stars @ Walbridge,Open,"1245 Walbridge Ave Toledo, OH 43609",,Toledo,OH,43609,2162880610,,Danielle,Reddick,2162880610,"Connecting Kids to Meals, Inc.",2019-06-17T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",8:30AM - 12:15PM,8:30AM - 9:00AM,11:30AM - 12:15PM,,,,"B,L",2,N,US,84674,,2019,Lucas
-83.51314622,41.618816,48556,East Toledo Boys & Girls Club,Open,"1755 E Broadway Toledo, OH 43605",,Toledo,OH,43605,4196931961,,Kelly,Duhling,4196931961,"Connecting Kids to Meals, Inc.",2019-06-03T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 3:45PM,,11:30AM - 1:15PM,,3:15PM - 3:45PM,,"L,A",2,N,US,85845,,2019,Lucas
