long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-96.1146413,35.9986471,45271,Sapulpa Library(N3),Open,"27 W. DEWEY SAPULPA, OK 74066",,SAPULPA,OK,74066,9182276800,2471,NANCY,SITLER,9182276800,SAPULPA PUBLIC SCHOOL,2019-05-28T04:00:00.000Z,2019-07-19T04:00:00.000Z,T W TH,11:00-11:15,,,11:00-11:15,,,,1,N,US,130081,,2019,Creek
-96.09204372,36.00841054,45272,Sapulpa Aquatics Center(N4),Open,"701 N. BROWN STREET SAPULPA, OK 74066",,SAPULPA,OK,74066,9182276800,2471,NANCY,SITLER,9182276800,SAPULPA PUBLIC SCHOOL,2019-05-28T04:00:00.000Z,2019-07-14T04:00:00.000Z,M T W TH F,11:00-11:45,,11:00-11:45,,,,L,1,N,US,130080,,2019,Creek
-95.3670312,35.12592006,45279,QUINTON HS(715),Open,"210 NORTH J STREEET QUINTON, OK 74561",,QUINTON,OK,74561,9184717769,,CRYSTAL,PEDEN,9184717769,QUINTON SCHOOL,2019-05-20T04:00:00.000Z,2019-06-27T04:00:00.000Z,M T W TH,7:45-12:30,7:45- 8:30,11:40-12:30,,,,B L,1,N,US,130012,,2019,Pittsburg
-95.35227884,35.76599333,47752,MUSKOGEE PUBLIC LIBRARY(N27),Open,"1700 BEACON STREET MUSKOGEE, OK 74401",,MUSKOGEE,OK,74401,9186826657,223,KIM,HALL,9186826657,MUSKOGEE PUBLIC SCHOOLS,2019-06-03T04:00:00.000Z,2019-07-18T04:00:00.000Z,M T W TH,11:30-12:45,,11:30-12:45,,,,L,2,N,US,131738,,2019,Muskogee
-96.67834465,35.22864602,47753,NATIVE AMERICAN JUMP ROPE CAMP(N2),Open,"617 N. TIMMONS SEMINOLE, OK 74868",,SEMINOLE,OK,74868,4053825085,308,NANCY,QUINALTY,4053825085,SEMINOLE,2019-06-17T04:00:00.000Z,2019-06-19T04:00:00.000Z,M T W TH F,11:00-12:30,,11:00-12:30,,,,L,2,N,US,131747,,2019,Seminole
-96.05552648,35.8797458,45269,MOUNDS ES(105),Open,"1603 RUSSELL MOUNDS, OK 74047",,MOUNDS,OK,74047,9188276100,222,DORAN,SMITH,9188276100,MOUNDS,2019-05-28T04:00:00.000Z,2019-07-18T04:00:00.000Z,M T W TH,11:00-11:30,,11:00-11:30,,,,L,1,N,US,129865,,2019,Creek
-96.11878608,35.97917025,45270,Salvation Army(N2),Open,"1721 S HICKORY ST SAPULPA, OK 74066",,SAPULPA,OK,74066,9182247089,,NANCY,SITLER,9182247089,SAPULPA PUBLIC SCHOOL,2019-05-28T04:00:00.000Z,2019-07-26T04:00:00.000Z,M T W TH F,8:00-12:20,8:00- 8:20,12:00-12:20,,,,B L,1,N,US,130072,,2019,Creek
-96.13219604,35.988003,55956,West Side Will Baptist Church(N5),Open,"1403 S. CHEYENNE ROAD SAPULPA, OK 74074",,SAPULPA,OK,74074,9182247229,,NANCY,SITLER,9182247229,SAPULPA PUBLIC SCHOOL,2019-06-10T04:00:00.000Z,2019-06-14T04:00:00.000Z,M T W TH,8:00-1:00,8:00- 9:00,12:00- 1:00,,,,,3,U,US,130355,,2019,Creek
-94.88318017,36.88028852,56018,NICHOLS UPPER ES(140),Open,"504 4TH N.W. MIAMI, OK 74354",,MIAMI,OK,74354,9185423309,,LISA,NAMESTKA,9185423309,MIAMI,2019-05-16T04:00:00.000Z,2019-05-31T04:00:00.000Z,M T W TH F,7:45-12:15,7:45- 8:30,11:15-12:15,,,,,3,U,US,112290,,2019,Ottawa
-94.44903037,35.39039588,56035,MOFFETT PUBLIC SCHOOL(105),Open,"701 BELT AVENUE MOFFETT, OK 74946",,MOFFETT,OK,74946,9188753668,17,TONYA,EARLS,9188753668,MOFFETT PUBLIC SCHOOL,2019-05-28T04:00:00.000Z,2019-06-21T04:00:00.000Z,M T W TH F,8:00-12:00,8:00- 8:30,11:30-12:00,,,,,3,U,US,13520,,2019,Sequoyah
