long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-79.61723778,39.97423579,43661,FRANKLIN MEMORIAL UNITED METHODIST CHURCH,Open,"54 Bridge St. Dunbar, PA 15431",,Dunbar,PA,15431,7242774641,,Haley,Dally,7242774641,CONNELLSVILLE AREA SCHOOL DISTRICT,2019-06-24T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:00PM,,11:30AM - 12:00PM,,,,L,1,N,US,24722,,2019,Fayette
-79.65573892,40.04746139,43662,Phillip G Cochran Memorial UMC,Open,"210 Griscom St. Dawson, PA 15428",,Dawson,PA,15428,7245292925,,Karen,Martin,7245292925,CONNELLSVILLE AREA SCHOOL DISTRICT,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 1:00PM,,12:00PM - 1:00PM,,,,L,1,N,US,119281,,2019,Fayette
-79.58689936,40.01698974,43663,Connellsville Community Center,Open,"201 East Fairview Ave. Connellsville, PA 15425",,Connellsville,PA,15425,7246261120,,Rita,Smith,7246261120,CONNELLSVILLE AREA SCHOOL DISTRICT,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 1:00PM,,11:30AM - 1:00PM,,,,L,1,N,US,129328,,2019,Fayette
-79.9763953,39.88597617,43664,Wana B Park,Open,"355 Ceylon Road Carmichaels, PA 15320",,Carmichaels,PA,15320,7249665910,,Pam,Blaker,7249665910,CARMICHAELS AREA SCHOOL DISTRICT,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",12:00PM - 3:30PM,,12:00PM - 1:00PM,,3:00PM - 3:30PM,,"L,A",1,N,US,130331,,2019,Greene
-79.97439623,39.8973221,43665,Flenniken Library,Open,"102 East George Street Carmichaels, PA 15320",,Carmichaels,PA,15320,7249665263,,Nicole,Mitchell,7249665263,CARMICHAELS AREA SCHOOL DISTRICT,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",11:45AM - 3:15PM,,11:45AM - 12:45PM,,2:45PM - 3:15PM,,"L,A",1,N,US,43232,,2019,Greene
-79.97950481,39.89806002,43666,CARMICHAELS AREA MS,Open,"215 North Vine Street Carmichaels, PA 15320",,Carmichaels,PA,15320,7249665045,3112,Ryan,Krull,7249665045,CARMICHAELS AREA SCHOOL DISTRICT,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",10:30AM - 12:30PM,,10:30AM - 12:30PM,,,,L,1,N,US,41897,,2019,Greene
-80.12378829,39.90601185,43667,Eqt Rec Center,Open,"400 EverGreene Drive Waynesburg, PA 15370",,Waynesburg,PA,15370,7249849453,,Amy,Tustin,7249849453,CARMICHAELS AREA SCHOOL DISTRICT,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 3:15PM,,11:30AM - 12:30PM,,2:30PM - 3:15PM,,"L,A",1,N,US,100440,,2019,Greene
-78.38298682,41.95477517,43668,OTTO-ELDRED ELEM,Open,"5 Bennett St Eldred, PA 16731",,Eldred,PA,16731,8148171391,,Chris,Krott,8148171391,OTTO-ELDRED SCHOOL DISTRICT,2019-06-10T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH",8:30AM - 12:15PM,8:30AM - 9:15AM,11:30AM - 12:15PM,,,,"B,L",1,N,US,6030,,2019,McKean
-79.98995396,41.95139597,43669,FORT LEBOEUF SHS,Open,"931 High Street WATERFORD, PA 16441",,WATERFORD,PA,16441,8147964795,,Justin,Tech,8147964795,FORT LEBOEUF SCHOOL DISTRICT,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,1,N,US,100493,,2019,Erie
-79.96535054,41.87682949,43670,MILL VILLAGE EL SCH,Open,"2757 E. Center Street Mill Village, PA 16427",,Mill Village,PA,16427,8147964795,,Justin,Tech,8147964795,FORT LEBOEUF SCHOOL DISTRICT,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",11:30AM - 12:30PM,,11:30AM - 12:30PM,,,,L,1,N,US,5694,,2019,Erie
