long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-66.121803,18.38382,45481,erican Military Academy,Open,"177 carretera (Ave. Lomas Veredes) Guaynabo, PR 00969",,Guaynabo,PR,969,7877206801,,,,,Universidad Interamericana de Puerto Rico Recinto,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",8:00-3:30,,11:30-1:00,,,,L,1,N,US,130498,,2019,Bayamon
-66.49989,18.24829,45634,Liga AtlÇtica Policiaca,Open,"Calle Georgetti (Anexo Edificio Rafael Balseiro) Barceloneta, PR 00617",Anexo Edificio Rafael Balseiro,Barceloneta,PR,617,7876234566,,Nelson,Molina,7879223784,Acad. Nuestra Senora de Fatima,2019-06-10T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",7:00 -3:00,8:00-8:30,12:00-12:30,,,,"B,L",1,N,US,130532,,2019,Orocovis
-66.49989,18.24829,45635,Oficina de Asuntos de la Juventud,Open,"Calle Georgetti (Anexo Edificio Rafael Balseiro) Barceloneta, PR 00617",Anexo Edificio Rafael Balseiro,Barceloneta,PR,617,7876234566,,Yadira,De Arce,9392489726,Acad. Nuestra Senora de Fatima,2019-06-10T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",7:00 -3:00,8:00-8:30,11:30-12:00,,,,"B,L",1,N,US,130543,,2019,Orocovis
-66.507512,18.009296,45636,Academia Alexandra,Open,"Calle Aurora 4134 Ponce, PR 00717",,Ponce,PR,717,7875855567,,Wanda,Serrano,7875855567,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",8:00-2:30,7:15-8:15,11:10-12:10,,,,"B,L",1,N,US,130439,,2019,Juana Diaz
-66.515485,18.029284,45637,Centro de Cuido Infatil Huellita,Open,"Bo. uelas Carretera 510 Km 1.2 Juana D°az, PR 00795",,Juana D°az,PR,795,7872605757,,Bernardette,Serra,7873714740,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",6:30-5:20,7:30-8:30,11:50-12:50,,,,"B,L",1,N,US,130457,,2019,Juana Diaz
-66.603904,18.027185,45638,Cpamento Cristo Rey,Open,"Urb. La Rbla calle San Judas 3011 Ponce, PR 00716",,Ponce,PR,716,7878360766,103,Gicela,Bonilla,7878430766,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",7:30-3:30,7:30-8:30,11:00-12:00,,,,"B,L",1,N,US,130482,,2019,Ponce
-66.648368,17.995711,45639,Cpamento Renaciendo,Open,"Sector Punta Diante Cslle Sor Rosa Rivera GG14 Ponce, PR 00728",,Ponce,PR,728,9396452735,,Javier,Gonzalez,9396452735,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-14T04:00:00.000Z,"M,T,W,TH,F",8:00-2:00,8:00-9:00,12:00-1:00,,,,"B,L",1,N,US,130489,,2019,Ponce
-66.601287,18.007186,45642,Kids Club Summer Cp,Open,"Bo. Cuatro Calle Fagot # 14 Ponce, PR 00730",,Ponce,PR,730,7873549321,,Maria Cristina,Barnes,7873549321,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",8:00-4:00,7:20-8:20,11:20-12:20,,,,"B,L",1,N,US,130531,,2019,Ponce
-66.637265,18.011069,45643,Love Kids,Open,"Calle Villa Final #455 Ponce, PR 00728",,Ponce,PR,728,7872199019,,Patricia,Giorgi,7872163393,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",7:00-5:00,7:30-8:30,11:10-12:10,,,,"B,L",1,N,US,130535,,2019,Ponce
-66.587769,18.010918,45644,Mis Huellitas Day Care,Open,"Paseo Villa Flores 1617 Ponce, PR 00717",,Ponce,PR,717,7873932251,,Melissa,Rivera,7873932251,Academia Cristo Rey,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",7:00-6:00,7:15-8:15,11:00-12:00,,,,"B,L",1,N,US,130538,,2019,Ponce
