long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-71.31144981,41.48726352,89632,Boys Clubs and Girls Clubs of Newport County Inc.,Open,"95 Church Street Newport, RI 02840",,Newport,RI,2840,4018476927,,Joe,Tomchak,4018476927,B&G Club of Newport County,2019-06-27T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, TH, F",Closed 7/4,8:15-9:15,11:45-1:45,,,,,7,N,US,85074,,2019,Newport
-71.67433734,41.96474933,89633,Pavilion @ Jesse Smith Library,Open,"100 Tinkham Lane Harrisville, RI 02830",,Harrisville,RI,2830,4015681301,,Robin,Kimatian,4015681301,Burrilvville Public Schools,2019-07-08T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",Closed 8/12,,12:00-1:00,,,,,7,N,US,144343,,2019,Providence
-71.70140927,41.95700263,89634,Pascoag,Open,"103 Pascoag Main Street Pascoag, RI 02859",,Pascoag,RI,2859,4015681301,,Robin,Kimatian,4015681301,Burrilvville Public Schools,2019-07-08T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T, W,TH,F",Closed 8/12,,12:00-1:00,,,,,7,N,US,144336,,2019,Providence
-71.38728191,41.88766488,89636,Jenks Park,Open,"602 Broad Street Central Falls, RI 02863",,Central Falls,RI,2863,4014843137,,Catherine,Hidalgo,4014843137,City of Central Falls Parks Department,2019-06-26T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M, T, W, TH, F",closed 7/4,10:00-11:00,12:15-1:15,,,,,7,N,US,143497,,2019,Providence
-71.46686381,41.77878321,89641,Knightsville Library,Open,"1847 Cranston Street Cranston, RI 02930",,Cranston,RI,2930,4012708685,,Tricia,Wright,4012708685,Cranston Public Schools,2019-06-26T04:00:00.000Z,2019-08-23T04:00:00.000Z,"W,F",closed 7/4; 8/12,,12:30-1:00,,,,,7,N,US,90956,,2019,Providence
-71.36901461,41.82253663,89645,Onna Moniz-John Park,Open,"11 McCausland Ave East Providence, RI 02914",,East Providence,RI,2914,4014357511,,Diane,Sullivan,4014357511,East Providence Recreation,2019-06-24T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,,7,N,US,76492,,2019,Providence
-71.38158019,41.81162038,89646,Pierce Field,Open,"201 Mercer Street East Providence, RI 02914",,East Providence,RI,2914,4014357511,,Diane,Sullivan,4014357511,East Providence Recreation,2019-06-22T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,,7,N,US,76562,,2019,Providence
-71.35932996,41.7661542,89647,Providence Avenue Playground,Open,"50 Providence Ave. East Providence, RI 02915",,East Providence,RI,2915,4014357511,,Diane,Sullivan,4014357511,East Providence Recreation,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,12:00-1:00,,,,,7,N,US,119376,,2019,Providence
-71.36454299,41.8160324,89648,George Lima Park,Open,"261 Grosvenor Ave. East Providence, RI 02914",,East Providence,RI,2914,4014357511,,Diane,Sullivan,4014357511,East Providence Recreation,2019-06-24T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,,7,N,US,118177,,2019,Providence
-71.50694131,41.82574207,89649,Memorial Park,Open,"1583 Hartford Ave. Johnston, RI 02919",,Johnston,RI,2919,4013020923,,Donna,Humphries,4013020923,Johnston School Department,2019-07-08T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:00-12:15,,,,,7,N,US,118905,,2019,Providence
-71.4128154,41.86720153,89652,Vets Park Pool,Open,"271 Smithfield Avenue Pawtucket, RI 02860",,Pawtucket,RI,2860,4017280500,,Josh,Brochu,4013056601,Pawtucket Public Schools,2019-06-29T04:00:00.000Z,2019-08-18T04:00:00.000Z,"M,T,W,TH,F",opening pending on lifeguards; closed 7/4; 8/12,,12:00-1:00,,,,,7,N,US,145208,,2019,Providence
