long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-79.7653191,34.209375,89675,Florence Boys & Girls Club,Open,"310 W. Roughfork Street Florence, SC 29506",,Florence,SC,29506,8436621471,,Justin,Newton,8436621471,Boys & Girls Clubs Of Pee Dee,2019-06-07T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, TH, F",,8:30 AM-9:30 AM,12:00 PM-1:30 PM,,,,,7,N,US,24715,,2019,Florence
-80.07021565,34.3592929,89676,Hartsville Boys & Girls Club,Open,"1103 S. 6th Street Hartsville, SC 29550",,Hartsville,SC,29550,8433321400,,Dianne,Montgomery,8433321400,Boys & Girls Clubs Of Pee Dee,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, TH, F",,8:30 AM-10:00 AM,12:00 PM-1:00 PM,,,,,7,N,US,143292,,2019,Darlington
-79.75839273,33.86886215,89678,Lake City Boys & Girls Club,Open,"131 Calhoun Street Lake City, SC 29560",,Lake City,SC,29560,8433743749,,Tony,Taylor,8433743749,Boys & Girls Clubs Of Pee Dee,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, TH, F",,8:30 AM-10:00 AM,12:00 PM-1:30 PM,,,,,7,N,US,143626,,2019,Florence
-79.54812663,33.94331554,89679,Pamplico Boys & Girls Club,Open,"2121 S. Pamplico Hwy. Pamplico, SC 29583",,Pamplico,SC,29583,8434932502,,Cassandra,Hilton,8434932502,Boys & Girls Clubs Of Pee Dee,2019-06-10T04:00:00.000Z,2019-07-11T04:00:00.000Z,"M, T, W, TH",,8:00 AM-9:00 AM,12:00 PM-1:00 PM,,,,,7,N,US,144312,,2019,Florence
-79.77288317,34.1607713,89681,Florence Family YMCA,Open,"1700 Rutherford Drive Florence, SC 29505",,Florence,SC,29505,8436651234,,Megan,Patterson,8436651234,Sword of Truth,2019-06-10T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M, T, W, TH, F",,,11:00 AM-1:00 PM,,3:00 PM-4:00 PM,,,7,N,US,86060,,2019,Florence
-80.64168105,33.078136,89684,Annie Dobison,Open,"11605 Augusta Highway Walterboro, SC 29488",,Walterboro,SC,29488,8439083476,,Annie,Dobison,8439083476,Colleton County,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, TH, F",,8:30 AM-9:30 AM,10:00 AM-12:00 PM,,,,,7,N,US,65597,,2019,Colleton
-80.65843922,32.88480018,89685,Betty's Tots Daycare,Open,"1303 Rivers St. Walterboro, SC 29488",,Walterboro,SC,29488,8435495903,,Cathy,Mays,8435495903,Colleton County,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, TH, F",,8:00 AM-9:00 AM,12:00 PM-2:00 PM,,,,,7,N,US,65673,,2019,Colleton
-80.69693738,32.88236833,89687,Edisto Terrance Apartments,Open,"180 Mable T Willis Bouelvard Walterboro, SC 29488",,Walterboro,SC,29488,8435382903,,Wanda,Wilkey,8435382903,Colleton County,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, TH, F",,,11:00 AM-1:00 PM,,,,,7,N,US,66025,,2019,Colleton
-80.71343083,32.77882046,89692,Latasha Levant,Open,"235 Lonetree Lane Yemassee, SC 29945",,Yemassee,SC,29945,8438936464,,Latasha,Levant,8438936464,Colleton County,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, TH, F",,,,,6:50 PM-7:00 PM,5:00 PM-6:45 PM,,7,N,US,86873,,2019,Colleton
-80.69382202,32.74665395,89693,Lucille Wright,Open,"1725 White Hall Road Yemassee, SC 29945",,Yemassee,SC,29945,8438448086,,Lucille,Wright,8438448086,Colleton County,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, TH, F",,10:00 AM-11:00 AM,11:30 AM-1:30 PM,,,,,7,N,US,66514,,2019,Colleton
