long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-99.86091658,44.20833504,48799,Big Bend (Harrold Community Building),Open,"100 Cut Across Rd Harrold, SD 57536",,Harrold,SD,57536,6058522993,1108,Ronnette,Kirkie,6058522993,Crow Creek Sioux Tribe,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:45 AM-12:20 PM,,2:00PM-2:30PM,,"L, A",2,N,US,25889,,2019,Hughes
-99.22652731,43.95633029,48800,Crow Creek District Community Building,Open,"210 A Avenue Pukwana, SD 57370",,Pukwana,SD,57370,6058522993,1108,Ronnette,Kirkie,6058522993,Crow Creek Sioux Tribe,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:45 AM-12:20 PM,,2:00PM-2:30PM,,"L, A",2,N,US,131179,,2019,Buffalo
-99.44174162,44.22967909,48801,Fort Thompson Community Building,Open,"1005 SD HWY 47 Fort Thompson, SD 57346",,Fort Thompson,SD,57346,6058522993,1108,Ronnette,Kirkie,6058522993,Crow Creek Sioux Tribe,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,,11:45 AM-12:20 PM,,2:00PM-2:30PM,,"L, A",2,N,US,27583,,2019,Hyde
-96.71531231,43.5415035,53229,Boys & Girls Club of Sioux Empire at 14th,Open,"824 E 14th Street Sioux Falls, SD 57104",,Sioux Falls,SD,57104,6055537224,,Caitlin,Hoffman,6053065344,Boys & Girls Club of the Sioux Empire,2019-05-28T04:00:00.000Z,2019-08-21T04:00:00.000Z,"M,T,W,TH,F",Closed 7/4,8:00-9:00,10:45 AM- 12:45 PM,,,,"B, L",3,N,US,132494,,2019,Minnehaha
-96.68524563,43.54133637,53230,Boys & Girls Club of Sioux Empire at Eastside Learning Center ELC,Open,"700 S Sneve Avenue Sioux Falls, SD 57103",,Sioux Falls,SD,57103,6053392095,,Billy,Mawhiney,6053392095,Boys & Girls Club of the Sioux Empire,2019-05-28T04:00:00.000Z,2019-08-21T04:00:00.000Z,"M,T,W,TH, F",Closed 7/4,,,,3:00 PM- 4:00 PM,5:30 PM- 6:30 PM,"S, A",3,N,US,132495,,2019,Minnehaha
-96.60604552,44.05158254,53231,Boys & Girls Club of Moody County,Open,"803 W Community Avenue Flandreau, SD 57028",,Flandreau,SD,57028,6055730150,500,Rebekah,Bambas,6055730150,Boys and Girls Club of Brookings,2019-05-24T04:00:00.000Z,2019-08-15T04:00:00.000Z,"M,T,W,TH,F","Closed 5/27, 6/14, 7/4 and 7/19",8:30-9:30,11:00 AM- 12:30 PM,,,,"B, L",3,N,US,17753,,2019,Moody
-99.42317421,43.23127017,53232,Gregory Elementary School,Open,"505 Logan Avenue Gregory, SD 57533",,Gregory,SD,57533,6058359651,261,Bernadette,Soesbe,6058359651,Gregory School District,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",Closed 7/4 & 7/5,,11:30 AM- 1:00 PM,,,,L,3,N,US,78318,,2019,Gregory
-103.4838231,43.43210053,53233,Hot Springs Elementary School,Open,"1747 Lincoln Avenue Hot Springs, SD 57747",,Hot Springs,SD,57747,6053211960,,Laura,Marchant,6057455766,Hot Springs School District,2019-06-03T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH",Closed 7/4,,11:00 AM - 12:30 PM,,,,L,3,N,US,132848,,2019,Fall River
-103.7759855,44.3478233,53234,Lead-Deadwood High School,Open,"320 S Main Street Lead, SD 57754",,Lead,SD,57754,6057173890,2104,Margie,Rantapaa,6057173890,Lead-Deadwood School District,2019-05-28T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",Closed 7/4 & 7/5,8:00-8:30,11:30 AM - 12:30 PM,,,,"B, L",3,N,US,19773,,2019,Lawrence
-103.5153759,44.40193051,53235,Sturgis Elementary School,Open,"1121 Ball Park RD Sturgis, SD 57785",,Sturgis,SD,57785,6053473601,,Rhonda,Ramsdell,6053473601,Meade School District,2019-05-28T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",Closed 7/4 & 7/5,,11:00 AM - 1:00 PM,,,,L,3,N,US,21550,,2019,Meade
