long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-87.37797929,35.25943633,47557,David Crockett Elementary School,Open,"2301 W. Gaines Street Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317660683,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:30 to 8:30,11:30 to 12:30,,,,,2,N,US,131195,,2019,Lawrence
-87.32734394,35.23812028,47558,EO Coffman Middle School,Open,"111 Lafayette Avenue Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317627176,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:30 to 8:30,11:30 to 12:30,,,,,2,N,US,131280,,2019,Lawrence
-87.3078399,35.32261183,47559,Ethridge Elementary School,Open,"33 Main Street Ethridge, TN 38456",,Ethridge,TN,38456,9312015880,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:30 to 8:30,11:30 to 12:30,,,,,2,N,US,131290,,2019,Lawrence
-87.32148096,35.2492917,47560,Ingram Sowell,Open,"510 7th Street Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317623379,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:30 to 8:30,11:00 to 12:00,,,,,2,N,US,36496,,2019,Lawrence
-87.33447824,35.24886782,47561,JC Barnett Center,Open,"610 Mahr Avenue Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9312445457,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:45 to 8:30,11:35 to 12:05,,,,,2,N,US,76041,,2019,Lawrence
-87.31608058,35.25860496,47562,Lawrence County High,Open,"1800 Springer Road Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317629412,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"Mon, Tue, Wed, Thu",,8:00 to 9:30,11:15 to 12:30,,,,,2,N,US,36909,,2019,Lawrence
-87.32941172,35.21607756,47563,Lawrenceburg Public,Open,"600 Prosser Road Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9314770520,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:00 to 8:30,11:00 to 1:30,,,,,2,N,US,36911,,2019,Lawrence
-87.3501598,35.15636133,47564,Leoma Elementary,Open,"2612 Hwy 43 South Leoma, TN 38468",,Leoma,TN,38468,9312318199,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:00 to 8:30,11:00 to 12:30,,,,,2,N,US,36940,,2019,Lawrence
-87.44971114,35.07007342,47565,Loretto High,Open,"525 Second Avenue South Loretto, TN 38469",,Loretto,TN,38469,9316299607,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-20T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:00 to 8:30,11:15 to 12:30,,,,,2,N,US,37092,,2019,Lawrence
-87.24816755,35.22383912,47566,New Prospect,Open,"4520 Pulaski Hwy Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317622934,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:00 to 8:30,11:00 to 1:30,,,,,2,N,US,102302,,2019,Lawrence
-87.32820777,35.25536174,47567,Rotary Park,Open,"927 N. Military Road Lawrenceburg, TN 38464",,Lawrenceburg,TN,38464,9317624231,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:00 to 8:30,11:30 to 1:30,,,,,2,N,US,38557,,2019,Lawrence
-87.45829099,35.06719313,47568,South Lawrence,Open,"707 2nd Avenue South Loretto, TN 38469",,Loretto,TN,38469,9312015884,,Kindlyn,Simpson,9317625251,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:30 to 8:30,11:30 to 12:30,,,,,2,N,US,76795,,2019,Lawrence
-87.31019902,35.42858397,47569,Summertown Elementary,Open,"319 Corbin Street Summertown, TN 38483",,Summertown,TN,38483,9319644197,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-07-03T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,7:00 to 8:30,11:00 to 1:30,,,,,2,N,US,39166,,2019,Lawrence
-87.30911884,35.43331789,47570,Summertown High School,Open,"411 West College Street Summertown, TN 38483",,Summertown,TN,38483,9319643302,,Kindlyn,Simpson,9317622274,LAWRENCE COUNTY BOARD OF EDUCATION,2019-06-03T04:00:00.000Z,2019-06-28T04:00:00.000Z,"Mon, Tue, Wed, Thu",,7:45 to 8:30,11:30 to 12:00,,,,,2,N,US,39167,,2019,Lawrence
-86.3722455,35.82630077,47571,ABBINGTON APARTMENTS,Open,"1335 Bradyville Pk Murfreesboro, TN 37130",,Murfreesboro,TN,37130,6158987132,,Randall,Campbell,6158987132,MURFREESBORO CITY SCHOOLS,2019-05-28T04:00:00.000Z,2019-07-26T04:00:00.000Z,"Mon, Tue, Wed, Thu, Fri",,8:50 to 9:10,12:55 to 1:25,,,,,2,N,US,33726,,2019,Rutherford
