long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-97.17029887,27.91225134,48804,A C BLUNT MIDDLE,Open,"2300 McMullen (Suite 600) Aransas Pass, TX 78336",Suite 600,Aransas Pass,TX,78336,,,Lanell,Jones,3617583849,ARANSAS PASS ISD,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH",8:00 AM-1:00 PM,8:00 AM-9:00 AM,11:30 AM-1:00 PM,,,,"B,L",2,N,US,130860,,2019,San Patricio
-96.6957892,32.90992867,41551,For the Nations Refugee Outreach,Open,"414 S. Purdue Drive Garland, TX 75042",,Garland,TX,75042,,,Kaitlyn,Mullens,4693675363,CITYSQUARE,2019-06-10T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",11:30-13:30,,11:30-13:30,,,,L,1,N,US,129456,,2019,Dallas
-95.21269968,30.15162278,41796,Tavola Elementary,Open,"20383 FM 1485 West (New Caney ISD Child Nutrition) New Caney, TX 77357",New Caney ISD Child Nutrition,New Caney,TX,77357,,,Debbie,Needham,2815778690,NEW CANEY ISD,2019-06-05T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",7:15 AM-1:15 PM,7:15 AM-8:30 AM,10:30 AM-1:15 PM,,,,"B,L",1,N,US,130212,,2019,Montgomery
-97.38854707,32.63233611,41887,YMCA at Genesis Methodist Church,Open,"7635 S Hulen Street Fort Worth, TX 76133",,Fort Worth,TX,76133,,,Kendell,Keeter,8173468855,CITYSQUARE,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",13:30-14:30,,13:30-14:30,,,,L,1,N,US,130416,,2019,Tarrant
-96.46031542,32.61992814,41923,WALKER ELEMENTARY SCHOOL,Open,"400 W. Lewis Street Crandall, TX 75114",,Crandall,TX,75114,,,Earnest,Lilly,9724276000,CRANDALL ISD,2019-06-03T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",7:30 AM-12:30 PM,7:30 AM-8:30 AM,10:30 AM-12:30 PM,,,,"B,L",1,N,US,130328,,2019,Kaufman
-97.02918661,33.15782252,42195,Shady Shores Volunteer Fire Dept.,Open,"101 South Shady Shores Rd. Shady Shores, TX 76208",,Shady Shores,TX,76208,,,Donna,Denton,9039683300,ORE CITY ISD,2019-05-28T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M,T,W,TH,F",11:30 AM-12:30 PM,,11:30 AM-12:30 PM,,,,L,1,N,US,130094,,2019,Denton
-94.9978566,30.49560458,42203,SHEPHERD PRIMARY,Open,"1401 S. Byrd Avenue Shepherd, TX 77371",,Shepherd,TX,77371,,,Randy,Milton,8325415206,SHEPHERD ISD,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH",7:30 AM-12:30 PM,7:30 AM-8:30 AM,10:30 AM-12:30 PM,,,,"B,L",1,N,US,130103,,2019,San Jacinto
-98.18036485,31.07373263,42447,HANNA SPRINGS,Open,"604 E Ave F LAMPASAS, TX 76550",,LAMPASAS,TX,76550,,,Jessie,Pittman,5125568948,LAMPASAS ISD,2019-05-29T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",7:30 AM-1:00 PM,7:30 AM-9:30 AM,11:00 AM-1:00 PM,,,,"B,L",1,N,US,72372,,2019,Lampasas
-98.4065535,29.37129747,42453,JUBILEE - LAKE VIEW UNIVERSITY PREP,Open,"4427 Chandler SAN ANTONIO, TX 78222",,SAN ANTONIO,TX,78222,,,Debbie,Williams-Gilford,2103336227,JUBILEE ACADEMIES,2019-05-30T04:00:00.000Z,2019-07-09T04:00:00.000Z,"M,T,W,TH,F",7:30 AM-12:00 PM,7:30 AM-8:00 AM,11:30 AM-12:00 PM,,,,"B,L",1,N,US,129659,,2019,Bexar
-98.4065535,29.37129747,42456,JUBILEE KINGSVILLE,Open,"4427 Chandler SAN ANTONIO, TX 78222",,SAN ANTONIO,TX,78222,,,Debbie,Williams-Gilford,2103336227,JUBILEE ACADEMIES,2019-05-30T04:00:00.000Z,2019-07-09T04:00:00.000Z,"M,T,W,TH,F",7:30 AM-12:00 PM,7:30 AM-8:00 AM,11:30 AM-12:00 PM,,,,"B,L",1,N,US,129661,,2019,Bexar
-96.95109018,32.82412385,43000,LIVELY POINTE RECREATION CENTER,Open,"909 N. O'Connor Rd. IRving, TX 75061",,IRving,TX,75061,,,Amy,Griesemer,9726006900,IRVING ISD,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",3:30 PM-4:00 PM,,,,3:30 PM-4:00 PM,,,1,N,US,129767,,2019,Dallas
-93.96864949,29.9327628,43060,MEMORIAL 9TH GRADE ACADEMY AT AUSTIN,Open,"3501 S/Sgt. Lucian Adams Drive PORT ARTHUR, TX 77642",,PORT ARTHUR,TX,77642,,,Erika,Sampson,4099896122,PORT ARTHUR ISD,2019-06-01T04:00:00.000Z,2019-06-30T04:00:00.000Z,"M,T,W,TH",7:00 AM-12:00 PM,7:00 AM-8:30 AM,10:00 AM-12:00 PM,,,,"B,L",1,N,US,129830,,2019,Jefferson
-96.62171563,32.90505737,43080,Mount Hebron Day Care,Open,"901 Dairy Road Garland, TX 75040",,Garland,TX,75040,,,Carolyn,Primm,9722728095,CITYSQUARE,2019-06-03T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",8:20-12:30,8:20-9:30,11:00-12:30,,,,"B,L",1,N,US,100963,,2019,Dallas
-106.4284418,31.87909847,43229,Project Vida Northeast After School,Open,"4741 Joel Bldg. #10 El Paso, TX 79924",,El Paso,TX,79924,,,Blanca,Castillo,9155337057,PROJECT VIDA,2019-05-28T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,W,F",14:00-15:00,,,,14:00-15:00,,,1,N,US,9686,,2019,El Paso
-97.29426565,32.77833044,43258,Riverside CC,Open,"3700 Belknap St. Fort Worth, TX 76131",,Fort Worth,TX,76131,,,Frances,Efiong,8173927640,TARRANT AREA FOOD BANK,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:00-14:30,11:00-11:30,14:00-14:30,,,,"B,L",1,N,US,130041,,2019,Tarrant
-96.94698298,32.8050426,43305,SENTER PARK RECREATION CENTER,Open,"901 Senter Rd. Irving, TX 75060",,Irving,TX,75060,,,Amy,Griesemer,9726006900,IRVING ISD,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",8:30 AM-1:00 PM,8:30 AM-9:30 AM,12:00 PM-1:00 PM,,,,"B,L",1,N,US,130088,,2019,Dallas
-96.858783,32.79265247,43313,SKY RANCH,Open,"2215 CANADA DR DALLAS, TX 75212",,DALLAS,TX,75212,,,CHANCE,SMALLEY,4693285654,J.E.W.E.L. Foundation,2019-07-01T04:00:00.000Z,2019-07-05T04:00:00.000Z,"M,T,W,TH,F",11:00-12:00,,11:00-12:00,,,,L,1,N,US,9918,,2019,Dallas
-98.48814925,29.40609227,53354,BRACKENRIDGE H S,Open,"400 EAGLELAND ST SAN ANTONIO, TX 78210",,SAN ANTONIO,TX,78210,,,Berta,Macat,2105542290,SAN ANTONIO ISD,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",7:30 AM-12:30 PM,7:30 AM-8:30 AM,11:00 AM-12:30 PM,,,,"B,L",3,N,US,41616,,2019,Bexar
-98.4622905,29.41204549,53851,Davis Scott YMCA,Open,"1213 Iowa St. San Antonio, TX 78203",,San Antonio,TX,78203,,,Cherrell,Eaddy,2103793418,SAN ANTONIO FOOD BANK INC.,2019-06-03T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",12:00-16:00,,12:00-13:00,,15:00-16:00,,L,3,N,US,18446,,2019,Bexar
-98.42275246,29.52217864,53885,EPISCOPAL CHURCH OF RECONCILLATION,Open,"8900 STARCREST SAN ANTONIO, TX 78217",,SAN ANTONIO,TX,78217,,,Bill,Swann,2106552731,SAN ANTONIO FOOD BANK INC.,2019-06-17T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M,T,W,TH",7:30-12:30,7:30-8:30,11:30-12:30,,,,"B,L",3,N,US,27352,,2019,Bexar
-97.92728688,26.29633076,53942,JB MUNOZ EL,Open,"500 E. 9th La Villa, TX 78562",,La Villa,TX,78562,,,Marie,Garza,9562624755,LA VILLA ISD,2019-06-03T04:00:00.000Z,2019-07-02T04:00:00.000Z,"M,T,W,TH",7:30 AM-1:00 PM,7:30 AM-8:30 AM,11:30 AM-1:00 PM,,,,"B,L",3,N,US,132898,,2019,Hidalgo
-98.16438739,26.1934767,53971,Housting Authority of San Juan,Open,"700 Maldonado Drive San Juan, TX 78589",,San Juan,TX,78589,,,Imelda,Palacios,9567848545,PHARR-SAN JUAN-ALAMO ISD,2019-06-03T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M,T,W,TH,F",6:30 PM-7:00 PM,,,,,6:30 PM-7:00 PM,S,3,N,US,111339,,2019,Hidalgo
-98.68755352,29.43922174,53995,JOHN JAY HIGH SCHOOL,Open,"600 Ellison San Antonio, TX 78251",,San Antonio,TX,78251,,,Manuel,Gonzalez,2108237049,SAN ANTONIO FOOD BANK INC.,2019-06-17T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",8:00-12:30,8:00-8:15,11:30-12:30,,,,"B,L",3,N,US,132905,,2019,Bexar
-98.63948721,29.3705915,53997,JOHNSTON BRANCH LIBRARY,Open,"6307 Sun Valley San Antonio, TX 78227",,San Antonio,TX,78227,,,Raishell,Williams,2102866709,SAN ANTONIO FOOD BANK INC.,2019-06-03T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",16:00-17:00,,,,16:00-17:00,,,3,N,US,132909,,2019,Bexar
-93.9686289,29.93286733,54087,MEMORIAL 9TH GRADE ACADEMY AT AUSTIN,Open,"3505 S/Sgt. Lucian Adams Drive PORT ARTHUR, TX 77642",,PORT ARTHUR,TX,77642,,,Erika,Sampson,4099896122,PORT ARTHUR ISD,2019-06-01T04:00:00.000Z,2019-06-30T04:00:00.000Z,"M,T,W,TH",7:00 AM-12:00 PM,7:00 AM-8:30 AM,10:00 AM-12:00 PM,,,,"B,L",3,N,US,133013,,2019,Jefferson
-98.66204049,29.44079572,54169,Potranco Branch Library,Open,"8756 TX 151 San Antonio, TX 78245",,San Antonio,TX,78245,,,Lisa,Leandro,9564727488,SAN ANTONIO FOOD BANK INC.,2019-06-03T04:00:00.000Z,2019-07-31T04:00:00.000Z,"T,F",16:00-17:00,,,,16:00-17:00,,,3,N,US,133146,,2019,Bexar
-99.73080983,32.45453441,62568,Abilene Taylor County WIC Program,Open,"850 N 6th Street Abilene, TX 79601",,Abilene,TX,79601,,,Lois,Woods,3256921680,ABILENE ISD,2019-06-03T07:00:00.000Z,2019-07-26T07:00:00.000Z,"M,T,W,TH,F",11:30-12:30,,11:30-12:30,,,,L,4,N,US,133663,,2019,Taylor
-95.37625189,29.7587789,62582,Allen Parkway Boys and Girls Club,Open,"815 Crosby St. Houston, TX 77019",,Houston,TX,77019,,,Latasha,Augustine,8327920553,THE HOUSTON FOOD BANK,2019-06-03T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F",9:00-13:00,9:00-10:00,12:00-13:00,,,,"B,L",4,N,US,7836,,2019,Harris
-98.94016189,26.41204007,62877,Garceno Park,Open,"Garceno Loop & Park Roma, TX 78584",,Roma,TX,78584,,,Maria,Hinojosa,9568493891,ROMA ISD,2019-05-27T07:00:00.000Z,2019-08-16T07:00:00.000Z,"M,T,W,TH,F",10:50-14:00,10:50-11:00,13:50-14:00,,,,"B,L",4,N,US,61657,,2019,Starr
-98.2606725,26.162289,63097,McAllen ISD Bus Route #9A,Open,"29th & Olga McAllen, TX 78503",,McAllen,TX,78503,,,Alexandra,Molina,9566323226,MCALLEN ISD,2019-06-03T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",3:15 PM-5:45 PM,,,,3:15 PM-3:45 PM,5:15 PM-5:45 PM,S,4,N,US,134896,,2019,Hidalgo
-98.26277597,26.19844344,63098,McAllen ISD Bus Route 7A,Open,"2315 Ithaca McAllen, TX 78501",,McAllen,TX,78501,,,Alexandra,Molina,9566323226,MCALLEN ISD,2019-06-03T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F",12:15 PM-3:45 PM,,12:15 PM-12:45 PM,,3:15 PM-3:45 PM,,L,4,N,US,134897,,2019,Hidalgo
-95.89113533,29.01926264,63346,VAN VLECK H S,Open,"133 S 4th Street VAN VLECK, TX 77482",,VAN VLECK,TX,77482,,,Bonnie,Brown,9793235060,VAN VLECK ISD,2019-05-28T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M,T,W,TH",8:00 AM-12:00 PM,,,8:00 AM-12:00 PM,,,,4,N,US,135739,,2019,Matagorda
-97.11795348,32.72114652,72686,ARLINGTON H S,Open,"818 W. Park Row Arlington, TX 76013",,Arlington,TX,76013,,,Guadalupe,Davila,8174598124,ARLINGTON ISD,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",7:00-12:00,7:00-8:00,10:00-12:00,,,,"B,L",5,U,US,7879,,2019,Tarrant
-96.90571938,32.66031516,72833,Meadows on Merrill,Open,"800 N Merrill Ave Dallas, TX 75116",,Dallas,TX,75116,,,Nell,Dochez,4699047042,CITYSQUARE,2019-06-05T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",16:25-17:00,,16:25-17:00,,,,L,5,U,US,129827,,2019,Dallas
-95.50325211,29.72484746,90244,ABC WEST,Open,"7800 Westglen Houston, TX 77063",,Houston,TX,77063,,,Victor,Keys,7135565242,HOUSTON ISD,2019-06-10T04:00:00.000Z,2019-07-11T04:00:00.000Z,"M,T,W,TH",8:00-12:30,8:00-9:00,11:30-12:30,,,,,7,N,US,17270,,2019,Harris
-98.23204197,26.19151468,90246,Action Dance Studio,Open,"1301 S 10th Street McAllen, TX 78501",,McAllen,TX,78501,,,Alexandra,Molina,9566323226,MCALLEN ISD,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",8:00 AM-1:00 PM,8:00 AM-9:00 AM,12:00 PM-1:00 PM,,,,,7,N,US,141938,,2019,Hidalgo
-95.37625189,29.7587789,90247,Allen Parkway Boys and Girls Club,Open,"815 Crosby Street Houston, TX 77019",,Houston,TX,77019,,,Latasha,Augustine,8327920553,THE HOUSTON FOOD BANK,2019-06-03T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",9:00-13:00,9:00-10:00,12:00-13:00,,,,,7,N,US,141974,,2019,Harris
-96.83499885,32.70512884,90248,Allied Conference,Open,"616 Kiest Blvd Dallas, TX 75224",,Dallas,TX,75224,,,Brandon,Parrish,2146642486,UNIQUE PIECES INC.,2019-07-27T04:00:00.000Z,2019-08-17T04:00:00.000Z,SA,9:00-13:00,9:00-10:59,11:00-13:00,,,,,7,N,US,122572,,2019,Dallas
-94.67727989,29.77192926,90249,ANAHUAC H S,Open,"201 S. Kansas ANAHUAC, TX 77514",,ANAHUAC,TX,77514,,,Teonna,Flowers,4092672007,ANAHUAC ISD,2019-06-03T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",7:00 AM-1:00 PM,7:00 AM-9:00 AM,11:00 AM-1:00 PM,,,,,7,N,US,142002,,2019,Chambers
-97.1251162,32.64545049,90250,ARTISAN,Open,"6000 BACARA LANE ARLINGTON, TX 76001",,ARLINGTON,TX,76001,,,ALANDRIA,BACCUS,2149568916,THE JOSH HOWARD FOUNDATION,2019-06-10T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",12:15-14:30,,13:30-14:30,12:15-12:45,,,,7,N,US,142047,,2019,Tarrant
-95.29527133,29.95217448,90251,Autumn Pines,Open,"6200 Greens Rd Humble, TX 77396",,Humble,TX,77396,,,Tonitta,Tottress,8328713378,THE HOUSTON FOOD BANK,2019-07-01T04:00:00.000Z,2019-08-09T04:00:00.000Z,"T,W,F",11:00-15:00,,11:00-12:00,,14:00-15:00,,,7,N,US,142064,,2019,Harris
-95.64250032,29.86822753,90252,AVISTAR AT COPPERFIELD,Open,"6416 YORK MEADOWS HOUSTON, TX 77084",,HOUSTON,TX,77084,,,RUTH,WONG,8329973541,CITY OF HOUSTON,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",11:00-16:00,,11:00-13:00,,15:00-16:00,,,7,N,US,117223,,2019,Harris
-95.68009837,29.63928421,90254,Be a Champion at Austin HS Fort Bend,Open,"3434 Pheasant Creek Dr Sugar Land, TX 77498",,Sugar Land,TX,77498,,,Brian,Derringer,8323670593,Be A Champion Inc.,2019-06-21T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",9:30-13:00,9:30-10:30,11:45-13:00,,,,,7,N,US,142113,,2019,Fort Bend
-98.5392135,29.50454653,90255,Be a Champion at Bethany Community Center,Open,"500 Pilgrim Dr San Antonio, TX 78213",,San Antonio,TX,78213,,,Ryan,York,2103874448,Be A Champion Inc.,2019-07-15T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",9:00-13:00,9:00-10:00,12:00-13:00,,,,,7,N,US,142114,,2019,Bexar
-98.45226402,29.429685,90256,Be a Champion at East Meadows Apartments,Open,"1223 N Walters St San Antonio, TX 78202",,San Antonio,TX,78202,,,Destiny,Hebron,2107923509,Be A Champion Inc.,2019-07-08T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F,SA",7:45-8:45,7:45-8:45,,,,,,7,N,US,142115,,2019,Bexar
-98.43035856,29.49101771,90260,Be a Champion at Landing Apartments,Open,"3400 NE Parkway San Antonio, TX 78218",,San Antonio,TX,78218,,,Jessica,Esquivel,2107734593,Be A Champion Inc.,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",11:30-16:00,,11:30-13:00,,14:00-16:00,,,7,N,US,142118,,2019,Bexar
-98.56945333,29.2474155,90262,Be a Champion at Mays Family Ranch,Open,"3445 Fest Rd San Antonio, TX 78264",,San Antonio,TX,78264,,,Linda,Diequez,2103448611,Be A Champion Inc.,2019-06-23T04:00:00.000Z,2019-07-31T04:00:00.000Z,"M,T,W,TH,F,SA,S",6:30-13:00,6:30-8:30,11:00-13:00,,,,,7,N,US,142120,,2019,Bexar
-98.53089766,29.53879544,90263,Be a Champion at McGimsey Scout Park,Open,"10810 Wedgewood San Antonio, TX 78230",,San Antonio,TX,78230,,,Linda,Diequez,2103448611,Be A Champion Inc.,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F,SA,S",6:30-13:00,6:30-8:30,11:00-13:00,,,,,7,N,US,142121,,2019,Bexar
