long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-111.7332386,40.36482903,63419,CENTRAL ELEMENTARY,Open,"95 N 400 E PLEASANT GROVE, UT 84062",,PLEASANT GROVE,UT,84062,8016108104,,ELIZABETH,SWENSEN,8016108031,ALPINE SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,103130,,2019,Utah
-111.7064348,40.30947295,63420,GENEVA ELEMENTARY,Open,"400 N 665 W OREM, UT 84057",,OREM,UT,84057,8016108108,,ELIZABETH,SWENSEN,8016108031,ALPINE SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-07-03T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,103716,,2019,Utah
-111.686209,40.30664702,63421,SHARON ELEMENTARY,Open,"525 N 400 E OREM, UT 84097",,OREM,UT,84097,8016108119,,ELIZABETH,SWENSEN,8016108031,ALPINE SCHOOL DISTRICT,2019-06-05T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,105230,,2019,Utah
-111.7356626,40.28979052,63422,VINEYARD ELEMENTARY,Open,"620 E HOLDAWAY RD VINEYARD, UT 84057",,VINEYARD,UT,84057,8016108122,,ELIZABETH,SWENSEN,8016108031,ALPINE SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-07-02T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,135753,,2019,Utah
-111.8552777,41.6325157,63429,LINCOLN ELEMENTARY,Open,"90 S CENTER HYRUM, UT 84319",,HYRUM,UT,84319,4352456442,,SUSAN,WALLENTINE,4357927601,CACHE SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M,T,W,TH,F,",,,11:15 AM - 12:30 PM,,,,"L,",4,N,US,5336,,2019,Cache
-111.8133405,41.9247735,63431,WHITE PINE ELEMENTARY (FORMERLY PARK ELEMENTARY),Open,"184 WEST 100 NORTH RICHMOND, UT 84333",,RICHMOND,UT,84333,4352582344,,SUSAN,WALLENTINE,4357927601,CACHE SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-07-19T07:00:00.000Z,"M,T,W,TH,F,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,105748,,2019,Cache
-111.8864875,40.62147209,63432,COPPERVIEW ELEMENTARY,Open,"8449 S 150 W MIDVALE, UT 84047",,MIDVALE,UT,84047,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,3939,,2019,Salt Lake
-111.8818467,40.62460042,63433,EAST MIDVALE ELEMENTARY,Open,"6990 S 300 E MIDVALE, UT 84047",,MIDVALE,UT,84047,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,4200,,2019,Salt Lake
-111.8662451,40.61770704,63434,HILLCREST HIGH,Open,"7350 S 900 E MIDVALE, UT 84047",,MIDVALE,UT,84047,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,07:30 AM - 09:15 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,24801,,2019,Salt Lake
-111.8878357,40.5718025,63435,JORDAN HIGH,Open,"95 E BEETDIGGER BLVD SANDY, UT 84070",,SANDY,UT,84070,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,07:45 AM - 09:00 AM,10:45 AM - 12:30 PM,,,,"B,L,",4,N,US,76058,,2019,Salt Lake
-111.9024667,40.60887219,63436,MIDVALE ELEMENTARY,Open,"7830 South Chapel St MIDVALE, UT 84047",,MIDVALE,UT,84047,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,76286,,2019,Salt Lake
-111.8820548,40.592853,63437,SANDY ELEMENTARY,Open,"8725 S 280 E SANDY, UT 84079",,SANDY,UT,84079,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:30 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,6544,,2019,Salt Lake
-111.872212,40.61753376,63438,UNION PARK,Open,"7360 S 700 E MIDVALE, UT 84047",,MIDVALE,UT,84047,,,SEBASTHIAN,VARAS,8018265380,CANYONS SCHOOL DISTRICT,2019-06-10T07:00:00.000Z,2019-08-02T07:00:00.000Z,"S,M,T,W,TH,F,SA,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,7119,,2019,Salt Lake
-110.4011661,39.55136785,63439,BRUIN POINT ELEMENTARY,Open,"100 Viking Blvd SUNNYSIDE, UT 84539",,SUNNYSIDE,UT,84539,,,HEIDI,ANDERSON,4356133143,CARBON SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,",,08:30 AM - 09:00 AM,11:00 AM - 12:00 PM,,,,"B,L,",4,N,US,3518,,2019,Carbon
-110.7853258,39.61275334,63440,CASTLE HEIGHTS ELEMENTARY,Open,"750 N Homestead Blvd PRICE, UT 84501",,PRICE,UT,84501,,,HEIDI,ANDERSON,4356133143,CARBON SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,F,",,08:30 AM - 09:00 AM,11:30 AM - 12:30 PM,,,,"B,L,",4,N,US,134008,,2019,Carbon
-110.818962,39.59211153,63441,CREEKVIEW ELEMENTARY,Open,"590 W 500 S PRICE, UT 84501",,PRICE,UT,84501,,,HEIDI,ANDERSON,4356133143,CARBON SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,",,,11:00 AM - 12:00 PM,,,,"L,",4,N,US,24602,,2019,Carbon
-110.8641987,39.69046396,63442,SALLY MAURO ELEMENTARY,Open,"20 2nd Ave HELPER, UT 84526",,HELPER,UT,84526,,,HEIDI,ANDERSON,4356133143,CARBON SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-09T07:00:00.000Z,"M,T,W,TH,",,,11:00 AM - 12:00 PM,,,,"L,",4,N,US,135398,,2019,Carbon
-111.7662846,39.9823498,63444,CS LEWIS ACADEMY,Open,"364 N. SR 198 SANTAQUIN, UT 84655",,SANTAQUIN,UT,84655,8017543376,,MARTISE,ALVEY,8017543376,CS LEWIS ACADEMY,2019-06-03T07:00:00.000Z,2019-06-27T07:00:00.000Z,"M,T,W,TH,",,08:30 AM - 09:00 AM,11:30 AM - 12:00 PM,,,,"B,L,",4,N,US,4002,,2019,Utah
-112.0261989,41.087007,63445,ANTELOPE ELEMENTARY,Open,"1810 S MAIN CLEARFIELD, UT 84015",,CLEARFIELD,UT,84015,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,3041,,2019,Davis
-111.969522,41.07061855,63446,CRESTVIEW ELEMENTARY,Open,"185 W GOLDEN AVE LAYTON, UT 84041",,LAYTON,UT,84041,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,75590,,2019,Davis
-112.0307755,41.1276775,63447,DOXEY ELEMENTARY,Open,"944 N 250 W SUNSET, UT 84015",,SUNSET,UT,84015,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-01T07:00:00.000Z,2019-08-03T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,75653,,2019,Davis
-111.9397532,40.85292984,63448,FOXBORO ELEMENTARY,Open,"587 N. Foxboro Drive NORTH SALT LAKE, UT 84054",,NORTH SALT LAKE,UT,84054,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,4438,,2019,Davis
-112.0291009,41.15058307,63449,FREMONT ELEMENTARY,Open,"2525 N 160 W SUNSET, UT 84015",,SUNSET,UT,84015,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:25 PM,,,,"L,",4,N,US,103668,,2019,Davis
-112.0452376,41.12040464,63450,HOLT ELEMENTARY,Open,"448 N 1000 W CLEARFIELD, UT 84015",,CLEARFIELD,UT,84015,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,75968,,2019,Davis
-111.9764205,41.08916149,63451,LINCOLN ELEMENTARY,Open,"591 W 2000 N LAYTON, UT 84041",,LAYTON,UT,84041,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,F,",,,11:30 AM - 12:00 PM,,,,"L,",4,N,US,5334,,2019,Davis
-112.0135595,41.10175996,63452,NORTH DAVIS JR.,Open,"835 S STATE CLEARFIELD, UT 84015",,CLEARFIELD,UT,84015,,,PAM,TSAKALOS,8014027650,DAVIS SCHOOL DISTRICT,2019-06-03T07:00:00.000Z,2019-08-01T07:00:00.000Z,"M,T,W,TH,",,,11:30 AM - 12:30 PM,,,,"L,",4,N,US,5890,,2019,Davis
