long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-77.41114512,38.00249934,48703,CAROLINE MIDDLE,Open,"13325 Devils Three Jump Road Milford, VA 22514",,Milford,VA,22514,,,,,,Caroline County Public Schools,2019-06-03T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH",,8:00AM - 9:00AM,11:00AM - 12:30PM,,,,"B,L",2,N,US,131058,,2019,Caroline
-80.69563716,36.78778246,48704,HILLSVILLE ELEM,Open,"90 Patriot Lane Hillsville, VA 24343",,Hillsville,VA,24343,2767287312,,Sybil,Goad,2767287312,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",,8:00AM - 9:00AM,11:30AM - 12:30PM,,,,"B,L",2,N,US,102069,,2019,Carroll
-80.87855862,36.69834517,48705,GLADEVILLE ELEM,Open,"3117 Glendale Rd Galax, VA 24333",,Galax,VA,24333,2762365449,,Michelle,Shaffner,2762365449,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",,8:00AM - 9:00AM,11:30AM - 12:30PM,,,,"B,L",2,N,US,101989,,2019,Carroll
-80.72433102,36.76231743,48706,CARROLL COUNTY HIGH,Open,"100 Cavs Lane Hillsville, VA 24343",,Hillsville,VA,24343,2767282125,,Joanne,Truong,2767282125,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,7:30AM - 8:30AM,11:30AM - 12:30PM,,,,"B,L",2,N,US,101787,,2019,Carroll
-80.73878862,36.76939916,48707,CARROLL COUNTY MIDDLE,Open,"1036 N. Main Street Hillsville, VA 24343",,Hillsville,VA,24343,2767282382,,Patricia,Clontz,2767282382,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",,8:00AM - 9:00AM,11:30AM - 12:30PM,,,,"B,L",2,N,US,101788,,2019,Carroll
-80.68921313,36.60545615,48708,ST PAUL,Open,"231 Flower Gap Road Cana, VA 24317",,Cana,VA,24317,2767553512,,Karen,Rippey,2767553512,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-06-21T04:00:00.000Z,"M,T,W,TH,F",,8:00AM - 9:00AM,11:30AM - 12:30PM,,,,"B,L",2,N,US,102488,,2019,Carroll
-80.73660858,36.7574908,48709,Regional Alt. Ed.,Open,"205 Oak Street Hillsville, VA 24343",,Hillsville,VA,24343,2767686406,,Nikki,Keesling,2767686406,Carroll County Public Schools,2019-06-10T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,8:00AM - 8:45AM,11:30AM - 12:15PM,,,,"B,L",2,N,US,23837,,2019,Carroll
-80.73960552,36.77242607,48710,CARROLL COUNTY LIBRARY,Open,"101 BEAVER DAM ROAD HILLSVILLE, VA 24343",,HILLSVILLE,VA,24343,,,,,,Carroll County Public Schools,2019-06-11T04:00:00.000Z,2019-07-23T04:00:00.000Z,"M,T,TH,F",,,11:00AM - 3:00PM,,,,L,2,N,US,131060,,2019,Carroll
-80.7430543,36.75151143,48711,WESTVIEW TERRACE APARTMENTS,Open,"167 HOWLETT STREET HILLSVILLE, VA 24343",,HILLSVILLE,VA,24343,,,,,,Carroll County Public Schools,2019-06-05T04:00:00.000Z,2019-07-24T04:00:00.000Z,W,,,12:00PM - 1:00PM,,,,L,2,N,US,132174,,2019,Carroll
-78.64228492,37.05268569,48712,CENTRAL MIDDLE,Open,"250 Statesman Dr Charlotte Court House, VA 23923",,Charlotte Court House,VA,23923,4345429574,,Loretta,Robertson,4345429574,Charlotte County Public Schools,2019-06-03T04:00:00.000Z,2019-07-19T04:00:00.000Z,"M,T,W,TH,F",,8:15AM - 9:15AM,11:15AM - 1:15PM,,,,"B,L",2,N,US,100234,,2019,Charlotte
