long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-72.08068969,44.30606094,113777,Barnet Elementary School,Open,"163 Kid Row Barnet, VT 05821",,Barnet,VT,5821,8026334978,,Ken,Cyr,8026843801,Caledonia Central SU,2019-07-08T04:00:00.000Z,2019-08-01T04:00:00.000Z,"M, T, W, Th",,8:00 to 9:00,11:30 to 12:30,,,,,8,N,US,80713,,2019,Caledonia
-72.5030493,44.1847046,113778,Barre City Elementary & Middle School,Open,"50 Parkside Terrace Barre, VT 05641",,Barre,VT,5641,8024766541,,Ashley,Young,8024765011,Barre SU,2019-06-24T04:00:00.000Z,2019-06-28T04:00:00.000Z,"M, T, W, Th, F",,8:00 to 8:30,11:15 to 12:15,,,,,8,N,US,57371,,2019,Washington
-72.50144783,44.19667936,113779,Barre Opera House/Contemporary Dance/Fitness Combo Camp,Open,"6 North Main Street Barre, VT 05641",,Barre,VT,5641,8024768188,,Ashley,Young,8024765011,Barre SU,2019-07-08T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, Th, F",,,12:00 to 12:30,,2:00 to 2:30,,,8,N,US,117249,,2019,Washington
-72.48407745,44.16876781,113781,Barre Town Elementary and Middle School,Open,"70 Websterville Road Barre, VT 05641",,Barre,VT,5641,8024766617,,Ashley,Young,8024765011,Barre SU,2019-07-01T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, Th, F",,8:00 to 10:00,12:00 to 1:00,,,,,8,N,US,145773,,2019,Washington
-72.5596627,42.8554108,113800,Brooks Memorial Library,Open,"Meeting Room, 224 Main Street Brattleboro, VT 05301",,Brattleboro,VT,5301,8022545290,,Lindsay,Bellville,8022545290,Windham Southeast SU,2019-06-24T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, Th, F",,,12:00 to 1:00,,,,,8,N,US,145906,,2019,Windham
-73.24987396,44.16923569,113820,Creek View Housing,Open,"11 Main St Vergennes, VT 05491",,Vergennes,VT,5491,8024581477,,Carmen,Jochum,8024581477,Addison Northwest School District,2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, Th, F",,,12:00 to 1:00,,,,,8,N,US,117770,,2019,Addison
-72.58549113,44.56472161,113824,Elmore-Morristown Unified Union SD - Elementary School,Open,"548 Park Street Morrisville, VT 05661",,Morrisville,VT,5661,8028884600,,Jeff,Brynn,8028884600,Lamoille South SU,2019-06-17T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M, T, W, Th, F",,7:30 to 8:30,11:00 to 1:00,,,,,8,N,US,146270,,2019,Lamoille
-72.5910785,44.56233965,113825,Elmore-Morristown Unified Union SD - Peoples Academy,Open,"202 Copley Avenue Morrisville, VT 05661",,Morrisville,VT,5661,8028884600,,Jeff,Brynn,8028884600,Lamoille South SU,2019-06-17T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M, T, W, Th, F",,7:30 to 8:30,11:00 to 1:00,,,,,8,N,US,146271,,2019,Lamoille
-72.50602819,44.1893691,113836,Green Acres,Open,"7 Chatot St #45 Barre, VT 05641",,Barre,VT,5641,8029714024,,Ashley,Young,8024765011,Barre SU,2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, Th, F",,9:00 to 10:30,12:00 to 1:30,,,,,8,N,US,58426,,2019,Washington
-72.51779896,44.19763176,113839,Highgate Housing,Open,"73 Highgate Drive Barre, VT 05641",,Barre,VT,5641,8024768645,,Ashley,Young,8024765011,Barre SU,2019-06-24T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M, T, W, Th, F",,8:00 to 9:00,12:00 to 1:00,,,,,8,N,US,58538,,2019,Washington
