long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-117.0403167,46.41054449,63842,Beachview Park,Open,"1015 2nd Street Clarkston, WA 99403",,Clarkston,WA,99403,5097696346,,Amy,Kimberling,5097696346,Clarkston School District,2019-06-10T07:00:00.000Z,2019-08-15T07:00:00.000Z,"M, T, W, TH, F",,,11:45AM - 12:25PM,,,,L,4,N,US,25788,,2019,Asotin
-117.0599959,46.416294,63843,Arnold Park,Open,"Ash and Maple St Clarkston, WA 99403",,Clarkston,WA,99403,5097696346,,Amy,Kimberling,5097696346,Clarkston School District,2019-06-10T07:00:00.000Z,2019-08-15T07:00:00.000Z,"M, T, W, TH, F",,,11:30AM - 12:30PM,,,,L,4,N,US,25633,,2019,Asotin
-124.1012115,46.86227423,63844,Ocosta Elementary School,Open,"2580 S. Montesano Street Westport, WA 98595",,Westport,WA,98595,3602689125,240,Steve,Schmeling,3602689125,Ocosta School District,2019-07-08T07:00:00.000Z,2019-08-02T07:00:00.000Z,"M, T, W, TH, F",,8:40AM - 9:00AM,11:50AM - 12:20PM,,,,BL,4,N,US,59442,,2019,Grays Harbor
-122.9622239,46.13926433,63847,Olympic Elementary School,Open,"1324 30th Ave Longview, WA 98632",,Longview,WA,98632,3605757175,,Rick,Traynor,3605757175,Longview School District,2019-06-17T07:00:00.000Z,2019-06-28T07:00:00.000Z,"M, T, W, TH, F",,8:30AM - 8:45AM,12:00PM - 12:15PM,,,,BL,4,N,US,29901,,2019,Cowlitz
-119.6743556,48.00616145,63848,Bridgeport Elementary School,Open,"1400 Tacoma Avenue Bridgeport, WA 98813",,Bridgeport,WA,98813,5096865656,404,Debby,Sharp,5096865656,Bridgeport School District,2019-06-10T07:00:00.000Z,2019-08-14T07:00:00.000Z,"M, T, W, TH, F",,7:30AM - 8:30AM,11:30AM - 12:30PM,,,,BL,4,N,US,26127,,2019,Douglas
-122.7195932,46.5814424,63851,Onalaska Elementary School,Open,"551 Carlisle Avenue Onalaska, WA 98570",,Onalaska,WA,98570,3609784111,6,Jerry,Carlson,3609784111,Onalaska School District,2019-06-25T07:00:00.000Z,2019-06-28T07:00:00.000Z,"T, W, TH, F",,8:30AM - 9:00AM,11:45AM - 12:15PM,,,,BL,4,N,US,29907,,2019,Lewis
-122.7195932,46.5814424,63852,Onalaska Elementary School,Open,"551 Carlisle Avenue Onalaska, WA 98570",,Onalaska,WA,98570,3609784111,6,Jerry,Carlson,3609784111,Onalaska School District,2019-07-08T07:00:00.000Z,2019-07-25T07:00:00.000Z,"M, T, W, TH",,8:00AM - 8:30AM,11:30AM - 12:30PM,,,,BL,4,N,US,29907,,2019,Lewis
-117.042921,46.41083649,63853,Clarkston High School,Open,"401 Chestnut Street Clarkston, WA 99403",,Clarkston,WA,99403,5097696346,,Amy,Kimberling,5097696346,Clarkston School District,2019-06-10T07:00:00.000Z,2019-08-15T07:00:00.000Z,"M, T, W, TH, F",,9:00AM - 9:30AM,11:00AM - 1:00PM,,,,BL,4,N,US,26605,,2019,Asotin
-122.2240928,48.51410454,63854,Cascade Middle School,Open,"905 McGarigle Road Sedro-Woolley, WA 98284",,Sedro-Woolley,WA,98284,3608553866,,Mark,Campbell,3608553866,Sedro-Woolley School District,2019-07-01T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M, T, W, TH, F",,9:00AM - 9:30AM,12:00PM - 1:00PM,,,,BL,4,N,US,26362,,2019,Skagit
-123.9062603,46.98279858,63855,Hoquiam Middle School,Open,"200 Spencer St. Hoquiam, WA 98550",,Hoquiam,WA,98550,3605388278,,Chris,Hansen,3605388278,Hoquiam School District,2019-06-17T07:00:00.000Z,2019-08-23T07:00:00.000Z,"M, T, W, TH, F",,,12:00PM - 12:30PM,,,,L,4,N,US,44071,,2019,Grays Harbor
