long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-88.805592,43.453755,42709,Crystal Lake Park - West Shelter,Open,"Hwy 33 at Crystal Lake Rd Beaver Dam, WI 53916",,Beaver Dam,WI,53916,9208874600,,Joan,Hohenstein,,Beaver Dam Unified Schools,2019-06-10T04:00:00.000Z,2019-08-22T04:00:00.000Z,"M,T,W,TH",,,11:30 AM to 11:55 AM,,,,L,1,N,US,130665,,2019,Dodge
-88.85557507,43.44427491,42711,Lakecrest Drive,Open,"Lakecrest Drive Beaver Dam, WI 53916",,Beaver Dam,WI,53916,,,Stephanie,Young,,Beaver Dam Unified Schools,2019-06-10T04:00:00.000Z,2019-08-22T04:00:00.000Z,"M,T,W,TH",,,11:00 AM to 11:30 AM,,,,L,1,N,US,130720,,2019,Dodge
-87.36080083,44.84181436,42723,Thunderhill Estates,Open,"417 14th Place Sturgeon Bay, WI 54235",,Sturgeon Bay,WI,54235,,,Nicole,LeMieux,,Door County YMCA,2019-06-10T04:00:00.000Z,2019-08-23T04:00:00.000Z,"M,T,W,TH,F",,,11:50 AM to 12:20 PM,,,,L,1,N,US,130819,,2019,Door
-91.24737439,43.799976,42831,Hamilton ELC,Open,"1111 South 7th Street La Crosse, WI 54601",,La Crosse,WI,54601,6087895050,,Shannon,Daily,,LaCrosse School District,2019-09-23T04:00:00.000Z,2019-10-04T04:00:00.000Z,"M,T,W,TH,F",,7:30 AM to 8:00 AM,11:00 AM to 11:45 AM,,,,"B,L",1,N,US,130694,,2019,La Crosse
-91.24737439,43.799976,42832,Hamilton ELC,Open,"1111 South 7th Street La Crosse, WI 54601",,La Crosse,WI,54601,6087895050,,Shannon,Daily,,LaCrosse School District,2019-03-18T04:00:00.000Z,2019-03-29T04:00:00.000Z,"M,T,W,TH,F",,7:30 AM to 8:00 AM,11:00 AM to 11:45 AM,,,,"B,L",1,N,US,130694,,2019,La Crosse
-91.24737439,43.799976,42833,Hamilton ELC,Open,"1111 South 7th Street La Crosse, WI 54601",,La Crosse,WI,54601,6087895050,,Shannon,Daily,,LaCrosse School District,2019-06-06T04:00:00.000Z,2019-08-28T04:00:00.000Z,"M,T,W,TH,F",,7:30 AM to 8:00 AM,11:45 AM to 12:30 PM,,,,"B,L",1,N,US,130694,,2019,La Crosse
-91.24737439,43.799976,42834,Hamilton ELC,Open,"1111 South 7th Street La Crosse, WI 54601",,La Crosse,WI,54601,6087895050,,Shannon,Daily,,LaCrosse School District,2019-12-09T05:00:00.000Z,2019-12-20T05:00:00.000Z,"M,T,W,TH,F",,7:30 AM to 8:00 AM,11:00 AM to 11:45 AM,,,,"B,L",1,N,US,130694,,2019,La Crosse
-91.24113959,43.84658608,42841,Northside Elementary,Open,"1611 Kane Street La Crosse, WI 54601",,La Crosse,WI,54601,6087896706,,,,,LaCrosse School District,2019-06-06T04:00:00.000Z,2019-07-12T04:00:00.000Z,"M,T,W,TH,F",,,11:30 AM to 12:30 PM,,,,L,1,N,US,5929,,2019,La Crosse
-91.24113959,43.84658608,42842,Northside Elementary,Open,"1611 Kane Street La Crosse, WI 54601",,La Crosse,WI,54601,6087896706,,,,,LaCrosse School District,2019-12-09T05:00:00.000Z,2019-12-20T05:00:00.000Z,"M,T,W,TH,F",,7:45 AM to 8:10 AM,11:00 AM to 1:00 PM,,,,"B,L",1,N,US,5929,,2019,La Crosse
-91.24113959,43.84658608,42843,Northside Elementary,Open,"1611 Kane Street La Crosse, WI 54601",,La Crosse,WI,54601,6087896706,,,,,LaCrosse School District,2019-09-23T04:00:00.000Z,2019-10-04T04:00:00.000Z,"M,T,W,TH,F",,7:45 AM to 8:10 AM,11:15 AM to 1:00 PM,,,,"B,L",1,N,US,5929,,2019,La Crosse
