long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-80.26659063,39.51286441,73790,Farmington,Open,"Route 91 Farmington, WV 26571",,Farmington,WV,26571,3048161314,,Abby,Stoller,,MCPARC *Marion Co Parks & Rec,2019-06-10T04:00:00.000Z,2019-07-18T04:00:00.000Z,"M, T, W, TH",,,11:45 to 12:45,,,,L,6,N,US,90563,,2019,Marion
-79.1257587,38.99376763,91055,Grant County Public Library - Reading Program,Open,"18 Mt. View Street Petersburg, WV 26847",,Petersburg,WV,26847,3042574122,,Barbara,Carr,,GRANT CO BD OF EDUCATION,2019-06-21T04:00:00.000Z,2019-07-26T04:00:00.000Z,,,,,10:00 to 10:15,,,,7,N,US,121164,,2019,Grant
-79.12206122,38.99403857,91056,Grove Street Bible School,Open,"4 Myrtle Avenue Petersburg, WV 26847",,Petersburg,WV,26847,3047030922,,Amy,Berg,,GRANT CO BD OF EDUCATION,2019-06-24T04:00:00.000Z,2019-06-27T04:00:00.000Z,,,,,,,5:30 to 6:00,,7,N,US,64030,,2019,Grant
-80.44927811,37.80097063,91061,"Carnegie Hall, Kids College",Open,"105 Church Street Lewisburg, WV 24901",,Lewisburg,WV,24901,3046457917,,Leah,Trent,,GREENBRIER CO BD OF EDUCATION,2019-07-08T04:00:00.000Z,2019-07-19T04:00:00.000Z,,,,,11:10 to 11:30,2:20 to 2:40,,,7,N,US,106387,,2019,Greenbrier
-80.35340546,37.75202171,91062,Greenbrier State Forest,Open,"1541 Harts Run Road Caldwell, WV 24925",,Caldwell,WV,24925,3045361944,,Emily,Shirey,,GREENBRIER CO BD OF EDUCATION,2019-07-08T04:00:00.000Z,2019-07-11T04:00:00.000Z,,,,,9:30 to 11:00,2:00 to 3:00,,,7,N,US,143238,,2019,Greenbrier
-81.21127807,37.82131851,91074,Dry Hill Prosperity Park,Open,"191 Mollohan Drive Beckley, WV 25801",,Beckley,WV,25801,3048909956,,Molly,Williams,,RALEIGH CO BD OF EDUCATION,2019-06-21T04:00:00.000Z,2019-07-19T04:00:00.000Z,F,,,12:00 to 12:30,,,,,7,N,US,142815,,2019,Raleigh
-80.516803,39.70050859,91088,Littleton Church of Christ,Open,"9585 Hornet Highway Littleton, WV 26581",,Littleton,WV,26581,3047755221,,Holly,Harris,,Wetzel Co Bd of Education (SFSP),2019-06-17T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M, T, W, TH, F",,,12:30 to 12:45,,,,,7,N,US,143746,,2019,Wetzel
-81.53214229,39.24458666,91106,Fairplains - Safetytown,Open,"615 Broadway Ave Parkersburg, WV 26101",,Parkersburg,WV,26101,3307053197,,Erin,Casper,,WOOD CO BD OF EDUCATION,2019-06-10T04:00:00.000Z,2019-06-14T04:00:00.000Z,,,,,10:30 to 11:00,,,,7,N,US,142947,,2019,Wood
-78.08051445,39.60994851,114235,Pleasant View Elementary,Open,"10500 Martinsburg Road (187 South Green Street) Hedgesville, WV 25247",187 South Green Street,Hedgesville,WV,25247,3042586741,,Christian,Risinger,,Boys & Girls Club of the Eastern Panhandle (SFSP),2019-07-01T04:00:00.000Z,2019-07-11T04:00:00.000Z,"M,T,W,TH",,9:00 to 10:00,12:00 to 1:00,,,,,8,N,US,147195,,2019,Morgan
-78.20261858,39.63147394,114236,Warm Springs Intermediate School,Open,"575 Warm Springs Way Berkeley Springs, WV 25411",,Berkeley Springs,WV,25411,3042586741,,Chris,Risinger,,Boys & Girls Club of the Eastern Panhandle (SFSP),2019-07-15T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,9:00 to 10:00,12:00 to 1:00,,,,,8,N,US,65329,,2019,Morgan
-78.23300565,39.61429719,114237,Widmyer Elementary School,Open,"10 Myers Rd Berkeley Springs, WV 25411",,Berkeley Springs,WV,25411,3042586741,,Chris,Risinger,,Boys & Girls Club of the Eastern Panhandle (SFSP),2019-06-17T04:00:00.000Z,2019-06-27T04:00:00.000Z,"M,T,W,TH",,9:00 to 10:00,12:00 to 1:00,,,,,8,N,US,65390,,2019,Morgan
-82.42860618,38.41736534,114238,Positive People Association,Open,"1637 8th Avenue Huntington, WV 25703",,Huntington,WV,25703,3045284861,,Shelmona,Branch,,CABELL CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH,F",,,12:00 to 1:00,,,,,8,N,US,147210,,2019,Cabell
-81.13695658,38.0834423,114240,West Virginia Church of God Youth Camp,Open,"351 New River Ranch Rd Fayetteville, WV 25840",,Fayetteville,WV,25840,3043206330,,Victoria,Helmondollar,,Church of God State Office,2019-06-17T04:00:00.000Z,2019-07-03T04:00:00.000Z,,,8:30 to 9:30,,,,5:00 to 6:30,,8,N,US,116815,,2019,Fayette
-81.11885288,38.02294463,114242,FCF Youth,Open,"2588 Maple Avenue Fayetteville, WV 25840",,Fayetteville,WV,25840,9548996037,,lauren,floyd,,Coda Mountain Academy Inc,2019-07-30T04:00:00.000Z,2019-08-27T04:00:00.000Z,,,,,,,6:30 to 7:00,,8,N,US,146329,,2019,Fayette
-80.725572,39.2869035,114243,Doddridge BOE Bus Stop Preschool Center,Open,"Smithburg West Union, WV 26456",,West Union,WV,26456,3048732322,,Tina,McCartney,,DODDRIDGE CO BD OF EDUCATION,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,11:15 to 11:45,,,,,8,N,US,146194,,2019,Doddridge
-79.1257587,38.99376763,114244,Landes-Harr Arts Center - #2,Open,"18 Mt. View Street Petersburg, WV 26847",,Petersburg,WV,26847,3042570400,,Aimee,Cardot,,GRANT CO BD OF EDUCATION,2019-06-25T04:00:00.000Z,2019-06-27T04:00:00.000Z,,,,,10:00 to 10:15,,,,8,N,US,121459,,2019,Grant
-79.12579203,38.994799,114245,Landis Arts Center #4,Open,"118 Mt. View Street Petersburg, WV 26847",,Petersburg,WV,26847,3042570400,,Aimee,Cardot,,GRANT CO BD OF EDUCATION,2019-07-08T04:00:00.000Z,2019-07-12T04:00:00.000Z,,,,,10:00 to 10:15,,,,8,N,US,146712,,2019,Grant
-79.93894645,39.01602065,114246,Belington Site,Open,"11 E. Crim Avenue Belington, WV 26250",,Belington,WV,26250,3044571295,,Brenda,Hunt,,"Heart & Hand House, Inc.",2019-07-02T04:00:00.000Z,2019-07-30T04:00:00.000Z,"T,TH",,,12:00 to 1:00,,,,,8,N,US,145799,,2019,Barbour
-80.03755178,39.15111727,114247,"Heart and Hand House, Inc.",Open,"107 S Main Street Phillippi, WV 26416",,Phillippi,WV,26416,3044571295,,Brenda,Hunt,,"Heart & Hand House, Inc.",2019-06-11T04:00:00.000Z,2019-08-08T04:00:00.000Z,"T,W,TH",,,11:30 to 12:30,,,,,8,N,US,146510,,2019,Barbour
-81.85634718,37.75742851,114252,Buffalo Creek Apartments-Mallory Church,Open,"1 Rte. 16 Kistler, WV 25606",,Kistler,WV,25606,3045837887,,Elizabeth,Tackett,,LOGAN CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,W,,,11:30 to 1:30,,,,,8,N,US,145916,,2019,Logan
-81.87502232,37.73515479,114253,Buffalo Creek Memorial Library,Open,"511 East McDonald Avenue Man, WV 25635",,Man,WV,25635,3045837887,,Elizabeth,Tackett,,LOGAN CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,T,,,11:30 to 1:30,,,,,8,N,US,85146,,2019,Logan
-81.99075382,37.84909889,114255,Central Youth Works,Open,"300 Kanada Street Logan, WV 25601",,Logan,WV,25601,6262356037,,Greg,Stephens,,LOGAN CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH",,,11:30 to 1:00,,,,,8,N,US,85348,,2019,Logan
-82.0254035,37.97755006,114256,CHAPMANVILLE INTERMEDIATE SCHOOL,Open,"329 West Tiger Lane Chapmanville, WV 25508",,Chapmanville,WV,25508,3048550021,,Ashley,Couch,,LOGAN CO BD OF EDUCATION,2019-07-17T04:00:00.000Z,2019-07-19T04:00:00.000Z,"T,W,TH",,8:30 to 9:30,12:00 to 1:00,,,,,8,N,US,146001,,2019,Logan
-82.0189877,37.97331166,114263,First Church of Christ,Open,"181 Garnet Avenue Chapmanville, WV 25508",,Chapmanville,WV,25508,3047922064,,Gail,Maynard,,LOGAN CO BD OF EDUCATION,2019-07-15T04:00:00.000Z,2019-07-19T04:00:00.000Z,,,,,,,6:00 to 7:00,,8,N,US,146347,,2019,Logan
-81.99542894,37.84952171,114264,LOGAN HIGH SCHOOL,Open,"One Wildcat Lane Logan, WV 25601",,Logan,WV,25601,3047857457,,Zack,Green,,LOGAN CO BD OF EDUCATION,2019-06-18T04:00:00.000Z,2019-06-19T04:00:00.000Z,"M,T,W",,,11:30 to 1:00,,,,,8,N,US,146772,,2019,Logan
-81.839907,37.73047598,114265,Mallory Church of God VBS,Open,"1990 Huff Creek Highway Mallory, WV 25634",,Mallory,WV,25634,3045837887,,Elizabeth,Tackett,,LOGAN CO BD OF EDUCATION,2019-07-15T04:00:00.000Z,2019-07-19T04:00:00.000Z,,,,,,,6:30 to 8:00,,8,N,US,91109,,2019,Logan
-81.86983085,37.74639829,114266,MAN CENTRAL,Open,"600 Main Street Man, WV 25635",,Man,WV,25635,3017922045,,Garron,Staton,,LOGAN CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-06-19T04:00:00.000Z,"M,T,W",,8:30 to 9:30,11:30 to 12:30,,,,,8,N,US,91112,,2019,Logan
-79.9876177,38.75687498,114272,Mill Creek Church of God,Open,"Mill Creek Road Mill Creek, WV 25547",,Mill Creek,WV,25547,3047922067,,Doreen,Ellis,,LOGAN CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-26T04:00:00.000Z,,,,,,,6:15 to 7:30,,8,N,US,112033,,2019,Randolph
-80.1495537,39.47116056,114274,West Fairmont Middle School,Open,"110 10th Street Fairmont, WV 26554",,Fairmont,WV,26554,3043672772,,Eva,Beto,,Marion Co 4-H Leaders Association,2019-06-17T04:00:00.000Z,2019-07-25T04:00:00.000Z,"M,T,W,TH",,8:15 to 8:45,11:45 to 12:30,,,,,8,N,US,147747,,2019,Marion
-81.76436889,38.37933677,114278,Institute Church of the Nazarene,Open,"208 Washington Avenue Institute, WV 25112",,Institute,WV,25112,3046101907,,Barbara,Cuthbertson,,Partnership of African Am Churches (SFSP),2019-07-29T04:00:00.000Z,2019-08-02T04:00:00.000Z,,,,,,,6:00 to 7:15,,8,N,US,111403,,2019,Kanawha
-81.68105985,38.37579544,114287,The Father's House,Open,"500 29th Street, West Charleston, WV 25312",,Charleston,WV,25312,3044194652,,Carol,Cyrus,,Partnership of African Am Churches (SFSP),2019-06-26T04:00:00.000Z,2019-06-29T04:00:00.000Z,,,,,,,5:30 to 6:30,,8,N,US,113316,,2019,Kanawha
-79.72577073,38.56354866,114291,Pocahontas County Band Camp,Open,"Rt 28 Bartow Bartow, WV 24920",,Bartow,WV,24920,3047994505,,Robert,Mann,,Pocahontas Co Bd of Education (SFSP),2019-07-28T04:00:00.000Z,2019-08-02T04:00:00.000Z,"S,M,T,W,TH,F",,8:30 to 9:00,11:30 to 1:00,,,,,8,N,US,147198,,2019,Pocahontas
-81.05740056,37.77687069,114293,Grandview Christian Church,Open,"372 Redden Ridge Road Beaver, WV 25813",,Beaver,WV,25813,3045752452,,Susan,Lilly,,RALEIGH CO BD OF EDUCATION,2019-06-12T04:00:00.000Z,2019-07-31T04:00:00.000Z,W,,8:30 to 9:00,12:00 to 12:30,,,,,8,N,US,111070,,2019,Raleigh
-81.52746908,37.90966186,114295,Marsh Fork Memorial Park,Open,"9825 Coal River Road Naoma,, WV 25140",,"Naoma,",WV,25140,3048909956,,Molly,Williams,,RALEIGH CO BD OF EDUCATION,2019-06-18T04:00:00.000Z,2019-07-16T04:00:00.000Z,T,,,12:00 to 12:30,,,,,8,N,US,146831,,2019,Raleigh
-81.21811326,37.68794007,114297,Stoco Community Park,Open,"Tingler Avenue Coal City, WV 25823",,Coal City,WV,25823,3048909956,,Molly,Williams,,RALEIGH CO BD OF EDUCATION,2019-06-17T04:00:00.000Z,2019-07-15T04:00:00.000Z,M,,,12:00 to 12:30,,,,,8,N,US,147491,,2019,Raleigh
