long,lat,objectID,siteName,siteStatus,siteAddress,siteAddress2,siteCity,siteState,siteZip,sitePhone,ext,contactFirstName,contactLastName,contactPhone,sponsoringOrganization,startDate,endDate,daysofOperation,comments,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,mealTypesServed,cycleNumber,recordStatus,country,fnsid,created,season,county
-105.6262806,41.31213283,55049,Velma Linford Elementary,Open,"120 S. Johnson Laramie, WY 82070",,Laramie,WY,82070,3077214482,,Jill,Dunn,3077214482,Albany CSD #1,2019-06-10T04:00:00.000Z,2019-08-09T04:00:00.000Z,"M,T,W,TH,F",,,12:00 - 12:45,,,,L,3,N,US,80016,,2019,Albany
-105.3826431,42.75900376,55050,Boys and Girls Club of Douglas,Open,"135 S 4th Street Douglas, WY 82633",,Douglas,WY,82633,3073581784,,Michele,Carter,3073581784,Boys and Girls Club of Douglas,2019-06-03T04:00:00.000Z,2019-08-16T04:00:00.000Z,"M,T,W,TH,F",,7:45-8:20,11:45-12:45,,,,"B,L",3,N,US,77444,,2019,Converse
-109.2133873,41.58027964,55051,Boys and Girls Club of Rock Springs,Open,"736 Massachusettes Ave Rock Springs, WY 82901",,Rock Springs,WY,82901,3073822639,,Lisa,Stewart,3073822639,Boys and Girls Club of Rock Springs,2019-05-28T04:00:00.000Z,2019-08-22T04:00:00.000Z,"M,T,W,TH",,9:00-10:00,11:00-12:00,,,,"B,L",3,N,US,77447,,2019,Sweetwater
-105.5490533,44.29286436,55053,Prairie Wind Elementary School,Open,"200 Overdale Drive Gillette, WY 82718",,Gillette,WY,82718,3076822078,,Bryan,Young,3076822078,Campbell CSD #1,2019-06-03T04:00:00.000Z,2019-06-20T04:00:00.000Z,"M,T,W,TH",,7:45-8:05,10:55-11:25,,,,"B,L",3,N,US,133149,,2019,Campbell
-105.5411071,44.39051609,55054,Rawhide Elementary,Open,"200 Prospector Parkway Gillette, WY 82716",,Gillette,WY,82716,3076822078,,Bryan,Young,3076822078,Campbell CSD #1,2019-07-29T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,8:00-8:30,11:30-12:15,,,,"B,L",3,N,US,79404,,2019,Campbell
-107.2309903,41.78233554,55055,Bolton Park,Open,"110 E Davis Rawlins, WY 82301",,Rawlins,WY,82301,3073289271,,Heather,Mortensen,3073289271,Carbon CSD #1,2019-06-05T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,L,3,N,US,77396,,2019,Carbon
-107.2349167,41.80064844,55056,Boys and Girls Club,Open,"1401 Colorado Street Rawlins, WY 82301",,Rawlins,WY,82301,3073289271,,heather,Mortensens,3073289271,Carbon CSD #1,2019-06-05T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,L,3,N,US,77435,,2019,Carbon
-107.2451241,41.78751291,55057,Buffalo Run Apartments,Open,"828 W buffalo Rawlins, WY 82301",,Rawlins,WY,82301,3073289271,,Heather,Mortensen,3073289271,Carbon CSD #1,2019-06-05T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-12:00,,,,L,3,N,US,132522,,2019,Carbon
-107.2350802,41.79503699,55058,Key Club Park,Open,"800 Colorado Street Rawlins, WY 82301",,Rawlins,WY,82301,3073289271,,Heather,Mortensen,3073289271,Carbon CSD #1,2019-06-05T04:00:00.000Z,2019-08-02T04:00:00.000Z,"M,T,W,TH,F",,,11:00-1:00,,,,L,3,N,US,78600,,2019,Carbon
-107.2232506,41.81521595,55059,Rawlins Elementary School K-5,Open,"1301 Darnley Road Rawlins, WY 82301",,Rawlins,WY,82301,3073289271,,Heather,Mortensen,3073289271,Carbon CSD #1,2019-07-08T04:00:00.000Z,2019-07-26T04:00:00.000Z,"M,T,W,TH,F",,,10:45-12:15,,,,L,3,N,US,123464,,2019,Carbon
